pubkey,amount,locked_amount
12S3FCqtYWe6mi7g5jfDKEErVeLLq6C6aiFJzw6aTf7L,2,0
12kZ8q8cdhkf3kF3bbV9kBiSt2xFZHmswE1GLbiafJEG,2,0
1MgKezRmGD7bvcrdZhTSfRR45wdS4qyprC5vev5PPgE,2,0
1Rc4YB7eR6UKNfRdmPMtntCFHxcrS3zo6wMJiHP9Mpi,1057344710,0
1t6bJqfb9UbPescmZ5m4qNneue6666NhZt6VNqzTjMQ,2,0
21tk8eRRq23xqohkEboenVNN1aVWWz9qhMVzBWETx8rK,2,0
2258qdjfB6YY8zd4od6zsPm7WZxzGFzR6qhoBc64AQFT,2,0
228Uk45fvzAQJgosZWGVGHykSSGfdPgPgJ8B3RWMP1c9,300799800,0
22gquWATJHZxCTWNU3ghjUmPVcN4dyueT5nGvyCLbfsi,2,0
22vLYpxKfcGMMBWhFnXJEncnY1KJrkf1w9ZDS37cB485,203216356,0
23ntMr8gW2UcKWGwLqDfj2PCbka6sa3MAjYjQ7xSz4Dj,2,0
24gCU6RzJgyMbjHmmbJXhfQyjBXfG8iijmt1yJ4rBkFR,2,0
266UfRxQbtsNBPVGGyKubotT6aY2p4173oeYgzRRnk3L,2,0
26EMTUBdWGWg12a4tVc719NSQkoSNUmSZdJBpBCSbR6b,137816478,0
29JVska5UEG3axs63EmtHpPvkswNEqYpZ3PKMSfupiAG,30517817,0
29LvxFVKgqKwJiYXtHVnFHBNhm33oPAsPE2rLfAhM3Hy,2,0
2BejAjjLer46EMsdYw3VYcL5CGPUSprpeBbp8XUHxESJ,2,0
2CJ9mCzB2FPs5WCpwkg9qzewJyBu3Vj3emnjtPP9HwSJ,2,0
2CMoyCqHPEjto7Ck6UjF7gawjFF3Jcvbn7UPCW8epuK6,285238244,0
2GAerNcM1keVKNXYXUFuM2xvkd7DVNDbxSYTXRWutHe8,304343614,0
2HGyoxUH1tQJ73UpqzfaF8xsmXiEVz9iAXiVekEnakUq,2,0
2HJUp3s6ENcXrxdbM2GK8dH4hbTigBH1sGeuGE7Q5cP3,2,0
2Heb9j6xVZ9TxterBUvmum1KFRFboPNfGpY3cyyLjJuP,113240095,0
2LQYUPmfHZk57VUtyHw5w4tEVXPStYCJZL2AB119Wu5h,2,0
2LdF7k2LYh8XHBShnKXyTy1cf8sxVQBTv6G2GgdnaeuX,2,0
2LqiCbu6XUWohcQ3J841o91RMgpt3uR88cX6iNgJXujX,2,0
