pubkey,amount,locked_amount
273pPaNDA8CqUb46fevr2B3DUim2W9fGGyJhTTUfD6UV,8,0
4Y1CcJzYUT2GCQsxqQzAcRGPXDkhfRQLRD3grkkzkbUr,8,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,14433001187,0
9KRWWdXfkrjRQuJwJecBFTqcfVLDMoeHhBdwoWsRC5gM,8,0
BUGgyAzr4HCrMjxsc5gVWV9RqQRh6NfR96x2yexMrXm7,430333164330,0
DoUNUkL2AWWXjsGSCAhhPWMTLZgVcVGysLwE46HAs4xY,16,0
EYzDz84B1pzKV5qPsh4xJg2gweqrQULPV9HhzJAoLFq4,8,0
FXhcbmZA2AZP9aNpXPzCZfLmxWaQdv2QoeAjhSP8Rnec,82774042169,0
FhWS6PzqZtEBzzhaeUbTPAQ1zK8DQQZvweWgmjPczZg8,8,0
FvmgoeYi4QpiK7xyKRLzGzYrdqAfwYzTZdQByFWnRHcD,8,0
GjSvQ3RXJPmetSaFftAQE1tqXrhSUxbkZDxV4B2GeCPR,8,0
HwUvurCPfmuhr6WwPjnnLK2EXxRmr7oqx94mTB5Fyr1U,8,0
