pubkey,amount,locked_amount
146mon3QfAT914HjNDpmi4YX23kFhscVoPC7Mz3kcTMA,2,0
149QLwYUNYf3ohUyhF2vfmSDUiJeBxSNe8dyfiRN8Z3S,2,0
24p2JMfRYPtuuHH1eq2gG1tNgV74rBNP1Qf7kGeR48K3,2,0
2AV35oWyAuSN5wmuy26VD5JirjVpXkfkv5ZMCQ2LtpuV,588626745,0
2GnZAYiv9eLVUQhbDuskZnmG7q1DkXZRW4dYmMkpEzBZ,2,0
2H39wHWvC9ZtkjCQ4v8WfDK9RFajVjD9LZQD22gEAWar,2,0
2JHejVALF2Zv8smtRXfodtYbHEBdqTt6WXsGtuz6gE2y,2,0
2P5tkJVpceLPdnejvc5DBGd4RxkmtouYfNkb9KKPsPxW,2,0
2QsWomv3ZEJY66EGjDY2uHi9D1pGQa8LkwkfocRxwpuP,2,0
2QwCqN2tFKHTdHek1hY6D33Tik1dGnH1FoH4UqpxdNuE,2,0
2YkTbk9ceqeQeNLhudstKLTkCYoMGuPDbXpkoLde3KRs,2,0
2cYCDjCJyg3WtToruwb7jMVCnLVfe52yhN1a6SNLcG3i,2,0
2cdN3BF9jnpiJiDcmPY6pFRPcwHKJRuPbwL1qmG1bb4A,2,0
2geyVzBSvD6UVpGtGsH8sSwu7WEuiMun9LU3Yj8Xztsu,2,0
2hXoePeBhenDbFxHYvk36Uqvz2av8u53p5PXnQmxhuLW,2,0
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,2,0
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,2,0
2wVfNoAQ1jZ6827Mr1mHxMFUBNDuKWn29LWMNqoBUq3n,2,0
2xHvy2ip9dMMmw2QXMoEU8LmQxhntGFbnAzfMjXR3PGY,2,0
2y2hU6Po8iRzTiKm341ZhmkF1xAptTqctB7EAYjc1m3S,2,0
31dhwHQLkxkmL6rbyCXnqHtTUM6taHCVewRHP88iQtqN,2,0
36vxiwEVpHRsPUiKW4twBdPy5g6KDuLyVF7UHGMWrmit,1328087,0
37hX8GQR76UbyqytFtW5JXZshfdScGPBHu8Vt92fAgxu,75806148,0
384CRQ6Jc1NCxUsdxzQZPjziJX8pgd4i2a9e8Ty8FVPT,38,0
3KRgr9VpT7rvUFQoNBwR9CumHFvvq3ioqiuEqwEbbhKw,221307,0
