pubkey,amount,locked_amount
3FXcDQfrzQ7ELRajwnzAUabU2rRDBrJDoUUebFRjxC2K,11,0
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,11,0
4FU3TePfxVsTdvhMidXCapW6y4kS34DExNnv9UhjiWPE,11,0
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,11,0
7KKFjTtPqKZcpcXjZLD1zuq82UmTkrwefwTd1g6Umgvo,10169579686556,0
8SHpYP7YZR9cACWp6j3jfAasnCduiEFJpUcofj6qJ3g8,11,0
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,100639039144,0
Ctu2YAf5Ty5EHRuNSSvwypT7BXPmtMtnGSHcURgngUj2,11,0
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,11,0
EPEYqcwdndTWLaE5Zr5FgASMi3RRKGWiV8SS3VPQLB89,11,0
