pubkey,amount,locked_amount
24p2JMfRYPtuuHH1eq2gG1tNgV74rBNP1Qf7kGeR48K3,6,0
31dhwHQLkxkmL6rbyCXnqHtTUM6taHCVewRHP88iQtqN,6,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,10167121729,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,6,0
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,6,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,6,0
4Qdy53DfKVqCwNroCvYNDMz1Ko7cr36PMSHzjvMfXg71,6,0
4ZfkxjquAavSEi76aMA1Cznxu33bvF2C1ETZy2v1ETxK,6,0
4fENRafCoyw42dXn6ujZ72FRHXtZZkxxPCgvZJwY4Ytr,2749384770,0
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,6,0
7oNYv5kTA1WBD9HgCiTjW7TnxcwJ3JJopC2LePxA4R9L,6,0
85Cf6TdRuHRMFmZQ4ZgDK76d63eHpRBrpAi4HznLLHBG,6,0
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,88072359472,0
9cUJb7XRVT4RZeRetFr572pAx7z2dZ1YHY77WbH5b9aJ,6,0
AURcN3ktRTHw8RNAZZkBm6NchUAMU4HbwSnwrH1sn2e,11174633979,0
AgrasdPeGkPWVGzqPnn99yaAquFGFmWY51pXGZetUpbA,6,0
DPrMaiwimpFgvDtZ6b8v1rC65fP3szwVQaWtgTiuzdFj,6,0
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,6,0
F3mMi12MYvschJ3UrE2AesSeDBwC6gsf9YMB49KwEvqc,6,0
FSuabjcbuYWbyEA7yZ12APRavXtmVd21Cq9tsnxNj9Zp,6,0
GMUb3TxU5f5ccyd3Tq8fwHqHbbqUDUQSLsYE3EG6YTn6,6,0
GqAnCDGzf6XkdSJzs99HwTsKd77Xi2xj2k14CsuibcEn,6,0
HsXN5Aw663Qa8LkYNvp6GLjjHqWhd4UH89MS3m3nY4Y7,6,0
