pubkey,amount,locked_amount
2cYCDjCJyg3WtToruwb7jMVCnLVfe52yhN1a6SNLcG3i,11214591,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,5677432,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,1,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,2714765239,0
4ZfkxjquAavSEi76aMA1Cznxu33bvF2C1ETZy2v1ETxK,1,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,4836018,0
8VS5NYtGGTAk95nfJ8NP3DNu2Srj3gVgkAh3CqwESJVd,1,0
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,701495916,0
8s5U6iLYwoRArVm2Ai1sDPMnmLhg16iTgw29xz9gYtsZ,1,0
AC1ZRRCmu3b3VC3Vm264rzZTEFYgB8rdwiMVzeQk2JJi,5212094925,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,1,0
CrKJ2wKcnRiDcxJuPcNkBuwn3aAYrMxqypyDn2jB2mUw,1,0
Ff8hk9xvZfwgaMUjuav9evQEz4AUMnTx2Z1vG7ubAA8V,308863111,0
Gf9FB9Baw6ExLaEwRGEMnMJpGP9WEBetVLWP44qajgsu,1,0
