pubkey,amount,locked_amount
4aE9dRS7s2FoJFoMiqCEGuu57UgCRhPcZemuNbb5Tb7p,11,0
56nnMwbNt32yy6TrxjTxCGE61SnacsUTHDygtkXbVNix,11,0
5T87BrFwiB1HBxjRdncU2ov76NLsDKkmNZrbeK7vcDLP,11,0
5hGAjhVNHW63gANAYyQtyqfMPGqCioN7ZDnBmDSerto9,11,0
6APKYMHdHTFPSdJeq95jWAuAc1zfGAisZdL13hjGdtyx,11,0
6cqkCfKZgugqurMS9HP9ZUziJnSJDAPn1Hb9n7cro3Bw,11,0
6yLhhbsRGXuf26VfX1NFa7NEgDqHhyw7L6phQYVGr68T,11,0
76RUaoG2BvAccGvZQH8EowzAmVAWJLDCjWxrb11NN7F,11,0
9GP3Dsi1xnHTbFCWHxzLQHew31yVExuzp8ofeerMAimR,11,0
9iEBeFz6dtUHLaXTc1B7agQCVyM1CDuve67LbBF4UxWg,2249772241,0
9kY74nM5Qky69We6yPnW9sLHqU5ZStrMj7bTuzyUJzNj,7124133,0
AEB7bpGxhCevNUhr2a4XSNbZ8KPMJnuAeJ9bTryJyv4i,11,0
AURcN3ktRTHw8RNAZZkBm6NchUAMU4HbwSnwrH1sn2e,102275401,0
AubNMYs6MtVLa9ADoRSgB8LzepKmiHVcV1FGXv84pwum,11,0
CDkPV3TuaqsgouwsQ8Kog2fqbaxz2gsUqZNBqaJ572dd,182758588,0
CTLZYVaQve23aXN1DLaDsKGcTHPuiUH74dYYRDTRjCqV,11,0
CTjjpveBUCRAWMjaVKWULtp6yqF4X38oqkzbkVdyeGmT,11,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,11,0
DCodHGq3CHY4f85zASprkp9RWJLCNqo7S1utoeo8R6a8,11,0
DdEN3wMFvLYmQaDoiT8EjEcddjkXpVma1GMfQkDPtqff,11322206534,0
DizLngzuCcbdhVEMFFWPBqhNANNr8Y77eHDFHsHTF2kM,11,0
DjPrvR5uVAETEyWpABXJkpHgVCCmBrBRh61WiwvcaUTR,11,0
ECYnuqRaTZ7mPMKeGWvMzZTipNVUZjdbGQwwJuHacGtJ,11,0
Eu3aZLwbwxfe1SiS6NSFBVT3rLBxahn1UEMEh2J2h82s,11,0
FvmgoeYi4QpiK7xyKRLzGzYrdqAfwYzTZdQByFWnRHcD,11,0
HXBpupcXWw8c9DaxT4NFfuBo154YxXAPkSNfWoXmQ8To,11,0
tVVzy8z6pS958QMQGLksCsB9xKxMoydEFdQNXWn6Fje,11,0
