pubkey,amount,locked_amount
124FoCk18gb7NjQ6VnVjEH4yGNUw6cFnvP3HTp7KX8uE,2,0
21wKH7NX9jawUofSSch8QhoAgiW1pci4mEYEkrHomi52,2,0
24p2JMfRYPtuuHH1eq2gG1tNgV74rBNP1Qf7kGeR48K3,2,0
25XjupzNHPS2Vmm6yvDejGv1y2rXugEmrvCMDyrMXghX,2,0
2NfYqtfQiau9YCfjF3mE5NnuhDrpwKo8G9ZqabkmDjcA,2,0
2bQjvKMZ7wDhcmsGgtDY9RcJprXmBzRDApfHUqwcLaQD,2,0
2hXoePeBhenDbFxHYvk36Uqvz2av8u53p5PXnQmxhuLW,2,0
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,2,0
2mGWBHTZRURigBVxurZgwYXYEF71pNdrsUFKkL4R8xdX,32841299737,0
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,2,0
31dhwHQLkxkmL6rbyCXnqHtTUM6taHCVewRHP88iQtqN,2,0
36NPkrYNeQUmMxX949o3NJ2rQ2rF8DpXn1997Wia9cVW,2,0
3TPP3QuT4Li7TnauavcsS9XpQMRgzTcCZtZmTJ5abLMv,2,0
3WQUY3r81gi8yzTvC18ZnynsWoMEWmqYgwMMWaBPqHbd,2,0
3iw8GxNjjd65uooxZKbxYX7zhLJvMursx1gyMGrrendA,2,0
3ruadCasQndcU3ue374Je8p4gDmYEoz5ViZecZavY1fB,2,0
3vULCsNtr7pfReqMg8vZuwjz5DvKbaTzwHrwCQcxTHia,2,0
3wyuPtzuz42XT1ym4ZwAVuHBRFtgaQY9QLJmjd7ABbyx,779443088,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,143788530,0
4L24SHvKTarMuC2aTSQGo8FkpyvtCEkxufQwTnrM8Spy,2,0
4MCL1Uq4GURmXArKDwjnoBU2yD6RHK48dSxNTi63vKrk,2,0
4ZbyCVeco39vbKmT6kL2xCa2ZzG8DUSH4XiBRE6g6FyS,2,0
4ZfkxjquAavSEi76aMA1Cznxu33bvF2C1ETZy2v1ETxK,2,0
4dVmFczTw2ekRtGNecCKGwvn3Krm4LQFz1kE7tfBN7LU,1182014,0
4kock4bDwsqJxdDu4CLCN8LAhZkzJcd83VkoqLSsLuet,2,0
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,7116922070,0
4xwTrcg9YPCbv9rrycEibuKxNxh33hdVNi5T3xXvWVaD,2,0
51CJ9WVRPXsGAR5cDKpuJ5nCdNH3MkUb7DYSr3C8Mpzs,2,0
5Kyjexx5L22ZhcBcorykUofzNX56batXPs1EwHtJV8f6,2,0
5dPofa5NvGRy93rNGesu9bdKhwFeL4ZYdrGVe9PNPzAn,300780409,0
5pFvKa3EwbB926yzGenoH4mS8Jyg1xD5Hfx4AVNWDd2s,2,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,99129,0
619vXfQKBh6YuiHZYfWNvfkWLEkxtVFwZxfmKzdrY6MM,2,0
6961wnrGu7VhV5PFhmKgjcJBJEHVohQwigteoSRxBnx2,2,0
697iAuDqcFYWJrAez1wagGUQZ9hAoYbtJ93ZTtBjBgVp,2,0
69V9r59ht7wHjVKX9eZN3dzxUNS2bm3SkW1KoptsW6L4,2,0
6PfEBeu1WLC3fSuGNi7GeQrFz5ZMVxDbYMYreEiFSyi3,33190972,0
6SGMUVZF3Q6YLBVSCWSe89qUMC5jrryd2EuAxuzVYvMo,2,0
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,2,0
6z7MFBJSmkjbPNrzMYFkKHWZb1VXCDKagQ2CKNZoaani,2,0
