pubkey,amount,locked_amount
24sJUXGgg8AAY5nuGG6ZVumFMprTrUyF3KkFJmyEhj4k,3,0
2HaFu1o6Fm3oRQbJje66n76GwfbEmEQ6VznkV3w8gVXP,36,0
2JHejVALF2Zv8smtRXfodtYbHEBdqTt6WXsGtuz6gE2y,3,0
2XJxdEKosnGASMoB5K2dcFCB4AApFVUZuwX9hZ2uPB5D,3,0
2ZcYhxGkKir9LYVP4b2y1qhPsjpQKmYrhypoLiLbsi4y,3,0
2jZPzF4PUauu3KSUSMUmRJM9nXVAmLWgiQt4PZnxxu7w,4849,0
2qYQqD32LgXh99mZ9RR2TFSf2vZELGfhDiu5Nfn46eLP,3,0
2sGRVk5C3q5fMg86L5N7oW1ukeQQBF5BpCm1Q6jETq3J,3,0
2vrY5UypZhAzpqdjxffFqbRSD36efZmXxzEMT26bVHkc,134985,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,798,0
3CnHGfkKbmDSPsZdt8aumk1aqC8NDnoXrBCH1QcTZEty,10587,0
3Hp2KdNFxvngLRmLA6f3CVtTVyLA2Dva7KJUNiYkBC9w,3,0
3S9XPrD77Lgso959i4JoPmadDAjQrR4xhEojK3en7iG4,3,0
3ZYFh2qF4FbgRToCu6rLPp9F3GghiRGd3Jjf8aJFjyFd,3,0
3edU4Tde4jvq5K4ngjm61DA6soxEGzmXbHXBTsUdHg3k,3,0
3edao8Z75Pz4R2qsZvZQr1VJipobYWpFZnrLj3m8QJgx,26329,0
3o2fttzVtHau5WuczWJtcxUJ4uAC3VorXtvWABK4Gojq,3,0
3ooj41doszKz4Ybu1sFJgCq2rYmvL2n962ZBEfEGZnB6,3,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,542724,0
44zqisTf5w8WwkVqx5psXCogpqR4oSose7NirGoHuCD6,3,0
47APvEhPcL4cmCTTcTA2otctzeEc9fLwBvZXNJnesFH6,3,0
48Bde4S6CS67fG8Q786hrTEbTYBK7uUVgL7ZB4wWJAQT,38528,0
4AcLbjSXNbGMeBvdt4XdZfzDSRZRrSZpcpfFZbQ6HLzC,3,0
4CEWqVTmpDxML9s5nEin8c9cDv6rDEiYMp2trcmDuEpZ,3,0
4GbUrgiR6A91h3J9HHpuYCkZzjwrb62n3BURLeWj6Nic,71835,0
4NmQR5nXwerdMc9gn8h9s3csd1UQGMvNPwpP2StSDqeg,3,0
4PHZUZQxJhwMburLr6Vy91Q9zMhJnJ1kGP72CduadaTj,3,0
4hQYEqv94hDdspJ3gZPTiVncJ94cLq6DtgccWJmkGVbC,3,0
4kgupQUDqXoCFtoBttJKK2qDG11jE2x9FE6XFTLGy3Wr,3,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,11023847,0
4xZhPy7LTX9x9NTthrBoe6d2nGsfZK2vk96dy2R4SWkf,42531,0
4yZnkohAekrb2fgZUkiKZtLcBpRoZjwVrPpqFNTYuJUr,3,0
5DYNhjnWmez8bk2h4QM63BL7N5jqsXAdCBjH1eCYdPbQ,10527,0
5PMRZVkrjx96cFxvMq5CUPgcUuvdCneRC8vu3QWeLhjQ,241590,0
5Wu7wbvCXYHrER7tnTyV3SzzMyoDaJoyRNFQVms3kvvg,120306,0
5ZLda2hgLfkEtf6QaNwdiYX12mo9kwuDC281zxxQtm82,3,0
5bEArwcZqhfZap6upHuWj5eR77hmHPVUScR6r78HUrBb,575180,0
5qQQDapGxTorWNpdpnfna8TctJ1UhyoPDRBwZvZWrEB,35364,0
