pubkey,amount,locked_amount
3ovDaHpvxoVQ9EycH2HGo8bsbAy49CnU5VAHR1wmVypN,289483133,0
5wGHA5Frxi7vv5EmwNMvUnKZDEshqutXHGUwPm3k4oYs,545214428,0
64VNHiUhzYncDoAiWP3YufyqGwfsqxyChW6o5cJa1E36,22967456,0
6APKYMHdHTFPSdJeq95jWAuAc1zfGAisZdL13hjGdtyx,249212988,0
6fNg2Eg8dbx2igEXxYwzymQNbrxoUz3shKHGHU4AAuTa,1122282,0
7V7be1wKTyW81kbXwU5Xz1BAvUbpKaJG6F63F2vtufar,26749284,0
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,1771321,0
8pFJ6NTqVBeEMnt1yh3nz9X6GegieHciAzMDNLTyzV8J,158832924,0
9CH6D4dRzChHzqBdXoSt1du4bw4frqUSPFXkPvS3FyLX,55939201,0
AREq78TGvjpPwUB3HCRGMiQBsPhv6ifKsrmC14ig1qmv,947319689,0
Annx9L2M7kTLFhNXDAXuKSXKGsP35hormV2iBFWJ4KMg,3984247,0
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,45009354,0
DV6ALv6rXMtSSLY3bBQ2rSmyxu6gLn5HwLvP38wYBkPD,3515185,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,522156031,0
GVkmdxZYoiWbZwg1uo64yGUBzJuc6Fkkir6EByd1Wdba,13201494,0
