pubkey,amount,locked_amount
13RaP2wgLcpyELbe97p7FurhNnzo3pMsHCx6HAo1HLZY,1,0
2T1hT4EYi7t8A74qyPB42PSMcZ2aVc2b7yasb4douKmf,1,0
2VWRnvCiCXFbWfiNB9SkeqLs394cUsYBSzMFkwsh5XtL,6867221067,0
2aVe5AQvDkE7HR5RP9cWCUMFQ3yeYSnM8kPZSMPMtpA2,1,0
2o1BMBwGzUGg5aiSycuYTS39WqU3jUVLGwZVLo6KzZVE,1,0
2wW3k3GkfDf1sBx3PGzwpvs54KF1VQ9Fki96t8rABFww,3665853895,0
3demjJtXVgRyHdssJarjGEhHrJX7NbMLLUXjayAL5C6Q,398855065,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,1,0
3pNMR9GDAYTMNbMNrDENVz1As1R5qyJVrrYcjkWJ8Y3K,1,0
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,1,0
3uDYhtQ3hSMvqzrYFKJTEEpkAuaLV27KmnMQsMf91DLG,4492406201,0
3vvGKy59UHZ1DYErvEJxa4vA4yRR5UQe8njqoxKZyU7m,68953838,0
4JRHikPCy811WDFFs5cUnQ3SsRbwxeY1kwgWoxCciDWT,100607573,0
4MCL1Uq4GURmXArKDwjnoBU2yD6RHK48dSxNTi63vKrk,1,0
4ZfkxjquAavSEi76aMA1Cznxu33bvF2C1ETZy2v1ETxK,1,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,1,0
5b5qPsMNa2KkTTPkGBadR5FmccvwuTgdRxGi93J8pTqz,145373645,0
5mGAkSBP5sWn8nKbqcbtwRF7ZVw7oBCY62J5tFFJmpDF,1,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,166430341,0
5wGHA5Frxi7vv5EmwNMvUnKZDEshqutXHGUwPm3k4oYs,12042530782,0
61znCqHoWWnnFh4ecd2hxU1kXs9vJGG2a5SZd9HFwDHQ,1,0
6LsscaTrb5E18UAxVzRGM3AyTS9ERw6LiJB2KDxq23hD,1,0
6z7MFBJSmkjbPNrzMYFkKHWZb1VXCDKagQ2CKNZoaani,1,0
7VC8ckqCfpFfDzSAEPPdynYU8kTRQDNX2RzPZEM7gEfT,1,0
7Ym2skYEc45g85H2bhL4y7o2BZ9KwjkrRR2qRBhhP7bb,1,0
A2xhPbBfdw36sVyVnCXBABgbkkvrt3oJv8NQfh4PXvXB,1,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,23426748,0
ASx9MajLPfDNDkG6uYPmrsr7nSyTy7VfJZwmPw219xS8,1,0
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,8375041970,0
BfBGjF4UAzrRE7JmncQVqpW7mh4wFkJ1qotnn9vCeeiL,1,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,13556679253,0
C6jLUV5pytfSHcBqFLVCrBoPxuP7bcZHbr44xqngjfYd,4042265611,0
C7SZPpDQTbeBF2oYStvhNzeH4KeHbHau3Zf5zgW2tiGP,246696352,0
C85eUnzQEkzcQ8KpvMaFW7UgPxi7tdvhbNij4ikhS6yF,3105444435,0
D2YUnknNAWGTKcRy8FUyrxYAeU4ZsNqWBeYmB1nKgfue,5169888063,0
D7B8C4Mtr8LZxhvC6zzfJHCqKazNydrvE8GTmGYjPJsN,1,0
DSUNiSSbDSrEnxVB7saNC6BhUZgGoTXBEykLWfmVnVZ4,22397972307,0
DciRVB5msDEaRAqTGHNnnicC9L8B2U2mnYYV9LYMWf8T,1,0
DdEN3wMFvLYmQaDoiT8EjEcddjkXpVma1GMfQkDPtqff,79426742738,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,845096541,0
EUjVCvdvkL936EFkvEaGApjQYtM7nNwZTtPfuS9YfhRS,71167125,0
EuTsbHoFLvnDSNoA3oF7fNg61bfro4uCEaHcPNCz5q4v,78055977,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,96261104443,0
F6KX5C1F3sf5cYbpgq3vihHteVD4fguiQfFbKa3JG4RH,80933587,0
FKCJsKv7y7hwSEGmGFw7bct4EGgSjSykJBWeMUDouvg6,1619357035,0
FPqdf9WkqCDwcRWbGfvWYXNiERnmZXpt5Vr9w7uiaXgr,1,0
Fysp3u35hPqpzM7MuHmPALJdmvZ8zDmqGokV16qvFtVf,1807863361,0
G9sFBWusgP9vsTENzoQnHHqqHRqiV4gMxchRyQ3kVEzt,10687870179,0
GbDBjo2D81gPKcHrNiDwBgNoyiu8HNesiLfAanraLLWa,1,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,1011081519,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,2428001543,0
K2eaEfKpDmcc2L8RNBhLcQqf2sEm2iNqqwoFc4pTTFf,21705209998,0
Wqx67Uth1G1CubjYTFMproyQ1EXr1Jw6JPDTc7ssvcr,1,0
jwxzV5tRgz1MpnMTTooBxYAez8Ddi5u64VafnpB6kr4,7091391177,0
