pubkey,amount,locked_amount
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,100003214332,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,9813029478,0
3vvGKy59UHZ1DYErvEJxa4vA4yRR5UQe8njqoxKZyU7m,10811059208912,0
69V9r59ht7wHjVKX9eZN3dzxUNS2bm3SkW1KoptsW6L4,2870795742532,0
8ppt5frg1oGp38ZL4aABUBDhDN2hVXCiY4EsWYFQDgoD,2001292504,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,2025102893906,0
ABMRvpV6Yxj1b7DD4ESbo9R9oaWHvSrLTvfVx4Umsizw,26206269694,0
DkHJBx9gvx92xrUxZb14ZbSbuJ6j25Jug3bBqTaM9JUJ,451647231628,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,124198494577,0
EUjVCvdvkL936EFkvEaGApjQYtM7nNwZTtPfuS9YfhRS,19009408286,0
GMthWLaXGAf7QZjCcxvRbSsci1E2aMvYsFRMbakVnTa,1537132514140,0
GkkMeqVHgfAyTrBtjHjvPm6s5CJnhyHbVaaJEJcEBaXo,1070626567060,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,311012894886,0
