pubkey,amount,locked_amount
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,1,0
2vpT5DMgzq7ZTUjH2SEAgbjHmitPfiVWVcMwiRMWJs44,1,0
3L3Qqyci92MJUuBmBT4nvQFw55zQePMjKmNgbT4BdVyY,1,0
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,1,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,28804107,0
7DiENRdPeXYNvk9wAtSanEZYvMfsN24oge1kxDRLKCag,1,0
7zXCs9nKv6zBPBH8HAXCiGAViBdMgbdUWQsyDTybD2qp,1,0
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,9999,0
8QdM823KqVn9ZxrH1krUPWXevA6WEEhYpo6kNmrXqHCP,1,0
9FqqptgxAspWjtZ84rVtq4NXRwJQqtE5HD3jMcUWVADv,1,0
9GP3Dsi1xnHTbFCWHxzLQHew31yVExuzp8ofeerMAimR,1,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,552958991,0
9hWztDnzN3Actco4Qj6gaicqFAqQg9wpBAK1bftoN83R,1,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,1,0
AVxJ8J22DFPYzeXAAGBDEJiUT6wbxa9i4e6giTkX1ftw,6787764,0
BmTRtsdSDZmk6uqQdMPseKHmtojjRdYZ8r6N8eDKrCXT,1,0
C6jLUV5pytfSHcBqFLVCrBoPxuP7bcZHbr44xqngjfYd,100023434,0
CLLtUbLN5yMaD8ESnUtmwz3YVWEzs2iqzoh4r5FYewR5,458680674,0
DLMM2TqQxYMXYqwa7Ng1BNbduoJEpr3WpX6tDdu29UX2,1,0
DPQM6Nr7brZxWNwsDWkUi31XKEWhYpzE8QNJhYB7f4F3,1,0
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,1,0
Dq17fAFKj9KgYvoXh932AgWg8CDGx1n7Ro4pyx2aew4H,1,0
E6zA8VnnnxNFzP1ao6gZrvC6uFGy4ErLnNg7YNZUhas8,1,0
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,1,0
Fp2C2dFTa7UFprUEZYsaKQKckLWNUd2HFcLusBDty19p,1,0
GFAaV8r6aB8aYgD9MJnqgXPpJU1r19tH3hNKkmLjio1V,10058391,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,515554,0
drFFit5AJ5BWeVPx6Rt4SNFncycyswkAAq1g366jN1b,1,0
ozrjemeLvdPhdYAmKmW2Tr4oNY5K85W6HpZPj6KeAqq,1,0
yuru1ARL4bcmSFpufUCdCrF4joamZRui9CawdgE4ZCW,1,0
zVz7sHuZEFGLtaBwVicT2C5noprN6SdHm8t7L9xNvDR,1,0
