pubkey,amount,locked_amount
13RaP2wgLcpyELbe97p7FurhNnzo3pMsHCx6HAo1HLZY,3,0
13yZwif9zH7yG4XWHVmbcscnvdyAMakMsHVWyysdiMbc,3,0
14oj2eAuSRwEV1RtoVEmyuJQqoCXbnLbAZeTJGqxPcGW,3,0
244RLNzwZXTKjD1Udp3ubmdh7r27wJyEp9iQdPZ76yLN,200698316,0
245VijJoh5c6h1N7QGE2HzxG1hR5gr8BKxbpLUrxTkqa,329837706,0
256Rc4wuRW5peVNiPbuj6nWg5jtvqD6AaQaJ1rWR52Nq,3,0
25VXcuX9x46FSZ15WJsfqSu6t6zUQb1cq8gDgxAaGBqG,112686667,0
25XjupzNHPS2Vmm6yvDejGv1y2rXugEmrvCMDyrMXghX,3,0
2DLGU5vUXYvw8rCepXKMaet5ksJ5KRYCogxnB6QyP5Yo,3,0
2P5tkJVpceLPdnejvc5DBGd4RxkmtouYfNkb9KKPsPxW,3,0
2T1hT4EYi7t8A74qyPB42PSMcZ2aVc2b7yasb4douKmf,3,0
2Ve3AoZaUqRbqcMLme7C1NZxS98d21u7s5ptA6xmedGz,231739816,0
2cxnJBBcXAFXe1k7K2dfiQmwWvhXtQ573a4aXokDvu97,3,0
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,3,0
2nAFVzKrRaskH2p5hBHcgtj8yhPFiAgaF5N59aoz4tDZ,3,0
2odutJkki4YJpzWH9wLv4B1QdRfiwPhD7vgDkXX7EMXD,3,0
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,6045674505,0
2vtQcfjD6jyg4sDbQbz9EAv4sRdAYq3odVrXWrgvNV3o,10159987,0
2vx1GxuJArACYKHeRSLW5vqumTUSEKMFsWkbNNypteeG,3,0
2wyaESNgTyKJzMT9ALzWfxMd8KELuchhU5Tk2pKFaGHu,3,0
34VsXv46z96ruUhQEc5wcfKDmYfWx29HfyXkw3KgNGWt,3,0
36NPkrYNeQUmMxX949o3NJ2rQ2rF8DpXn1997Wia9cVW,3,0
37YdDWBKPe8vvDErrJj7qcyTro4xQkHVY7mMS1CyeshR,3,0
3ADkJwDSBj6JAGHAoDi3NWedjaVcf6SieugZQkh64EFQ,3,0
3ESUeA2833rEUQPCKmV9LTrDrQ1isp5VP3Ks8fLC7g1y,3,0
3EVd43yJJdChPpsdaNbcYbDvZXG5rtV96yHQiD31HR3k,3,0
3Ek9rWhErCAgJGwpj6oVTSnf3usfFbyyBMj4tNzCghEh,3,0
3FXcDQfrzQ7ELRajwnzAUabU2rRDBrJDoUUebFRjxC2K,5529163355,0
3KGXgMTUD8Pir6kuLQ3M93h23WiQfqH4e1G5sN16gq9x,3,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,1578953,0
3UZURzJMxS3Cu91DeJ2q1B6gWLjtwoQMmTsWhbJxM4hN,3,0
3VA8qmGiFGoEKt3REtNEUCvKEbYyrxnt3qHnzbHU5FfH,3,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,3,0
3kuCsYkPFbGfKhUAXt5LWwbh5prkgdZt1Qh4DwBP5jqH,3,0
3nrPcy4AyfSaKBdQVpw35LJAsHVzujzvxAtzyM2TECHK,3,0
3oPbHCRmEn6zRJua51968ebvVunJaxi7C1t3iutBnwKV,3,0
3phJ36k7vV29mcbuSMQASwhef1c6iU8LU7kj1Ptd7LgC,3,0
3wCQtAeZedjc7v9tQYievmkt569zRxkyPSVbEHV8GcpM,3,0
3wqY9zhS11hZKbQpCKe6mgC1fnRuN8CafhtBGARQXUPe,2814230459,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,11611764,0
43JnWJQnuc35RSQvNiv7XJqXHL5o97ZZ6xk3s7mSCXko,3,0
47E6wVPDZ4uHnBLXYRPm8oxo79wXDwrCBW7QyK6mXN8y,3,0
47iaTpw5hFjyd3J7Vx5Zim2ohkHsHG9jTh3rvCSpmPLJ,3,0
4NmQR5nXwerdMc9gn8h9s3csd1UQGMvNPwpP2StSDqeg,3,0
4RwNuVLtLzLDJfFKrSQVFU3gv3dYBC41jrd2dQi2uUnV,51747723591,0
4VThAoxEaRzQVM6MPpzJVjh1cmYdNkyKgpXBWt8HMeW1,3,0
4VzbYpBHZtEMe4vAnKLzg45zyy9fsCrvw6FYEL1txbvh,2708886866,0
4YCsLL13SDf5Eg6VnDLxCZdMgu4UmL7a46Vkx2ZH3VXB,3,0
4otMAFUx3UGa7XmAERHwnYYteQ6e12PeAGv9j1iAKpj8,3,0
4xwTrcg9YPCbv9rrycEibuKxNxh33hdVNi5T3xXvWVaD,3,0
