pubkey,amount,locked_amount
26rpm1GaCskfwPQEeAjvtdgTkTdoCJyUBC5UdikP11fS,994100743090,0
2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,3967108145935,0
3demjJtXVgRyHdssJarjGEhHrJX7NbMLLUXjayAL5C6Q,11,0
4aE9dRS7s2FoJFoMiqCEGuu57UgCRhPcZemuNbb5Tb7p,11,0
5LRV9yNWfBZXsLH3ZFvRWJeP9fKHZnFTkQWfTsxMNa8U,33647636189,0
5xuj7CwZvHtst3Kx9vgKZNLSmZUS9LbNK8311JbRyYhi,11,0
6YktMmvQN1bJzkYzYnSzXXMXZTsd82G8Tr1q3YeEiHe6,23547565429,0
6dqe4fHN8DVHV4RjSKmcCKU5HQpE8o9tgZG5CN56nGCs,109576623509,0
6u5tQxVkzhkLVwppig6AXzjxxPqJdw5pHeZdy8jSrwSN,11,0
783JQd1hLnPxjJwMuVf3qMYAb3FKRW3NqP4Yp2Uo3R5i,11,0
8geT5DEDekfsvXAAedUY2pjmCNdZyveioX7LgjsBMyna,11,0
9UpFVQQbNuurq5BGteqe2nu2f6u4zyEK1oj2J4PYVgL1,371534922686,0
9mpWKAHB3CS4XhFDZn4AeY7KwPCQCdbTgAh8DjEXrGJE,117385059446,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,11,0
BLqA5ixLhC98Gr9AvSqSAJBjt39v2pq3xce5Y7ShKaeS,11,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,204631294979,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,11,0
DB3nfP4UzQe194MHBdYPPaxcjb5TWN8btiw4Ume4Wexc,29438514676,0
DVV91o4RkSaMuSBNZ1rFNSHH7xGbqMey2cSprHjE2fze,11,0
E1dYMz5CU9jcFoarejuvbLkyeqWDL5ynqZhT52zBvCZn,11,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,162845369011,0
EYEHqFSLpwAKBFMVcwQ7Ts34C318hFDv5RPmEmTrmF5o,11,0
G2jeNabajL6xKYcoxx4jfPSa1jJMj9w3SaumgRwJGtWd,11,0
GMUb3TxU5f5ccyd3Tq8fwHqHbbqUDUQSLsYE3EG6YTn6,11,0
H3BJbaQcQ5AzuFd7PgXmCp7W3ZJsQ58QANp93F6Y8Rfd,390429975274,0
HTqam1fcKAuAZThHgydf55bnLyZWaK5SbLEyHhwNK3Dt,11,0
