pubkey,amount,locked_amount
2HR1cp67jBUfQWr8kgPF7aTfbb55JCmhPdntVB1cA7f7,13,0
2nAm4LFPU9h1kbjwtY6zPaKNvceVoLhrR3FmQLrz7uER,925081,0
3e7J1nuX8coJ1MHrEAJ1bBydUTAG2vwHyc1o13Kt4DAY,13,0
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,13,0
6AH8hNNAjqKkjMsyFajbFY97NUAjCsmFCfncPFsv3THy,13,0
6Z2HJXYN9rJBc1VHcdjiPKuij976s8EjgqdG8H2ftUYP,9040321,0
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,1127290584,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,6615663,0
BFymwsMjocJH8VUXK9JLnTzJsKDpQoStunG1ReWS1aPY,13,0
BHad7VToKudK1mq7H8xYDCApaeprNwyR7q8teX4PRRf3,21933196,0
CDcc7Q3eYfGJbhF7vCJqojMnby1tmLNppxB9gkxH6sHE,2130659,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,25328783,0
Fis59jzu8Q8EdXaFKRsnqEuieui3zPtFfhyCACnfJc19,4344801,0
GqJ3Ga3PZ1pnoWrvQiAM29QXwTtTkN5Eaf2MzERfgjaz,13,0
HFeE7Jayyp2M1LjBzbuFJfksZq4yWM3gFc5f6fdHRe75,13,0
