pubkey,amount,locked_amount
39nUkRKZZg3K3nSsRxF2Nx5z96PKXAB9KxvARqECuRU6,7,0
3gthc3EgHxfLf9LVeNro5eRYULUJV35kVaCY3U7vFPQV,409198930,0
3ovDaHpvxoVQ9EycH2HGo8bsbAy49CnU5VAHR1wmVypN,71254421,0
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,7,0
4YLgefuGFywGawRk6pXqYLskZN7hydG1uWRW7bWAhuAA,7,0
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,7,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,199400625,0
Acm9jFL38gYns6ZFtyfGuSXvjsSd6UxyaDa8JdTEkJoj,457727,0
BFymwsMjocJH8VUXK9JLnTzJsKDpQoStunG1ReWS1aPY,7,0
C85eUnzQEkzcQ8KpvMaFW7UgPxi7tdvhbNij4ikhS6yF,6580597,0
FBw1Puf6WFVRazAdgH5VR1LHdw1F5dDme4oir4QF7H8H,7,0
Fis59jzu8Q8EdXaFKRsnqEuieui3zPtFfhyCACnfJc19,21850582,0
Hu1QPZpxD9Uv936TVpAz6s3un8C1c3RXa2qHBo1rx8WN,7,0
jwxzV5tRgz1MpnMTTooBxYAez8Ddi5u64VafnpB6kr4,57389536,0
