pubkey,amount,locked_amount
2QvtetkXoPYTEg23Qsm9TTahzKYsk1JkAZSCkySpAv9A,1,0
3hpZq5rtYr144VbtMRuNhH1HGRepQee6zCvD6zecdNeG,1,0
619vXfQKBh6YuiHZYfWNvfkWLEkxtVFwZxfmKzdrY6MM,1,0
69V9r59ht7wHjVKX9eZN3dzxUNS2bm3SkW1KoptsW6L4,1,0
7rBpxQknmK9tj1exbFhCedeRZotReKV8ExV3toKQMeFB,1,0
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,335037454,0
9Fuj63daXBhMA3eat5iZmRWQakriNhX6bQys1wBAh3ke,12999999,0
DV4xEyvG892xofioLxryAyhjYua6RFHxtuo95n5xQMSv,1,0
EpFRrvT14dyuzRQZtUbZTPs8mhSAnXQhNDNsxM2z5hsM,1,0
FEu3nEuwwK2XEpH55aXrV9SPTXxVG5cpVahrsHXVMvQe,1,0
GqAnCDGzf6XkdSJzs99HwTsKd77Xi2xj2k14CsuibcEn,1165085118,0
