pubkey,amount,locked_amount
39nUkRKZZg3K3nSsRxF2Nx5z96PKXAB9KxvARqECuRU6,21,0
3demjJtXVgRyHdssJarjGEhHrJX7NbMLLUXjayAL5C6Q,21,0
3gthc3EgHxfLf9LVeNro5eRYULUJV35kVaCY3U7vFPQV,505263211,0
444csMHxs9nciP5F7dpsWW3CrjAN1VDB15ekswQLpkfr,21,0
4aHoYa1JBLqHn6HHep8NozpjjgU244mB9XRKxY217MM9,21,0
5hGAjhVNHW63gANAYyQtyqfMPGqCioN7ZDnBmDSerto9,21,0
6AH8hNNAjqKkjMsyFajbFY97NUAjCsmFCfncPFsv3THy,457700791,0
6dXmw9WHzoMrwj1oMbVSTbbhsXrncam4S9qWBzB9TZRR,21,0
7iUAgJLnjyHcmdPvpVCD1J3K31VVrjRJruwoLBAzwDzD,21,0
82qqTwynFC1qzE9QFTJqRDa4LJzjNtA6Lrjresvb8zzn,21,0
83zfzhtDwdbeLcUdXwP2boj1KJcP9dYiQjoc72HbPppw,21,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,244457808,0
BPrzQVTYco8fAtHgknAkqutXyEMS4TB4cmc25h37MRu,31985153,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,182118427,0
DVV91o4RkSaMuSBNZ1rFNSHH7xGbqMey2cSprHjE2fze,21,0
EeD5qkphoyGVmkfXLi3e1Rq3Hg2zdi7asMjVgXj1kdRq,21,0
EvnrAQ66F5DrCoNVC1bqyD4wAetXV3RFtcAJUwxrCf3p,468473483,0
F5Se4B3ufu4XgsX5bFVYftZgdAUNK4wsqNv7XyQks8Yj,8159296,0
FE9DrprrQ1QuLCNwdCUCzj4jc7sUkxzHWDKL79uDx6kh,11415902,0
GFAaV8r6aB8aYgD9MJnqgXPpJU1r19tH3hNKkmLjio1V,205931202,0
GhiCQtyZd3DBaYo7hzwQghQjx4ARAabXmYkhx6fFygTe,21,0
Ha3ZQ8fJoveewChTf6HoDXAQ3pKCkFdPunJvi7pKrke1,21,0
J6gzrj5pabDa6q36hvbkJRUe51DJ9SLG1ChMt6AhPN2N,21,0
