pubkey,amount,locked_amount
1J42ZRiY7CdZ57QwuhPfRXb99fyNhnYoBtYqGuB8PRe,4,0
2BMSftN1TdV7LoBNzTEfXw6Dj4Z9nUqjFvLh2KP7Ftwz,4,0
2WodYPhpSrDVt8njf36BHPptYpyBbkrtfufJwhEMHYoJ,1592243853,0
2XcvV81GjvnHoBwKTKDd4moi5V5niH6DPF7fW5o5zZH7,1056962,0
2aVe5AQvDkE7HR5RP9cWCUMFQ3yeYSnM8kPZSMPMtpA2,4,0
2hXoePeBhenDbFxHYvk36Uqvz2av8u53p5PXnQmxhuLW,4,0
2mjoxkb3C1pFwz1aGDKEne7CgSzmkA5KFWWuxunsWDE1,1030990,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,7402,0
34xEWQzJkKzxL3AxWByit67s1yciXdPRfo3fzUzQaYf2,4,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,2001540,0
3CiHM94CFZDn3wsRNzxMVwyyCPQxV8nNTnqKfVAFEX5c,4,0
3DdsNJR4kBsJ3TjwgyYHvfGT51dDGWF5s21HDawQkREx,635852,0
3ESUeA2833rEUQPCKmV9LTrDrQ1isp5VP3Ks8fLC7g1y,4,0
3J7jz8UL7eEU8XKmMSSf57VaFqS6ty9rvDmTPtDPWK2K,4,0
3Puoc1baDdGLShkJ8X8yziSJ2YxuR6wMoqzLveZyfzME,4,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,15216891,0
4AMBNx1tDe2X4mEqXw5R16hEVtiDSakRyqPeiABUyMC4,4,0
4CEWqVTmpDxML9s5nEin8c9cDv6rDEiYMp2trcmDuEpZ,4,0
4FFe8WVyEgRnYv9hrvmYVKCYoFSkNrvTmN4CNHVybhGf,4,0
4pdA6c6dmwiCErgBEu61HA2ax2XAr2ZwPDLF5Lacuzbk,4,0
4xwTrcg9YPCbv9rrycEibuKxNxh33hdVNi5T3xXvWVaD,4,0
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,44722276,0
5MJ6Jx2SJKyTceLBa5DoGim1sDDcFAmcQQ5gyQedcH8M,4,0
5aVSoTmYkB8iypBNfkdR4GE3JMnriTvqM2bpoEykvmoz,4,0
5dAa1WBTRKRphTm5NPGK3itDN1voCtY6ESBNNDxGNF5z,4,0
5hCGUmuL5NBrmSvDPXGqou2c9M9GiMQKAYZuktPcWPfA,4,0
5twFtriazqNrXEVJwdobdHbAas1q4uaBPkrdsoz95Jke,4,0
5xkQPdndCN9Xp8PWgk8Acqy7BSbeH6FT7SEb56UQNiwz,4,0
68kSjSHoKy5sJ3yBKQStKk5vFtLYWaZN6qKEBjuj94Tv,265984,0
6AEhqtzHXA598uJ2pU6XKeT4uT55JQqmSc2dgv1qyvNo,8098082,0
6KBh9Tu4MYGbkUC2RXh5MuvurGBbLtP8vED8uET4GC7F,4,0
6PfEBeu1WLC3fSuGNi7GeQrFz5ZMVxDbYMYreEiFSyi3,16162941,0
6TdVrTVxmwDDSyrizajRFEAzSSrCej9QRFkWcHE4BEkT,4,0
6WCSzLNcmyH6f3i3VJKU5jTMNkRVJBdEY7trfLJ9Knrb,4,0
6YEPCecmLMN1JFMGMmSTZEK9H16C6yqV5STHoDKy5BVV,151624,0
6gs5qeLcHAL6XxDs2m4Bs93mf5rT8AxU8EVUv17kfCVi,4,0
6hiu5hAm6mWjcFNZb9FAMh91yCj65FtRtcLjhU2C1A6v,10138052,0
777DSfQPZHCMAHp8yCQ7esHvNtzKgpR1nJ2S7ZaQiGGi,4,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,4,0
7Lh38sd4pseKra4BzasfiCVAQXB8KbXMSvsWwi6qVeJz,4,0
7cT6TqrM6ttq1pRtxvHsQ76hFijbtESA55XZ3mhEUaJd,4,0
7efFnM1ZLrN6BiJPZWN1HRrADvmHk1MhBENx6nai5isQ,11713958,0
7fms5JXcpiBumn4tk4nibwCt65ehXZGC29nQYmfS1jzd,4,0
7wma4AJkWf32i2pmB3WXEoPjievwP2cRZsD12eJTd6mr,49998,0
7yNh55E4NBfbDTQdB3G9k5TTqz2m2nDYvEQV416UABNw,4,0
82sNoVE3Kkro7jxYCFFB8bGtnvBswikA3AfpeeqGJVsg,27216,0
8DKK1CHD9Yoy2xXY92RdMJk3W5tsBe2HpYJ6M72byiiC,4,0
8F2swYjZEUjYLi5ZdDLnGNYH9pK5CVjEz5fqr4BqBZPh,4,0
8GD4QVQPWtrazjnUAKhR86oPdHYCpWei1KNCqNivVwyT,3439809,0
8aAwGy74SFyACbaBx6keUz2J2y8jb7M9LRBm6mvMSRVQ,4,0
8iZeqJgNjm9Wk1aL2FVHRkNLzEL7adWCyVbJmaLLJipZ,1170763,0
8pjubux3ZGWLg27WBTBnUgCELb3YM4QP6h6ZxCiKyqhn,4,0
8xUaxoP3ayuAzyLXdcnsGutHfsUmS1iLjqd4JuCfHE73,4,0
91hcHknz7ww3zFuxVjF3p9fCv8jadJE2wE3dNGHA1BzH,4,0
9bZMA6TFMZwosoGJqMPX71WUbELmqxefT8eFmi3tRoLb,1157227667,0
9oHXfTUhH5VfH2ciyEUsAc39he27xQtRRxkPeKXoFArd,318212,0
9uYvq3SJCfCgwLRHC9uKVUdhhfb7Vf9JHb2449TobAc1,4,0
AJDaSQKFBPbWCZWsxa2owFE2R978QCFLvgw9AmZhrsZD,10293,0
ANyRaHQyLsKrx4DsizbdKmoGMGzyoNpH19XEGqvEnTZh,4,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,152336419,0
AfVHGFuAxV8gMq2EHWzW2Ja7toT5YR1o2xsqh4UQmMKS,4,0
Ahg6AxCcAmR8qC3oJUyHMmZ3vGPdWmZnX92CJhRYMTd7,10420,0
AkmXHMnrhb4ycycT5xQGHUm6gmr7AYgErWJQtxYzxw1X,4,0
ArRqntRT1QiurpDvCyp2T3fzwtbf61WiZKzJfXM3aeh,100717065,0
AxfoqjvaJM3kjB1mDYRVytv5Q3ERGztv65vGQRBVs1Wx,4059680,0
AxvuxoDWbkgPhtTx6eua1iEVWq9sx7zapiz5XjUJ4dB,4,0
B5C2zjDnhQ7eUQkotVSjU1tMn3GGAY5jSTz1UfK7kdiM,1703290,0
BFjn6fAgXhPuz7tYD7dngY1EX1bUTwvKzFWd9u9dVYz8,10528,0
BKX6SDfoTMBPDgtHJXpbqaBZuGoV16QD8gAZtnhDDedm,933761,0
BQ5VBC6AVYoQidHN3U5vDxeVDFHEip2MUzcB93vQPMkw,4,0
BX7V6Ea8pkniD7boCt4NpNtyALh3YBjiXFNCqzdbV4pY,4,0
BfQdzVM8sDQiL5PD4tszEsZ3taFdCBeLrWccfSyKFF5Y,194167189,0
