pubkey,amount,locked_amount
2K6dkYdHssrZcwJcwRDTPmecgx2zw1b8McJ67ttYCwXp,1,0
2sGRVk5C3q5fMg86L5N7oW1ukeQQBF5BpCm1Q6jETq3J,1,0
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,275676,0
3v9Fn8R4ERxpN59trLdGNqJfYHgkWDxvRdyt8tPWtBgt,1,0
4hQYEqv94hDdspJ3gZPTiVncJ94cLq6DtgccWJmkGVbC,1,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,6100803,0
4trKw9NXgMJC47WzoSs6Z9dQ1VVqoWGLrosdk1pJNuuD,33262,0
5qPvWr2GQY6GQyZHUmzoqvyFy7forXRmxiaYhoArtQ91,1,0
68kSjSHoKy5sJ3yBKQStKk5vFtLYWaZN6qKEBjuj94Tv,2559,0
6nXyXQqF2azhse2TNm9KYLnTW4ibVM2MonowQ6QUts1Y,1,0
7AGYz44pv63ACkvjNproeMruxBr6EJWuB1DurvwefVhY,29005,0
8KnG6rFmf8wSR98qK2b3sSwbqXV14opU425o9yM92ziP,1,0
8VYUF7gFDCBsc4ehe2YGK1wxNU2JM7vevDR5iVTReoT7,1,0
8kVVNq4zroXc4ry1AWxpgCiCc6gSHwoteWaX6iZriQJM,5006851,0
9oSu7jqwhK5hWGigZCZFreqCBWa1ekUPijZvs6EftFAU,1,0
9xHtmUFbiHzopSvxZ8D5wRQxgWqbrEVJmkP6oSxvov1n,1,0
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,217474,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,568942,0
BHbA61wKqnjgaTaS5nm2Hhv4xZbu5qEQihjZr7DiCFgu,1,0
E1dYMz5CU9jcFoarejuvbLkyeqWDL5ynqZhT52zBvCZn,1,0
EAujB36EQEfL1MBhx2Vj2hk29Qx58BbscezgWjoyCLH6,8536311,0
EB1CAGDVwfQWq3hAsfivQ4DQMHdvoV4Hy4foPQ5fDAGY,1,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,1,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,989844,0
FNzaijXu9KPKi95cigGQfj7av37JxdSNrNDUKjWCUWRa,1,0
FdhydxvQZfnev3ib8PjZhC5nXW18iWwPbDnwiTDQ71Jv,993223,0
FkEPjRgEpToYdTjZ2swW11XtFqdZSkuKKsmY9qdrdBk3,724159,0
G86eBhFcxw2PS43WuiGqf3kQwdk1A4JnGb2eL9efKXBE,1,0
GVf3QuLndspcguCv7XTYsKcsPdo2dT55RAqMkK5mAWvN,100343,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,1,0
HwvXTXWjAbMBfakzu2HJZY6XAn7kfvjnPBrfoLtAqp7o,1,0
JALt75hPhQ4yV8LnKN8LuAdMKbbF4RczpmyQXDVDGdgA,1,0
JFCXpkSzKsu197L6pbbzNGog9Xuq2XMGX9wM16GGNXE,1,0
V3M7A8EDA7m4NqnbGreECtpsqaDsM8YA9Zohw4iBj1h,1,0
XXXX73RrSGdgK7tFpQzfWVKQx1z4TWMPNVCQaNg8EJ3,1,0
