pubkey,amount,locked_amount
2cxnJBBcXAFXe1k7K2dfiQmwWvhXtQ573a4aXokDvu97,10096115876,0
2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,3032856599,0
3mizMpHaBv4RnqkJevVxrqYNnQGbD757gSicNcAZHnff,4,0
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,4,0
3ruadCasQndcU3ue374Je8p4gDmYEoz5ViZecZavY1fB,4,0
3v9Fn8R4ERxpN59trLdGNqJfYHgkWDxvRdyt8tPWtBgt,4,0
3vvGKy59UHZ1DYErvEJxa4vA4yRR5UQe8njqoxKZyU7m,4,0
4gscbsPeqk1ETepVSmstQ8hASMTxAkSyFBYNviMrVjrS,4,0
4pdA6c6dmwiCErgBEu61HA2ax2XAr2ZwPDLF5Lacuzbk,4,0
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,4,0
4xUqBbsm8K2cQ9utnXHHh7Nqzi8cwDQHHvz2ZhnG8TJW,4,0
52PTQshhjnHnhyHbgu578Dhv7ivEt7RpFfvgohG3242f,4,0
5ByQuSeddg4Ug18JW7yKEVtQkSF4qNunEAjyRXbVNhAD,4,0
5LAaMWoPYxGrWvfj35hiqvhPRXYtCvRsxoZBPa8wcedF,4,0
5SQ6i5YPKF8mCjBE5VVFcxWtCxVmB3f3Cef9RP3b4qbg,4,0
6AH8hNNAjqKkjMsyFajbFY97NUAjCsmFCfncPFsv3THy,4,0
8FXX2p1w4rw8YgZYAT6q8kDR3LW3LupQEgahWEyr6qtk,76685822,0
8oRJUDqzr7PpDKfKANx1WFwrfJTmXZ7WzvYpCa8h8wMt,4,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,4,0
9QisoDvwuYtJoUooM9JXRuah8g4c19M3au8kDQ7GiWxW,5003363,0
9X557347oFgEuaaeHxS3sgMjM13R4PaGoPLPHNDbyJq8,4,0
A1hWv2neBnoDp7uut1bYy7CLE9yGSNjvyKtdkvrFUs2C,9326975,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,4,0
B3GpuGQ7Q8fJakgRJJNRaank7z4m96YDs5NDSepPTYQF,4,0
BTypZ3B5awA2Lhon8jeBkJ9defEwKzKa4hEwdow2gktn,4,0
Cc5JDVfZJvQNQEozAc8MpkQEknRjBMQDeELC3ttbMMgR,4,0
DKC92zZokaTjP7kKYdGr25fkAZLRJE3pVJx7NzzAjzCV,4,0
DMRN2YWVYKXXxW71pjzUorzzm1vqAnMmLfPUUCjZpmDB,4,0
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,4,0
EUxExAzZ7DUBAfU53bv5XG3L3NNWk5vnnV7TmtMzxtrd,4,0
FBKM5qEj7EFALBfpY8H2sqpyCYnB9BCczj6KEcaeL8E3,30875917,0
FcEPDrJCnx7962HB96FKS7yVchLEbG2RZSysBFcfkogQ,4,0
FvFjDU271T4qnqrKYchpaS7Hphtpzkii2Sbfq7tjJFT5,4999999,0
FvLnug3sTsQE37pfG8aQTymGwjxY8viAmva7EGRVUeem,4,0
