pubkey,amount,locked_amount
13H39smF92YdezqnoHw1WuGQ54z6Yzx2hoR8NNVtLCRr,65915523,0
14amrQMo1WuB3cT1xrWUwkYGj3w812KdJ8BjdpiV4pk1,8,0
14hPjEieK3uWPh5jW57r2sp49F5Qqvv3xrf8RLLL5zjF,8,0
1Tyrnrm2GE8tn4EMF8DVxEZVTXjCDD4hoSWsBzvKNae,8,0
1d99tbdrzNK38GakZbzqH77Nbs3zX4GitkHrApNKnbU,8,0
21HP6oAQ5DvcNXmnXH85XYEA5D7Va2UfyN7SyEp1Bnth,20573383,0
21wKH7NX9jawUofSSch8QhoAgiW1pci4mEYEkrHomi52,8,0
22AQxeFwce4u86grPKHMKARBpXvhfgxVGcSCV2iPGKGQ,8,0
22j3A48m5aULPQSorf8r6pixpckdDkohL5K2qwcJGkKF,8,0
24WGTDyuydkAsH1Lzcb23TXEBCGcgVTSrjqntUf14GK3,8,0
24Wg85UESGfNG9SHBxrYH1JimqNsFGau82bsoDeunihH,8,0
25qG3MNHoT82n6msyERLwi17tAyRNcS9FqX5fraekv8A,8,0
26rndy3rvERhdXayH8iHKFKu3pVGNDrehUWAcWxnKa82,8,0
2759fjYMEGaK3vLZUYA9Dm6xhEimhJ6idd9BzbY686Nu,8,0
27e2a5qevJsQ2HvAQe9Du5gWE4ecpUvZJptAZd9XVb4x,8,0
27mtvrM3yTTAjjNkaXQrWKZfXS1dAvT5hbk7YeqAiv9a,11925751,0
27rehkLiWjTozUAoxQgCknBx1hb1Z77WjaZQXcNUWAYU,8,0
28Nf53fZWZLDMhxT2ZGfjjQ9rHfHFUhT648BMQp82Mvx,8,0
28oSSRacjogqeZBJNSjuN27mPvj5TGwKHaaLRfYLKKdQ,8,0
29LvxFVKgqKwJiYXtHVnFHBNhm33oPAsPE2rLfAhM3Hy,8,0
29kCcqWhNynzP9q99251Rk1b3G6rBMPXFKunQUKUE6eY,8,0
2AcVe9iswjGgXjX1pWjGuzpN5V2cTvceYKAUb39ZPzFG,22449616,0
2B4TWQtFmj6hVV5QQbg6kqnjhhR3vduePhLDeR5DpNjS,2057491,0
2BEn8YydXsu5mwo6ZXBABf52uovTg6k5rTKXUGZfuz8t,1992695,0
2BMSftN1TdV7LoBNzTEfXw6Dj4Z9nUqjFvLh2KP7Ftwz,8,0
2DvJrSf11SrUAPn1SvqS6s2HaMGwQEaxbHzP8gfRZKNg,8,0
2EBpLijW2N66wtqyd17TpxqETggwTx1FXWVJYBnH8fnm,1156654,0
2EMRNCg7pKcPVkipR9jeBFkuhkUdj2Pu1xy1iMJCxZiV,98108776,0
2Fjzk1npLJst9GDdAktfGxfgo4sVA38oyWcvNaZJw3NU,6275560,0
2HeRjtYmRExjTEzQ2kQQjNwqThg5HhJAhefcC2msxpwE,8,0
2NJM5ec8De4WDsiiDSKbxHfV6M45CLiRrvNfyh4Ec8sA,8,0
2NfEqoBqdynn4r1X6r6fq1CMunM5seWY2VK4jv5PRQYL,655352713,0
2NnTFtRmE8Eik1wBBBXC39E1zSJMTgyQsmPUDoFyb9XC,86093528,0
2NuaML9KTSMVp9ovzaAgG5SRAUYGhaQ2nL4jrLNN9Tzo,8,0
2PaKM2cFELSar6JXka7EWxDAqasBB9at16GuVdzBdEPr,8,0
2PcGmrxJJaY9C2VfdMWtYLJLw5LfheKChMVob7xPPYmp,8,0
2QQ9jUbRzrrSSBuRrf5yQybYwYSsofnpLYH3KZwTZ4o4,8,0
2QsWomv3ZEJY66EGjDY2uHi9D1pGQa8LkwkfocRxwpuP,8,0
2Rur5dNjYVMcrdmBjs4ZhjWQx9rLYxYaqx9YBjXr7Ljp,8,0
2T72WBpqtMHUfX324ZuKmXyYBvTkPDX93zs5HgFhpQVX,112142234,0
2TwUB65g8jj3G8A1xS2oM4HUrW5y6YFvkz4Uj2mQTaXL,8,0
2UFMVCJ2bWGzfULob8sZ6YKccawiY2R6PjYB9rt68crs,8,0
2Vr9vsz365wYNh19NMpHnJRuarepjBXhTkCgk8WASywN,8,0
2Z9Dc3bPB2Z6nsVxkBXvD7rgHvyhhsPrUx5nnoQ3t8sb,8,0
2bPRsyYBcweSg2gXZb3TkRysXXWWLk5XuCVijMotJHei,8,0
2bffXYrxWFZrdPJGqwvv8jeYpX6aLd6YXK6bMEtPv2aW,8,0
2bwNDFE8fofZgQCmjx1GymNGQxbdSv8z1eLPVdVSkUwF,8,0
2d6i9ZUjb1G88X2v9T4VTR6Ldxm9mp8aAF8vAD3XPewg,8,0
2dUTcqub7jkyoiz5pchQKLJkJjQshZsh9Dqe5LU59vpu,26429290,0
2dYSJRHdbuqrHK5MVBhUedfim1NFu1rUtiHQ8xmvm4qZ,8,0
2eEfjjmomTgFY25oogzcC6WsSDJvNSwRrWB8s1PRRemG,8,0
2eQ9uH1aDFpysxuAGBpNaRARnGyfGFsZvMoE3iNto2CA,8,0
2en4Gvsgk8KQowYBzh4GM7fqsigpt9eQZJ7oVrLTqrjV,8,0
2g3piCk67tErEBbQYoEsAbhtr41jJ6SNXg8k7JvUdM7M,8,0
2gDSotDJDb31KJtPoYUGe82qwRaRLmkTKXQazWngNCFB,8,0
