pubkey,amount,locked_amount
2NPrpkwMsSWSgtPL2Kxvmn7TLVzXhPAmUa64hFT1ax57,7,0
2ZzUNJwbd7fQhFZYQ4oG7qGMwzgo6srX34spRvftSnKt,2,0
3VgDCuYcoX19rLqHk7yjsERkRstWQiHrmuiCSjF3UWeo,1405871704,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,66063990,0
4gscbsPeqk1ETepVSmstQ8hASMTxAkSyFBYNviMrVjrS,2,0
4tnP1sFSGeovtR9S1E2R883CRFt2TPzmSkh815c9Tsq1,2,0
5JCCShKAFJabJGQfystLxNVVS9hZDmZuXL4fogPfhD55,1508487900,0
5LAaMWoPYxGrWvfj35hiqvhPRXYtCvRsxoZBPa8wcedF,2,0
6fNg2Eg8dbx2igEXxYwzymQNbrxoUz3shKHGHU4AAuTa,2,0
7o7rZwbUJRU6VmaqT3VxMDvMMKnzacSByv662DLfH3pc,2,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,33013607,0
9xHtmUFbiHzopSvxZ8D5wRQxgWqbrEVJmkP6oSxvov1n,2,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,2,0
CsHJeCSgHEcFvkBMC79zwWGn6qNdhnup5MFn351ciKpm,2,0
DjWbX4pLruGtjng7Ub8zo7ZuNiL7Jwz4CYsiuwcHPnPZ,2,0
EWsGiNuYFRrt4JTKNFBJ5dXoKGyTFxYde2s4kooEsfXq,2,0
G3ZEAY19iDMjF7P57dgFUZiC4bpeFvMPKShenugL7E2Y,2,0
G6m4VpZtyHVVWN2PY67PiGyR7Hs71gpPFo6MiigyhEs5,867473370,0
GGSsPxHWmUTf2GD2TGG73RJfHQNsEQ3MaDNrbVxhGhB3,2,0
GKQuTL3PBMss42RHWqDtCoFDCFRLcmBc8sRojbQJT2yX,2,0
GkkMeqVHgfAyTrBtjHjvPm6s5CJnhyHbVaaJEJcEBaXo,2515182337,0
HAzWB9uik5fUmA6c9ErcMnSrHDDFuR7L7YTHNf2nAqNu,105378621,0
He6HTJFFuLG7tjVHQ7nj7BqqpFVF33KnZpeboVgRqW16,2,0
