pubkey,amount,locked_amount
2FBEauTmzuk6X5vLAWdtb9LJam8iibMPXimVP71wYeAN,1,0
2QUaDqX5GUPU3aUFcLVcF6gZFaW8ZKR3Nvye3GACnQY4,1,0
2m8Dn5owNP7LF8pEdsxdchFdbWQmkzh7UfQosjdvJ6dC,1,0
3KZ1nPWYE3ecjdnwWJTM8hW4FphZ54xPmC1xWM1REPkZ,1,0
3epiYkQDbivosMdcCDuHvvYozZWrbL3wRZ4mD7Y2CtqK,1,0
3ovDaHpvxoVQ9EycH2HGo8bsbAy49CnU5VAHR1wmVypN,1,0
3sPCCveSkSYRmaAdpWEuXBGMCp6LC99sCMYQUZZh6WK6,100362061,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,22118111,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,447518028,0
45LSGSKKRNVFug7cd5YkcqdnmgYMszqA8SVGwxWLByRE,1,0
4NmQR5nXwerdMc9gn8h9s3csd1UQGMvNPwpP2StSDqeg,1,0
4RPqEYtyvx3wx857CA5QsabC9hfS5e7jtQuDY13ubKws,1,0
4dSyctdSwLBHyfA3qZMtqpkn9n8h8aXQWN7YAUy6MnzQ,1,0
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,1965550107,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,119114932,0
5tEEBgDvwqURzwH87EDhJag1bXChDbehoPAECRrsLjnn,1,0
5uRDc5RzdHdcLf7hMhvxJE1z2EosKc8amrEyDtyqVfTG,1,0
5xL5DUapc7FFV2BKjb63JNamMJqVLRLBUSk7h9KPVj2f,1,0
6EGSZAXCeLxZDre2RsZL6Ayuxcjf7L9v8Bu4NXfQPqSM,709472837,0
6iNxrYSXoYTD9tB9dsaTryqvu6Ng6Jn2wzUe7KwutAAN,3151982249,0
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,1,0
7R57sV33GsofyW8ia1xnBK6KvNzz3i3DhnDjxXX3Tmn4,1,0
7uN7Lh2p86g23p6rv6zmSJWJgGr2EDTABTcMkLkCTXFH,1,0
83QXPnaniDBJbFKGmckDRbcTyNrPfY5P4MhXDrraqMU2,1,0
85Cf6TdRuHRMFmZQ4ZgDK76d63eHpRBrpAi4HznLLHBG,1,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,55133212,0
8QdM823KqVn9ZxrH1krUPWXevA6WEEhYpo6kNmrXqHCP,1,0
8T7R9r3N7Qjdy3qz2ioXtZ5d9For54ZAiGo6bCZGmxr4,105442105,0
8bqpSEZiWsb3eTQvb9bqztR83kMmjNVbBHgYn3kn7EVA,1,0
8vzsuAcpqxmSX6xhMdjaCPZL5cpAz4Hc5YwcyA6DPLSF,1,0
97HaQ9tFWezjLREr6SFodoJFkE7AApaoSi4KKzjZM4V9,1082121503,0
9ERChia7sPaEraHdz1mGB1qkZT9YgTD8r2dhwRTXwmDT,1,0
9K7JiJggxXKQoHnUwDfcYmiwUZw999aeFHj8MGVhS7mw,1,0
9g5Kk8FE8Yj19La4tGgGMM53wsVMyw8CH7APX29idDC,1010926513,0
9jarmwnN1kRvmqGVbcBF8NL5xKGzRmw4SQwtzT3fRB12,831183889,0
9rgWHfF48YhKix3Ti1ugv5KhdnuxmWg7fF1J5xF5RWgK,1,0
AJjrdmqQGx2Athz1XVgT6dXGgZs1kjunQURUkwLUus8J,1,0
