pubkey,amount,locked_amount
2nAFVzKrRaskH2p5hBHcgtj8yhPFiAgaF5N59aoz4tDZ,1,0
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,1,0
4TKL8sp9diALGQ66q1Sohttw3evHCd3y2D4Udw4Fd3PF,1151605114,0
5KpWyrPEnXNsgCvbzuRUeUEALSY5E7nx13pGPHbHLpf6,15683997700,0
5dAa1WBTRKRphTm5NPGK3itDN1voCtY6ESBNNDxGNF5z,1,0
6Z2HJXYN9rJBc1VHcdjiPKuij976s8EjgqdG8H2ftUYP,78288375246,0
7VC8ckqCfpFfDzSAEPPdynYU8kTRQDNX2RzPZEM7gEfT,1,0
87VE218PmHisQVhb3y8TBWgXyCgBNQngzbuEzNXuyt1w,1,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,1,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,49142056156,0
DNuGDVXnfKv4sM1Nh2iFpkdcjNFH7A3mVrmAVDxQWH7U,9319623902,0
EAujB36EQEfL1MBhx2Vj2hk29Qx58BbscezgWjoyCLH6,15489770868,0
EUjVCvdvkL936EFkvEaGApjQYtM7nNwZTtPfuS9YfhRS,884098216,0
FNzaijXu9KPKi95cigGQfj7av37JxdSNrNDUKjWCUWRa,2557855479,0
GhiCQtyZd3DBaYo7hzwQghQjx4ARAabXmYkhx6fFygTe,1,0
Gmzpgv6XedMZMvJ5wpQwtW45ZsUQQsi5TFv7TF9eP4CX,1,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,7675158987,0
HufdxFZr6BREdejdYfMUZLbLjLZTEjbF9HmPFib4QQs8,1,0
