pubkey,amount,locked_amount
14k1scWRfY7ajdchohxbKcux7igm1DppKBVbnb4Hfva,2,0
14u8FcKrY8y4CukyFjGSKsXDsapuapBn1Ex35AAceJdX,2,0
1We4SwMn5yj5txJBtiQcNmA9SppKk2gMmSzspo3rTBu,2,0
1fdC4aMQxZM2zLFvYGYockVSribo7YCFcd9WiJkJXj1,2,0
21w2gjw2LhucD8ZN3CbHUs9u86LB7MJNNeVdSFErou5y,2,0
224juY2WmNK96wPoNWnt238oWPU7SqoEKxDkp7Diqk3h,2,0
23xEBhyBnx7pTCeb52hXEpzYti2Bx8jMKuvM6Mt4P1By,299259943,0
24CfTy2J1JRQQGd17pooAzcpRWB5pkrEMyWXcwvxia75,2,0
24QNv8vLRKojLX3iyLZVevQk8SChmaroAqvJ5APCSFiQ,2,0
24hg1QG8fqi5kQgHsoo8zX2jktGmpsKwjiQBu34uNtpR,17546281063,0
25jWQaE88nw2vcpia6CNLog1Cr6CpZuHkkRLHvNTMWhx,4644748940,0
25ww3Cxv1t6neP2cF8SBuDVHm4tW5DqpYupiskAB7c2b,2,0
272AvtrjHscqMNpz8mArpZ6awA9mCbQGxWeqGhNeaEjA,2,0
27jQGjRPd5L3TXUAJGWi3qgS9ofwC6xm5r4dPUVM5KKd,2,0
28jJfUrofgvUQkPHEqVobZxEW76JVddXp7tkLTs3oEf3,2,0
28zzZZqrzmzYuxJjAgEvicd7LqWWYjTECYjZHmRFc8bU,434553424,0
29PGLuobtvWftNCXnyYYmT75rVqGVgefEpweFPYwpGws,7526,0
2B3pXPPeQ1XL8wU4tc4a5JbPxDa5LwiBZnG19bsqQLmp,2,0
2B4TWQtFmj6hVV5QQbg6kqnjhhR3vduePhLDeR5DpNjS,2,0
2B8ZhyHkCiD4voUx6cHEEwBHtg9eBYbeDf2F51qC6JH2,2,0
2C3CNkB7WUsJqi2Vd61HewqHLqWLkVMFeRkeZdNzdBpu,518266111,0
2C9hfGdhafopVE7DBfPFikJCbnzwx1TE2ERqD5RnKZ4c,2,0
2EzKLwUDg5jLpqNoSyMbGaJAtHdSNSEayn55C34tNQLs,2,0
2FEz6tJUJzmVVHR9H2hNLHXZMb6znUtvB9jFVFBK97x5,2,0
2G3w3TsN4VmH2mHibiKGhDmS67f4eXdknc86Y4CSVWhR,2,0
2GVPaezWLVdcPrhqbFLGFDoQ7zyafcY8UBuWe1J9YyDq,1016497915,0
2Geg7ThoM5pGdZStVEdyHJQWXpHz3PTr3seKKFuw24Ru,82573359,0
2GhZDQ7v2ZynHaUNvqEoLMQioxhJ459x4CGmNCfhqx41,2,0
2GusBxBRA5gBCuzGjymzu9Q7bKRR1W8iJ9MzgVF81qYc,185805231,0
2JFMPy11CLy4mSS7P8poramTEKHLfbH5pTfZiaoeZFoi,2,0
2K93TF9VBvThXx98AwbsbH7MXtpPGnFU8DpmaAwVYG2L,657033774,0
2LLWoGq6ak6TbjMTnyyKGA3MevhzNVPpEM9RcRCoJmgQ,53833,0
2MS3BqdZfZyDA2wAWdqqyLxwLq7CYFmGw7JDmWoLWQuU,5619115802,0
2MrPHuLupdjPVUpxrr1cnYALRxb4P8a7Lr6wFWFXa6wc,2,0
2PYMVo7Jkaqn4pD6PWbdNKR9Qc49yphw7RYfJm51Gkvi,2,0
2PvyvMtCYh5BcqJjAM9K972RRRYKDqaA2bsqHaCmPWjr,2,0
2QQ9jUbRzrrSSBuRrf5yQybYwYSsofnpLYH3KZwTZ4o4,2,0
2RTtu4LfRecKPvD5k4Yv11vaovQcfdYScxtSnWCrtac7,2,0
2SEgC1hLy7RVWSWgRavbjC2GbuHd2aSji97he63UNSCj,2456723,0
2Svj8EvNaK3uYmwa4DxDujgaiqrQSFLR3hj4XALf4PqM,1032160853,0
2UHRmkbCYJuYSg1hKL7ERssGpBLjASEjfaGYcgF6zUnd,9165144,0
2VqoVHJ6fVqUxJLrhrZ1z7XGQNGx4sthr6Tv3GxPo3KS,2,0
2Vr9vsz365wYNh19NMpHnJRuarepjBXhTkCgk8WASywN,2,0
2WHWenxctpqv39Z2WcwpDtJSKBx1D156iUdS1XdGcTKx,2,0
2WXWLEsecFaAFSkWA5oZL4eCzunbyvtY3nm6qcFSQaDY,2,0
2WyGMJZDGkqmkkCxf6mSDwi9aKNF59qPZz7t7bU3s5LJ,10320956,0
2X55pzCh92wavegzEp1HWo21RMqp5ViBEjvZoTJJxga3,2,0
2XKtFWFLoh1KKkvekLviPCAJWs85dtHcaviGkdYM5sUP,515838561,0
2XysbNrQZaiGBn475bvdLvbtcDgBiXGJg2A3EpmWSGNh,2,0
2bAVD7hHAoLJV939Goo5id6uguHXHaQDbqqsFijwcPEC,2,0
2bxYH2aQrjzAAe6A7Xakuy9uQoqLFYFqihsm3WRmCWpA,2,0
2c2RZozgaFDCr1TtEfYXGTZfzsfBorn2m24fJN1YbjrG,2,0
2cD6cBN4JWVLAiMKZrB2HBpTJx5feB4ZqAaRUoa6nvay,507470099,0
2cWdpdkB9jJB1qGQhn2yYYZYGm7xEFxRiTzTThsynehp,5228681,0
2cymZmHrvJYdwdnpHw4ZEVtH32gP9SG5odYyWYijy5PX,103216670,0
2d4VVRjY7KczEwLoi9B1GPTTFW16AiPR3gqX2vCEZ7Wv,2,0
2d9Qr7fuJCYP4Av3r17PAnMUEGhHkeVLj8Q18veh3xfN,2,0
2dJR29B2yRVa5h3Q3Mpvrs4X59D6abZ29JDJR2uNKKU7,2,0
2eKLKwxQp9ZnYJXgfoPeWi3UX8ydCWnt7EzTA3RLJ7wm,1434332714,0
2eQEBy3XZV3NNsm95WTPBfy1YPStsAdgjMKsBbezB3BQ,250001242,0
2eRNLUPdoe5wqW6M87jQtwhccsVYviWkAmX9g8zjFKvy,2,0
2ete2Lw7YoHPkDT4jWJJHe7Gysrhcziq9EbH4jkiLxjy,51601210,0
2jZPzF4PUauu3KSUSMUmRJM9nXVAmLWgiQt4PZnxxu7w,14120774,0
2p4efPeRpjtmjTWyAcFUXM67HL5H6tWs6RGiMkT8V3cB,2,0
2p7gTLsc36KSDGekuUd62ZNYMUb62LfvQVPXrDorMLNk,100062234,0
2rKAaTQPyQJiLRVLY2GbxnhFER2TJxkVVoovwt1JxQK4,289058981,0
2rdEdo1S2ZSjLQuW7iN7TR9VhYaTVn2waB3hEtDUdd5m,14252541,0
2rsbbs2dwYEXKxvKezNzF4tJzxGJ9HHWgREz7ZfMLwcN,2368794388,0
2st1ngXSYteG2uY8PdZfK37a1Gs8vdXk9Kb8rUsm5p8T,2,0
2t8FVAdcUAtXjhUssbmp4VfF78AU77QqMMM46eCZrL3K,1501206219,0
2u6fLBn2DdkMqTZ8MdZz8pwjt2tUPzYjaBy9jDqKF5Qw,15482400860,0
2uw8H6nPSEdEbF6R24u1d8mR5moJ3C5usnoqYinKtUi7,103193522,0
2vB2LBmgbebsZ2YwjHGXJFQVY4kF6xXuHYNyiWa6uDQy,100595518,0
2vutqQkWn7gFWUkWMkoNtH65zJfhmGAAnbbfMNVNLuvG,2,0
2wJzuJ8fjKLHC5kAG8Mv61LET12NcpSqSLx1ZuLSM9LZ,962725144,0
2wKamFG5QWNHvLHL8DEVdWu8EhxAvhx3qKjviodg7kZo,2,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,25708285,0
2wY6cKhCCRJauhrbxYRcoNPjwiyQbM5KMixwBX6q9dYr,2885899858,0
2xjaFqhU7XoPR7r7JSyKUNckzNNz1JGVfqwDMr7a7LUv,500012705,0
2yoJikrkHsjHHKv2aJhZ8g95G6GUxmLkAGqHefoWVD8g,2,0
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,2,0
32uRLqPerAzzQgT9wzqeNjnZCRXABYStAgMTgvZy9RvT,2,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,92038267,0
36u5CYokCUXkvy4KKoahZCt1xnYTEvTh2Xm52B11FEWs,111612,0
39oxJ4XcmebvtN3nJUkLPiwnSUZRKnsWH8RhDuqKzLXU,2,0
3A9b5VfUzqEivjtxDdVEbFFEGYoyagRembGURMaPwt6d,2,0
3ANqNYBQDHjgZLdVWfNMT7oyfpt5Dof57X51NgL4pj4q,2,0
3BNqAKFvbmde1SERHkNtVJtG65Ljm9tPyuCpe8hVmscZ,2,0
3BVi2Mti8je4vW6vcoYTvpy8bwT28sjwgCJioqAJziB7,2,0
3CR4u2idHXGmShmtkbPqiWSG6bqJdf2o9XjoHzjEN8xp,94626801,0
3DWjkw18MxUHZLM8hqy9G2c8wDRp533cNxhSaewXdGfC,2,0
3DvWCQ2CfHXb7u8gG1ht3pmFz5Audzt7Zgj2WcBFauRC,2,0
3FVngM6nKmT7ftgkVyDZDEWP8ijvPZyWxkwq754B9bXd,206433346,0
3G7yEwMp6JK4AXCCptRQwzUQtJHth2vA8FDQuzQad4KG,1030926436,0
3He5VtnzG8dHDMGCtVJjnUhjUZQiCzzGR9C4a1XGyvSR,2,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,9619528,0
3MmQ8xkzrYrFw7N4Kv6wM2rUDhy69qxBMohQNYCByZS1,2,0
3NvskrbrZrTnpHCHgDCWcRSLTBGUpRP9rszrsbC12GiS,2,0
3PHhhw9mnx25JhH6JzYkSdzySVrryk6hn4oMs9BRsgYh,2,0
3PTVwQNdxYU2iCERUesa271WArvXbJcbJ8Dq8tB6usq9,2,0
3PfutDLk3fxHUnjhU1m2TWYxEnbC3ab8L1V9n782rGpL,2,0
3QSDKKcTYiEAiqugyzD7MercQ5yeYSckciLLtKXY4Edy,2,0
3Tcvm7JodVCEaf4qrq5vyidDk5Mtmf9A2RuKKnTX6WUU,2,0
3UTdfNEgi1kEmzuVHbJLcbXpreYSMqmZGEae8F3wk7tx,2,0
3UU1fKRBrXysx2oyp9x1C2eHse9xnrAqSVJGd2Hn8vaw,1125725,0
3UUVEYVxtishirULVZpDqPKh7uJVsk3kVTgEpzz8VAYQ,2,0
3Un6fTaMovxj3WW47J1q42kEP4K3QCbFVAm1FgvYzQPr,2,0
3Yj2L4Yt1bMiNtjEeAVAFwEpePaAbdTTKP4rMfSm1yDC,2,0
3ZL51hSb5du3QFJAsZm1A9bsA1YtZBE6n5chtFxrrcpJ,10423686,0
3aofFZ7DzmzzHSmSqkhyAwgnEy6Sz1mp7Uw1pPvCUsMa,2,0
3dUpemJbEYA3mapXGg2crMkyWqmG6gHZrkeFLqDqJzeH,2,0
3fTEtQb4dTFsaokrTtDFeacyCNWjkCLtnLrPRJRbyXBT,2,0
3g91fiDQNRWoEsQ1D33wR2fpwgUTCMnKYZvZ3psG3wga,2,0
3h61hsHgy2yWR5aUNXFArxqkRauCXHwHhbN6aYfrrp9S,2,0
