pubkey,amount,locked_amount
2odutJkki4YJpzWH9wLv4B1QdRfiwPhD7vgDkXX7EMXD,6,0
2z4Y2h4K4kSkwTGGsxoJwwyh1hCv9HUmqzTxjEeCbGM8,6,0
2zo4vc7H4CHYbd5vWBFBW4Q52ExcCwF3HpgVGBcJ1dWC,6,0
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,324586957,0
3mizMpHaBv4RnqkJevVxrqYNnQGbD757gSicNcAZHnff,6,0
6c3L5YuatT1AaRhA5m9PyazmCnbTJzyQxB8Gua9H1Hbs,6,0
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,6,0
74cxyTsYXtuC9sEU7X4Hcpe76r2Ewpzq5HrfGpR7u6mk,6,0
85Cf6TdRuHRMFmZQ4ZgDK76d63eHpRBrpAi4HznLLHBG,18577680,0
8DhyESf7TgiThyE4v1FV9JAgQHg3e3XBYTLXUfzxEXUX,6,0
8SV5N5DrkMuYgSnepwVueNJVgrN1esR5enBm2PcjFjK2,6,0
95N3uPqxYUwSHrsE8vjhjsfpfGRDeYBMHN7XFSWD25xP,6,0
9p5xPx1vrTVWSkvmVY5RdbZaqzDGbUFuJFoACQ5eMHfq,6,0
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,102056671,0
AKiWPhS78rqvztg5Y4TFwUUrNqnzWHjvngY32xK4dFt7,6,0
AQy3P6FnPzZjeE5GcUFPZzFfACfdZeckqGZtkbpPC5tm,6,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,6,0
AfuSN48DUEjhgJX7FQEL6syXc3v5bvJ5R5LKTk3wMdV6,6,0
AhRYCtay7B4FDrEK5d8i1h5srfyX2BycPP5nSTMYBqNm,1050923851,0
Bp5Xh8ELbXFrtdLGXeEqpbo78gSEY5zF45fqkz5sQdWC,6,0
C6jLUV5pytfSHcBqFLVCrBoPxuP7bcZHbr44xqngjfYd,6,0
CJc5khGJ4uZypLqgQPu742RKRRJPaaAxCQecVYiTEJrQ,1718123122,0
CX5LvXY7Jvt9yagn6mZ75fLA79sWRs8GDuoC1BqYxmJe,6,0
CmZpMHxTjZs2v17uhQ7umx6PnhzTsNK39A4YDkjy27QK,1001182363,0
CunAcyYPhxXoBkpjB6kx61Zo8NEVtNNqLmbspZ7ZMWbi,100092007,0
Cx4rbJUzA2nKzu1mwYL8ndtJFhGoXxxKg2aSFcuFgUpD,6,0
DEGeNMZV8ur7JoJNG7AHZYRKGu8xT4w9U6VHdaRG6wWL,6,0
DYzay3XLwycauRpWkqzLmZ56ao3PdSSV3wSDNVCwuB5Z,6,0
DaaYqvka7xYd58CKbvENYXrdXeRDd13KciRAVuoXoFEQ,205623532,0
DrXNdM95eUCvCmCdK2gbuDMWV9PCiobYPGQo4Cq1Yxvy,6,0
DtJ5t4jXoiDqMoMYEpc4EWifEHyiAjuNEi3vC3zChk6j,6,0
EAujB36EQEfL1MBhx2Vj2hk29Qx58BbscezgWjoyCLH6,6,0
EhesGpAqDUmvsTXJVJ96ZUMrDNPHxcytk6sNv93TYW4y,6,0
F8Z1PF1ukCJHQsRaLyzumZUbHoJfEDR3dGnXysghgqzy,6,0
GbDBjo2D81gPKcHrNiDwBgNoyiu8HNesiLfAanraLLWa,6,0
Gn4dkUxRKLUQWQfpewehaNHX91rFjZsVojbDjGdPBeKM,6,0
Gxoy93jv4759k2mhMSQrTt8keL61bq2WZ1NugWNZZvFd,94264,0
GxtWeNc2bS3cQPcQzEX4qeTGybRVPkVvo8y2dAQPLQ6n,6,0
GyWjzQ2ecq8GdhLBHqodwagQYdqJtMs5cupjTR6QFMi2,6,0
H1sJ7LWsVoRtQTardpZduQZL7W1EcXESvk2zdwhBf11f,6,0
HBSLfGJbU6aHfHyvgh2Laf3JdEsJYti7jApn3eaXhq2u,816108696,0
JFCXpkSzKsu197L6pbbzNGog9Xuq2XMGX9wM16GGNXE,6,0
vau1tfLp2wHoRP2rgJ5k3NDkMcvMNaKYhu3NrRhwC5Z,6,0
xrDhLM8GCxSztSUBeWYw9Mcik12qkgcFrL7rE3F753j,6,0
