pubkey,amount,locked_amount
2gmKV64rRdyc5H3DwYtHMLaPtm4fCSt9LaiTojdPwcet,50000149,0
31yq2vFKzqUsR2JZZvfktwsjwYDysiktbwdyqukFq5UA,2,0
3ZpbjLD5TiqywreALk2JMdB6xKSszRwJkEVsKKHuFboh,27773838,0
8SV5N5DrkMuYgSnepwVueNJVgrN1esR5enBm2PcjFjK2,2,0
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,14938828,0
DSWqQP3pcTbikRcbBJyvBZ67YtteTeUbdo6SW55WeDyP,40159909,0
ELZYoPQj2gEXPGoNNZyTjQpQgixo8zW2RHayXHnRe6hi,100009974,0
HKEZ8PJFG8D3cd5BzRVCTUTWkSw89ZJA2csFpQNmn9mG,2,0
HkuBeYqHE1ex4JfAxq7kkRtH57ALXyEF69ajtAWgCEyY,2,0
J9Vq5wFJXmSxognW6h9NM9bnx5dyXaAfNm8FnwiQfi2r,3639882,0
JFCXpkSzKsu197L6pbbzNGog9Xuq2XMGX9wM16GGNXE,2,0
