pubkey,amount,locked_amount
137ws2LU5hsSrPRLwPpmnt98Jc18FSvAWbFQiwukYaGg,2,0
13Xk9XTjLatH8eVrqLaifMszUaYyizXUkshSKw3qETR8,2,0
14Cz74ExGHQZaHJiGdfHmMf4JC6VEWCn3eQ6F917B8n7,2,0
1MgKezRmGD7bvcrdZhTSfRR45wdS4qyprC5vev5PPgE,2,0
239aJnjX8jeHvz9yXW32DomY2tiTG4zmLH4crUy9C74k,38538661,0
25bYhroG3CAR8tkMah9xw9Z441HATqogBqR4Hgxt2phb,52833314,0
25sL9DTZQvXhESQK7BBxDgwY8ANVhbVmdnw7NAng8DrY,2,0
27dQg7hSyrd9GWZ2TqqrJXF9ESYQNeuvKrWshPwUVHTq,2,0
2AMmn3vjhVVwu2C5URwd6vHc9bAxfT5rCWYtERQaKiwo,2,0
2AbUon3qTttWnCnEcoVcQoMnVrLNjYDQWCS1dLpHn2nB,144078650,0
2Cf3Bcdg5ED6671ZtHhdyRFypaZQuGf1JegnFLp1ZmgD,2,0
2DhzPJNpi8zVX6N6huNdpFxbzmBZwkqAaZX9QK4RZUad,2,0
2EzKLwUDg5jLpqNoSyMbGaJAtHdSNSEayn55C34tNQLs,2,0
2HGiPeub3BtVCq4vN9dBdFGm1577WLDRM1ATT5Nm4Rjp,2,0
2JLbJvBmiX9TE6AJ3se3HLRhnmC8MqALKHYFTXNioUj7,2,0
2L5vh4SMTFH9TziCPNmgNgxLmY4Ntg1osGkeaxtcMYqf,2,0
2PeXooYcDw2MDeE7zG3hgthDQkVHPHExwUQu6k2HC3Hu,2,0
2QQ9jUbRzrrSSBuRrf5yQybYwYSsofnpLYH3KZwTZ4o4,2,0
2QvB9LsqpGSzoBQXGyySZXxuPmSzxHxCjmMX9WXaUh6j,2,0
2RPC5Q5GkaZNETaphajzujggoDX236XQGE8mDiD4oG3R,2,0
2RTtu4LfRecKPvD5k4Yv11vaovQcfdYScxtSnWCrtac7,2,0
2RhfK1yiUnk5Qc4vDciRkagRJVVXUX5FaZSx433pUf2i,2,0
2UHRmkbCYJuYSg1hKL7ERssGpBLjASEjfaGYcgF6zUnd,3133291,0
2VGq5yf3ZvkbZfTdVxwakM5SXDjkd47YN8rAsDqhhmpn,2,0
2VGqW6yEcNMCHB1E1v3eknUybDetoASkG2fqLbGkUVmh,38475210,0
2ZfBqr1GLEbPkdb43WXwrbwZnM499LSz8mjsVHUPFxjP,522211225,0
2amMgisrJy9n3YGYS75fjfBauv3ism4tXKLjGUL73moM,2,0
