pubkey,amount,locked_amount
21T1tsVDstHiDE4ywPeF478QRHSepSjNtJvs49wHV896,9266029220,0
231Bb5iQYpwZ8nkJVLs6LMKdTdFCEVMjqWo8REKSYy56,130399676,0
23JJFMKzjRYugGaf5wWeuKjTPMBKRxyqWzhud3qifBXp,56330472,0
2BejS5hPmmG3wmNjXhNgcWvNHYnFq5rVNXMMLCoenq6L,1001075397,0
2FzG6WHB6m1k9LVsJhyAwTqc21mEzvTJwHVpcBCDnXmi,354314135,0
2TopvyDDLFRrUiHqM8VpTPHMRsugu1v1ceY5tXpB4kuF,2025761538,0
2aEFLM7yLrvnuQpzXkwdF7YdYYNpTxQrZnytLZZmYf3Y,1064490844,0
2oF1MiK79QeAUryEPUqyXS4h83C739maTTiYQkDq9Nbk,926934596,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,15960512,0
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,249268278,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,90297647,0
38Bgu35eNPb6X4Sny9xtpqhtK8sJDu3N7BSNWiZeTqnG,1004957082,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,100186990,0
3CR4u2idHXGmShmtkbPqiWSG6bqJdf2o9XjoHzjEN8xp,844117633,0
3V9bYPponNCTPKtUPt1sAfiTxkUpm7GkEuZCwaMxjhbT,687827976,0
3bLDv1KvFPhnfj7YVcQkeFegKW9QTswMXXceXS9DMeMY,228633864,0
3hrBLhEuTidXKmvokx3UzMoJ1BxvynTogsXQruoAYTMk,4890116296,0
3hv7xsu9nJ1tNMURtqUVChjywE8Q8C2oxDBR52dcuk1a,1368,0
3k9PvANVsb1vdVhxYQc3VkTFt55yMERoxpto93j9ZAZj,792070958,0
3teUyiLpzqA3aTDgA7MnVQHZBijTKq1z9Zu3VKDpD4Sz,42020517,0
