pubkey,amount,locked_amount
125SN1SAYLzMtjoFbouVRS8TuKDhwfG6RTkLS9UWKd1r,160530159,0
12juAxa2yKPYM89CRJFAHEu6xwDazFUTByxjmfFhGcLS,103430355098,0
266UfRxQbtsNBPVGGyKubotT6aY2p4173oeYgzRRnk3L,2,0
28boAXhXA8CwnChxq4HTNGR4j4XVRigsWSBkrZV4fzgX,2,0
2L4yFSX5w43jgfghzWXHBwNNTuhJMnPVex5fCFEEu4aj,2,0
2NwaHXSWdzUNLjhz4mW4jukjTNpQHKqqKerc688U6gnT,3709003873,0
2SnSkUnfpHadAB7vAvBZEoJ3zKvVqTXcjZabDt5oYk3F,72721345907,0
2TzQKmGjW2HQEJmuBsbSqymC91SaPPSavo4jdhr5EiwB,2,0
2dzBhqZbbfz4xT2W1A4rrSoKBpGLAa2XrKEazApYQ3zP,2,0
2eVrWMM8Gt5y7ZEJpvckjqBNQGm8jwPWQPG9cdvcdGPY,129307634526,0
2hYiovBvV5RUvD7F9GBzu6qnv9qf4QXp9CvjMm9Y5b9u,2,0
2icFeNxDAbLqTCzVZRPUGkUPdhbqjWVk19XqE1Hm39r3,7224547284,0
2jZPzF4PUauu3KSUSMUmRJM9nXVAmLWgiQt4PZnxxu7w,411444471,0
2mUYwAmFufpiECJFCTfkW8mAfHu8RrhzGGTXWw8VvXqK,1033652136,0
2ydgzWMG2oqNT3yDfkUmreUgXok2pdsGh7zoHfwoyxUT,2,0
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,84570746376,0
32ZX2xXSquJwXjDwEmv4Tu5DGGsgmDFtyQP9jeZr78fm,2,0
384CRQ6Jc1NCxUsdxzQZPjziJX8pgd4i2a9e8Ty8FVPT,668196423,0
3M84FbWDYfbJ2iYuG1TUJ76Qt6zNysB2bJWb4bZJZ26D,2,0
3UjD5YSFGupiztp6pd4cggPNe2p84ZVWyv28mjJhkGaT,2,0
3XTKcwsEuiq1mE7FdopAvBHo2eMhxqetxFQxYgXa5RCv,2,0
3bmSQ6cbC1UN6YVDzfQ7eWpRGntJyDYkxxzfzWFWVbUm,2,0
3edao8Z75Pz4R2qsZvZQr1VJipobYWpFZnrLj3m8QJgx,4875803908,0
3geSgkqWmKZyFoaRzdXMY2vCsr6KEZrtZEYfNDz4Qwte,2,0
3hBqLWgFNGm8g4Wg7envifVNiTD1W7n61v21KAbmuKuP,103438909622,0
3jMMihfYpRBKKm7zqpBbnWTEMCL51afF4EMkbnCM5UPF,286120834894,0
3qpepLuFbE5ewydRDybqnS2GknWwWadAVsEFKSqSpwsW,2,0
3rvFJjJZ4sSR6r1K2inprPew9BaXeM6VJLJtDtdTA7ko,2,0
4CEWqVTmpDxML9s5nEin8c9cDv6rDEiYMp2trcmDuEpZ,2,0
4GjpVCtAzJNehcrNBMWNcCvyLhJL1RZ6GotD1PvbDmJd,2,0
4SsR8cjuaN5KHraBD4JkhY8YFvNawcoLSKE6q6Fq7TsK,6023979204,0
4aE9dRS7s2FoJFoMiqCEGuu57UgCRhPcZemuNbb5Tb7p,2,0
4f6fSUdFqAFg3Cc3ix3FJW5XPW2dyC5HiDfr8h1ChhkN,51719525085,0
4kPnz39Uuw977aSBquS2zBVQ82Wi4LTbpamfwyxbxyXw,500057197550,0
4tFGn5jfJdszQkRs7N6hwyuJ1q8RUHu7zepMX8xNKqBw,25291654315,0
4yZnkohAekrb2fgZUkiKZtLcBpRoZjwVrPpqFNTYuJUr,7848828399,0
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,2,0
5EiHrEn12kf1qZNcS7PJ6vn3B1gbj8zhuXUxVLTpjxTf,8901302989,0
5JoTasGcZKfAiRRCuRk7DkfwqaK4C1tDaKgzdoZu4Ne5,2,0
5K7o9YzHpetKkCNUaucPhKUtE9SsyVTAoxrR3yj8TPy6,2,0
5Kb2f6rkvUJYfwM5QmNMpg1eXsALTGd2NircJwfJDtZW,3100281489,0
5Kyjexx5L22ZhcBcorykUofzNX56batXPs1EwHtJV8f6,2,0
5L9fMPLyPufXbvwGt7V8Gb3GN1YbdMA6LzjKtpBxcNvX,2,0
5UwVFDib1YaqxAg798F9q51xapFgzNBoHtJSYwP7JFno,2,0
5XLgehsRvFP2eoba7qqsoajSYoViAAPcqEE8oE63iQGp,103438909622,0
5ZLnnhMq5W4xdgvAHY58GTZcEv8XpMMybKYujo4S2nsx,2,0
5bR1enibUVJuP1eTGL9VbFHcxox2JCqtUnDGDFXNXVmJ,2,0
5g8sXCoSyckguLgTWLbXRANMkMTQaY3ixRn53Xo4QJB4,1569367312,0
5hTJvcH2h49QEp1cgjkwNMuwLxaXMNYKtgJn8aCKA1K4,50052454887,0
5o5kxSkXKXcLZHZqp1wr2QhfF7TfX1cxK6CUX6kPKCgv,2,0
5rYtB6StbYZPsFMVnMDX9qhKWVcVE6KuvuhzqpDDXt4f,2,0
5wGHA5Frxi7vv5EmwNMvUnKZDEshqutXHGUwPm3k4oYs,2,0
5xqnc5FHLL3nYWgutnjPcFEpjErCpn2VPGjmGrFrFB4h,51698085747,0
5yZSau4gFB5T6F7MeZoESG6MQZ8yieP251UkkNbCN1TJ,495576333220,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,51681776623,0
62ZUJ1oXj5sLBh3fCkXVPUAEKYbBdJm3mcd4WoH2nTSZ,1034405201,0
647RDLoiL4Jn8XEwiMR3WYA5EkoQj2tVyh5wwbqWysvy,2,0
68kSjSHoKy5sJ3yBKQStKk5vFtLYWaZN6qKEBjuj94Tv,2,0
68pGVCZ6ZoVQxoHwZpEGmj1RsQGNowEfuvxfT8y767u8,2,0
6APKYMHdHTFPSdJeq95jWAuAc1zfGAisZdL13hjGdtyx,2,0
6BMav9J31PHcw2gd6fJ57RcsAS6TCfqgch5Fy7kcd8nF,2,0
6Gixbicjj9yFvgnyUd9X3BnXgsZdJh8hC59TkGcry39z,2,0
6K6hfG32xYakLtei5wwYvuFDP4LH1tNYCktYqRfEoAkd,2,0
6KBh9Tu4MYGbkUC2RXh5MuvurGBbLtP8vED8uET4GC7F,2,0
6UUpwjYZKJBjYS9qYaH4spVqXkQ1d33ZeKbSXyB2VQw6,2,0
6ZU9k4b2vD3i8Soh55hrydqfp3uMk5qUWe2pMUPDFW57,12685539073,0
6bRfuN8iCEFVrxo2deMRJibmv5bXDjgo2R3QczENE6AP,5171917425,0
6cmZPEPPLKa1FXCgTtD7zvHAbUNw8Jm6ijmaxHwXMiSf,26519111115,0
6dXmw9WHzoMrwj1oMbVSTbbhsXrncam4S9qWBzB9TZRR,2,0
6hMJuMoXRQM2Qm9cc6rgbECrbVP6foVQrwnntJ49Fo75,2,0
6nXyXQqF2azhse2TNm9KYLnTW4ibVM2MonowQ6QUts1Y,2,0
6vjZLuVvA9AxCPymnw9fKNk42Jfk6Gv6X5CueWwLKLWb,2,0
75WphMY1W9xzUymtCquH2VReWoNtBUxgb17LoRvgFEuR,2,0
