pubkey,amount,locked_amount
11ixrEtSksKbpN1CnUL1hcG72TtoFn3VmERwgTPf1Hm,11523392,0
12CtS9aAKZG7H2KyAGNdcvmR75PPnipZmGqBEuVMLqwu,5509020763,0
12dea5pxdUCszsDdWpjmZopaNva9VjUHydDB88inTPFs,269669,0
12i3oP4DMUeGDHNE1yAcTKKYNN7rSHLedMPU92XUGC9F,14823830,0
139dUpPJz54dw2DsNJFEwRdENYLz6Lh1QdB1G35KZ2mn,32273124,0
13H39smF92YdezqnoHw1WuGQ54z6Yzx2hoR8NNVtLCRr,72731914,0
13fuNhmBEJZGazbukeidRGQ1Pqfgp7jjMra7f8sfXpBR,17880235,0
146DNLzC75ZZ8Q1T1ZzmXHEydW2GVnoPMCQ8pJeKByDY,82921516,0
14AicnXXoqCyCi4osFAgq4W7AdGxhxygGZ8mPZpPrXdM,149863840,0
14Cz74ExGHQZaHJiGdfHmMf4JC6VEWCn3eQ6F917B8n7,16017059,0
14NNcQ44vzbTwejhXkZEGEeD3uiF3PPzVTVF7FVfPBn1,28865926,0
14PDw4zZus8fZkRj8ESqo8CvYZuvhqBJ5znpKvYKfwAk,10074085,0
14SYY2J2FhAoX1sk86X9b5DT3fSAzSVeNTdSrBc6PRaT,137192924,0
14TZGQSiqqzJaoBF7JtqPF1XwTVzerbYbxpxwHpvX3SA,20233,0
14cAUFcHenTuzpixcmMJDRqpJGpAWxEU6kCMXJqJ9wQU,37618415,0
17idsPu4e9sHTaZb14EebZeQRUwdhvioVcFJFThG7Qs,127654020,0
19TVEUYGnHBL3CPHwGvsSXn2wtA3SbgUVjygpXEbDyc,299723,0
1DZW654ds1Xtvr7p9prrtkG9q2mUFd7B7ttim5kxNbo,14862914,0
1kMYnNS7UcufpNtuVHDDLyV5Gyd1vX46NyJ6yho2Wir,133462078,0
1ojZGsBPNYJSckgEGebtPp5C33i1BAS673uZzaV8kRP,16635543,0
1ucYHAGrBbi1PaecC4Ptq5ocZLWGLBmbGWysoDGNB1N,16879944,0
213X9umxGp9WR8sNKDbaartiTA96JoqeVuaFWCkmEzTU,4993,0
2193rkS1jou5ko2d9bTZX9RFRQ3ZXKGhCAfGn1Uk4RND,26048453,0
21DtPnWkf9gfLnQhsSSQxUCkpTh68KTpt1zqpfy3ELpx,1453698,0
21HP6oAQ5DvcNXmnXH85XYEA5D7Va2UfyN7SyEp1Bnth,21810864,0
21RDREfUDR4SacV3S1GsWMXf9b9ERH54UuXk2rB8vvGV,13651887,0
21W4hQEVYdFthHWnF3fEMT1Ybo3aGAY7odDmd8LDHYDe,299902,0
21nhWYk15LwEzkuwY9uq6mYeDmXVMCXovoUrcCWcgQ3g,1767367,0
2251bNqNR5uYaZsxsPNHW5L8QCzw7a5Dq7QCEhy8urVu,139132,0
225uwqkTBvk9P8h7KaQNvmz5mAL4M5cUVMrJfU3zk5xP,36907892,0
228Uk45fvzAQJgosZWGVGHykSSGfdPgPgJ8B3RWMP1c9,817209,0
22A6WfnofQdeqTxJF6Nf8Gsa9Hqf29X4gsogg7dnmQt4,1973764076,0
22SWkheYdQca8Hw6vutwdFbCRJJMjGWV4ia2pLuYW2Yu,1385897,0
22hJeva6HuKZNcFruvB6piqNLH8t7fyBeKcgkfUfBVfw,535,0
22oh3jV2XiDsAqyseFUyBfzQyR9Yjwt7daQE5ddSuxNp,89535085,0
22q4gTpheMcRHmTwbZ3d7K6YVZZqF2hYS1yWMXvu58jE,9999999,0
22uSjNthyDkzATF5w8chYJqer3idHTVNPSPqeNjwvker,102691612,0
231NqvDaGXTty5Q6vfyFQwWBMR8faFeh9H1jNiYRPWPd,35100,0
239NKM5c3rtajH5nqGmE3xLZraN6JCCR4Z8dFLmTbEgR,3046356,0
23Hsu5bxZs4xcr6VrYdZHEZ5fEe5P7yt6kCDE89nm1Nc,13454800,0
23ZXNP6JG7Vq5BEb7LDvGdLvdz1P5s5HbstgW82vKkS1,133853013,0
23hrNiKbDNxncfCCsDq15mRTjYgXf6SXLrNZFe6WRVA2,22320928,0
23sn942p43uMgpbtX8LryJBGXjiQ81i45EjHehdhD2Y2,132216447,0
244RLNzwZXTKjD1Udp3ubmdh7r27wJyEp9iQdPZ76yLN,200698316,0
245VijJoh5c6h1N7QGE2HzxG1hR5gr8BKxbpLUrxTkqa,329837706,0
24DAkBPcAagPtzdaqNNNEfGefVZ7VMa9LKr8phCP2TBo,1261286,0
24W7pLWeZyt9q2aNT9bDzCKhQFvjjr1aP96VMFPMVA5b,22675338,0
2595KTkxNRcN8QBUdTSACPaT1UqRnMx4SiqNyjegScFy,291865101,0
25Dmndx4oXMhYx3yJyGskR6ebs7APuURSH5dbkD3zKcq,1297854581,0
25LxkfFm3NsBmynt1QZ7hB6PrnMng1dv5eHTmhUkU9xn,14871865,0
25VXcuX9x46FSZ15WJsfqSu6t6zUQb1cq8gDgxAaGBqG,278652184,0
25ZcVXsSY6cADVPFz593hrtUuBFGx5Yhd9rrhkEVTPfE,118999225,0
25bYhroG3CAR8tkMah9xw9Z441HATqogBqR4Hgxt2phb,9083935,0
