pubkey,amount,locked_amount
2twhr435xVJ9863f8fyG2mbtgjPYu2bMQxd9bxa1aAcx,126272846,0
32MBYy9Mv1DiGseyr5g89TbHgFNw9H42N5z48HGVhcMR,16379539,0
3J4PFChKCURTtnTR1pYcSyFZfqqXxh859mfdsPBF1qS9,41814031,0
3gcY4evGE5CzgZKjbhVVuBHKZ8xaGSK8Ad3Gy1seMRve,44033680,0
4u59Fo5RcXBBtHraK42iuXXXTpjN9RhK9Rfhc1YyMqxV,51388787,0
4vygEhyhpe3n3jTeTZMpqRiw3fx5rKiphgR4SeVNR7ZY,8424405,0
55qtPnHUZPFM6yqKT9D6ScWvxFV1M4Kes53UiHvEv1Q6,253394630,0
56Sx6eMCStBWVgUXfKQtfcVg6e1ZDYAbWv3LVoEAnaJ,26524664,0
5P6wkMckGvfLpddi6nbPDjvUMs1U3CjjpbPatTCq18f8,19682055,0
5RaPDNNr6yA4MJyitJBpRaJQyW6roecdPSN9693FwHjh,5648322,0
5Xu19XQtsbe8Q7UJaLWYHBQuFiXapZEqvebMQAMQkZ6F,33077162,0
5xqnc5FHLL3nYWgutnjPcFEpjErCpn2VPGjmGrFrFB4h,209757295,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,1047974,0
6AEhqtzHXA598uJ2pU6XKeT4uT55JQqmSc2dgv1qyvNo,10000064,0
7P45T3FJNwNKjfa2LnD3yFerP1Tov4ycJdUCeJr4RskV,953032,0
7w2iW4bNbsBEDe38osXkFZw9JbptE2W1YYa9Jfwjk4tY,20122550,0
8rpRBCk9yBWZh1sPJHSWV5Rp5JirPUYXQjcRZkoAnGaj,69396399,0
9mjRVLwCSmr1KE2CYTWJP4W78Cbm5XM47YX1f7rWGjq6,2155715,0
AE91KmYtReAcpBEanzELJoM8uUQ6ew4xH4Nik64xfN9m,19841712,0
AUXNPGoNbvXKcgpkSvrQEhwoX3V5jm5ER2rJEMUWwwDN,76915105,0
Ahg6AxCcAmR8qC3oJUyHMmZ3vGPdWmZnX92CJhRYMTd7,1041749,0
AqyFGFv5bUVegnESUZjo4PCzYgxPZ9vgFhB9G41cCfsC,395423,0
BskVy7SkiNt3aQW13q6TFCmSNUzUcZpAujw8bTqNGUKs,1052273747,0
DRLTkt1PDfkSntPNa77vHGgY9opWTcZuFgAoJTLAHsNC,4209020,0
EAssdGusswdBfzdP3fmAjy5TsUfNogoij31b7ikKrkSq,105189745,0
EiNeew8mLH7x5CR4HFNhMRRuynyDbNfm7zzahpR6G8K2,2937986,0
F1xFQzzwyZbyrUbmQMTJ2HxZUQt1uLxjHwTFQ93JWPDY,12829998,0
FHsho3J8PsRN47y139HK2mvvcu1dxwumjUkifPwJ2bzr,22089204,0
FT9jM2b2bXFxyomqt1takvWMJGmmjyw7NT2e9EMRpfdm,5755417,0
FXhcbmZA2AZP9aNpXPzCZfLmxWaQdv2QoeAjhSP8Rnec,31509097,0
FdiWXBXShzLDZ14YSNYpbWKWuu9rvLrJCHTkrrmaSLSg,6217189,0
HPXF52uSy7oUisJiRtWuSgtrtZsz6yp7YzpBguoUMmM6,11998780,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,691291345,0
HXLAhowWSSJ8jMihQ6o4zaSxHZSDa42xLLymbkNstvHz,14601379,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,104881655,0
JA6jni8tUsczMavjwiRaJdEa2qiWAZZCDv9pGhRK5Qj2,2857103,0
