pubkey,amount,locked_amount
12B19DBXiE29QxmhUM7FM4BgChwSEwx1UrEh7KcjDMdG,101015816,0
12USTvzdhp6m3Af2i3KSdamfD5t3ySpnYgC7ZsBBRF2K,106633095,0
12dvBCcDAzmtepLufvE6Zm2STxvZAHCJrXvTa5LoLzKW,50551695,0
12fECHYPMe3zD7XxKA4Ar6VyULMWbEL6iFaFVBfiMCvT,3002157191,0
12gpHWfYjri8jy7AuueLZB5Lvhn7dRJcqCP4QwLysQM2,64640478096,0
13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,1456889638,0
13Ew2T4DMHijfbGkLV3VfLzSrwpzWg7KEiVkSFAtFSRN,4183706516,0
13XrnP3E9LVvE7DQh8kBgfmFis7fJre6uTFZbWMZ2rqg,1027074086,0
13iMPyBd711TckUf7gZha3AA8mjssSeWxx42RUFBAfKL,1545262,0
14Q7fDHHgDCDiXx8DowKmdZYgpA2kxwv71rwMgonJuKn,79784350,0
14XfGsj2Yb5to43Gj87Csm9j8yrUqKf57McdPRSWD86N,513078012,0
14gW7RCMSdLWqZQHmzCXR1nKu17XfkWsmhm6aKgsKggj,13079493,0
18SyanC6pMZrVUR7k4RLHyv54BDV9dnCSFDgrwdiLMs,6262635190,0
19e6L1YhCDTtbp5mZFpMm1qY95aSNbtEi3S2BE5r83n,783332915,0
1H5Ld3mRhzTeFzLtPdzoyMvw27qXtPtZUkKytkgQr1j,7067802,0
1J42ZRiY7CdZ57QwuhPfRXb99fyNhnYoBtYqGuB8PRe,1009996,0
1NDaVqzx8oCV1L5zXzBJEaeLaeVWkCiA8Q5wupYW3hS,502513665,0
1RSEJhoNZQjeAcNgLKZ2z863L7a6Vwzd9kUaedp5BTM,12066931,0
1VkYvKE3kUQscAcYEjnnH9W8vacTbXrPVxjzdqC2YAT,864237347,0
1fMHgU5XA7xM821ay8rLbJtppQPy9xrjsvtfYYu2qa3,92043137,0
1ucYHAGrBbi1PaecC4Ptq5ocZLWGLBmbGWysoDGNB1N,1354163332,0
219bJp6HcKF2EBC6x4iXByBYqN965H3Ron8v24pYM6Gi,101014826,0
21JX73HdnoW6eBkbV3LdEu8SxH15sBbHckM5RkWmmrgJ,163405417,0
21rQkoKRmp2Xd7vUK9qYCXr9kZXpH34c3JPCqZjCjzLW,28625051,0
227VNhL1QG5M9QLq9THEztimQxHmzqVyNdwGyrQEDYHH,242478164,0
22Hf3HVpvnrKrrmQscDQPuStykxcBi8qqdEcg2X3zhkw,168767,0
22xnnytfFScGCWnLuTXmEWHJkBcc3gMw1M3MbHrNGD9n,167097886,0
236jJUZfrRsTipxSygKWYtfoyULxMhse4koCFawqPVXJ,1329894510,0
23Fsr76mXyCf3L2qTUQnXnLN9B3t2WPurNezGLugvZ3K,298275516,0
23M8CE668ycdkSTfPgrVhNC44RYxgG4GRdXEPUBW5FmE,429955912,0
23hzsaAWgVt6ohrWPrUq6vp3P3uTw6Q4Y9PK5gZaMLk2,15110509,0
23sn942p43uMgpbtX8LryJBGXjiQ81i45EjHehdhD2Y2,251507813,0
245VijJoh5c6h1N7QGE2HzxG1hR5gr8BKxbpLUrxTkqa,823686974,0
24CfTy2J1JRQQGd17pooAzcpRWB5pkrEMyWXcwvxia75,10192459300,0
24irVqTCXdcumbZ2cLDYm5oEpwPydM6CoE5iT4WQuK5S,643799043,0
24y6Hi2nUCjAP7Lzxm1kqMjA2UfUMMosKkETxJeqMcWT,28418830479,0
25Gy53HbLaSHbQs6d6irPqxpwterWGdy3cn3Ydd8UpbX,4527286950,0
25a8CYDWyknT2Uyvi7dLFn4HFZVSD1KWvcHsbjeYaECp,201260253,0
25jWQaE88nw2vcpia6CNLog1Cr6CpZuHkkRLHvNTMWhx,1016578171,0
25wApTEUwtoYm3ninGdqC5pWAfPNe8hpVmRQrzXTQjkJ,692859405,0
26SGNiwc6nDvb2MxFWPqyURaxNRNdtyw7nbAXMjC1SRJ,40399535,0
26YWuCMLfs9xcE5mvYL8ZbJ8v5tpSPd8nvTY53QpLCzZ,20502935,0
26b6Q2XErPd3d84KFexzAUyZfPEFJzJsQZxrAoKQx7pc,1000539210,0
26erEyiCwVCMyG1hA7Wn5WvPaedxqJixrybua6iVB7BC,50014084423,0
26rpm1GaCskfwPQEeAjvtdgTkTdoCJyUBC5UdikP11fS,1798226883,0
272AvtrjHscqMNpz8mArpZ6awA9mCbQGxWeqGhNeaEjA,163,0
27WrUeZVQvg5aKK5Xw8X395cnUBPupdmPf1NLmhZye11,708,0
27oP6x31V764pLQXqoQRJFDub2u3XrhSRG1XYe2zkFfX,201999798,0
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,115119384,0
27u1Cnvfw5fYbYrbLisZ1KR6wkBFV52fKVSVoKYLK1ni,62054123,0
27uFwaUQmx9pnDrWveULLZjuPwetDbbGDkD8jWZo9mNt,249484016,0
282UzmjNPZBEvtwwf1YTghLzALUwNbrYnKWNXLJQ65S4,50187264,0
28HchcyggHvqFqszxcnHtFraEFR41CgYpv3nXKmAUjWS,12855090,0
28inm61Zv1t7Sn5NAbrM2dbaWo5UwfYmYCV9k2Cgo5Uq,9795955258,0
28k7eFtZ8fUh7aTCN54EYTT1G2egBCukaTEzfL4qj29W,2868267,0
28oSSRacjogqeZBJNSjuN27mPvj5TGwKHaaLRfYLKKdQ,9496,0
29JVska5UEG3axs63EmtHpPvkswNEqYpZ3PKMSfupiAG,1652586780,0
29PgQbCo4WauXeto1NvaXUe2Kh3HPUNXgpNRssV9sPXt,53025625,0
29SinSkCGyFRFWTD3nBTmAMeogFGDT2d5e8p3W1imzKj,272701245,0
