pubkey,amount,locked_amount
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,256601015,0
2NCv5vq8KDH32w8uCpHvWKbBcSaQaoqVHfSznhNJmWSi,924614,0
37Zh3jyTwKQkmWBqpKd3AVv2gT1857LWp2qspKBeDUhe,599860558,0
38Bf3XEzoj5v4ziBy1sWn2P8EaY3LEgZ8RXZP4HYW7Gp,388956299,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,101443482,0
3UDqev3ufSnSwoH6Ep2RoZVs5WZ5fi2xS1uwVYu46fmV,69317222,0
3tQWxPqzneRViww8Zu16TEGVjP5JiZKoF2EMwFUpGJXh,71146938,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,385680319,0
4DcbgnU1CZUg9sPiCTdgToCo9geW1v9xFRaDuWz2aTYh,58410062,0
4SMKPjjwaxn32fpWmbk4o1VdSk4D4MY1CWCieuqsjbgM,188832073,0
4dVmFczTw2ekRtGNecCKGwvn3Krm4LQFz1kE7tfBN7LU,60784028,0
4wvkCHoNFZPKQtKbJKwhgA6EN5La7knEJvkJPTXyStY8,819459228,0
5e4CUjXXpmrLgnEiKM4igY3HabLuf9myNCcd1dcCZdwg,43493989,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,1033112863,0
6ZR5SRsJMcfmWsCR7Zn9KAzFAtJsL77BGPuGBWAd8rvp,31846467,0
6cqkCfKZgugqurMS9HP9ZUziJnSJDAPn1Hb9n7cro3Bw,89563482,0
7HN1x8sAWbQmrM4zTvVHruyAdw2BtSFBznhCP7J5RoFe,166715751,0
7f2TS8TvgSAwDcetUYaEzwzwDVLZ3WfEF6UdNuvgueXz,18909639,0
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,2330292,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,52341789,0
99CcrGEtnjfNsDMZX1bAqk2RLtVe7x45YxrMFjRq6cXz,1935331,0
9baehXJBgJxe2cKe2aR79sAkzfGCcUqQALmBSbThFwqU,559406231,0
9g5K7TunhbwkAVhfTrWKBqeZak7Jm3wHvGUKMZytyeBC,171772279,0
AmuT2mmKDXGZohtcTj7z3LXyDSJTS2RAzogFq4vNFRmv,1252720823,0
B51LKtaY1pWYvrcgZmv3wqUEuwNENqXjfHN7ZBJsKro9,36707182,0
BHhUwLe51kgTtMDnRqYGHr5FwzWG39GvtGdaf3meAa4s,6581836,0
CMfVEqoDTyir7RVMcqtEeAgbQLVBjTEttgzsMWmzqZ3S,106415737,0
DPsEGSQrnHteWztueTfDC8ZdWWYNytKa5uytkRGjuUoZ,1008354455,0
DQEF1tRhgpDC2kLmRMwbMHSdHDELzLA9R4WsME1nB5ZT,4893675924,0
EWgsrscmbKCPK3sewX9aEb2W4mPZvamnanvRftFL2qMy,13703934,0
EYKg2jrG9rJ3MGxmVQUjb2JcwzRX1tAyWF87gBuu9EoA,115228914,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,6767500047,0
FG5kaJBqKzfiEFgm6UCRxdBGM39xaZE9c4ULxNEGAXSX,1176936568,0
FSMWjTafsTPZ3c1QWTuHhe7oZiuUPf4XcLrwwnwBgpue,10424687114,0
FYmoBSEWVCHg98hxQUxCWJFnctaCEVaZEWzjdnFpDuGz,973211427,0
FbBk3jqf3jKYNWceDo2pSxf8FA2VqzptQgLuaEw5Yzcw,177805657,0
G2kPqMkmTBUuDNjDGzunYEaWfh6tuF7MXHCv9iT2PYdF,7477325581,0
GZdqBRvt7Pgem6cLpVbgfHksvk3UEDkuXX4pjHLAiHct,50030955,0
HCt6e8joXHbc3q42xGjJtfDMve2DvL3EBAsfTUZuwZ7M,3457474090,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,6083482238,0
HtK26RMtQUPDs1oB36AVa6DBLRzCbttnZ9LhoXpEWSaU,27287570,0
bgrfDSgMajwTvVXVw4xhAfUeMufuupREK6maYqHyzq2,69097143960,0
xGyptrUjv1o9zTmwGDGfdD2Ds7cGPzHicCVij7nZSFk,46096730,0
