pubkey,amount,locked_amount
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,10099054,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,2174882,0
43i1fNCqWLuE7f2qK7JthVzx3Hsw8Q2QbGYzMb7Tqg3v,7613477,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,11183700,0
7YT98chAa5BwPLTSzxqhK8KxCXRNJvFziD5uLNpuDBbC,3607689,0
7oDUPuBtaxF3gP8aJBJeZRQXRxG32avWcdK88Wkt25fF,38419581,0
85aQEFVKgeeunkFaSYyzWjXkT4wZvLn5tsURu3U2f5Ne,2160537382,0
8p7GwBdbZVSYeYaMWPx2WMFp5biqEhzcH79xsoBJ96MS,1086767595,0
9s6C4BBXPU62DmFGtxCw4QX4EAc5tVv7cdDxrrv1h2kb,8261781650,0
AURcN3ktRTHw8RNAZZkBm6NchUAMU4HbwSnwrH1sn2e,27482371,0
AxhYPbeU2mtDAEYGghr6BPoCXnNHkaJ19PtavL1pw9o5,15997194,0
CGFCbVNXXBDcFZLww7CMBQrfznrSqXGDKFmJe5kN3F4h,107933963,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,2160859898,0
HXTbYJ4vt3vk82Bf8x71Fp7fgjKpd13uE2ugCKRo8Thq,35782933,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,4692629,0
