pubkey,amount,locked_amount
1Rc4YB7eR6UKNfRdmPMtntCFHxcrS3zo6wMJiHP9Mpi,1057344710,0
228Uk45fvzAQJgosZWGVGHykSSGfdPgPgJ8B3RWMP1c9,300799800,0
22vLYpxKfcGMMBWhFnXJEncnY1KJrkf1w9ZDS37cB485,203216356,0
26EMTUBdWGWg12a4tVc719NSQkoSNUmSZdJBpBCSbR6b,137816478,0
29JVska5UEG3axs63EmtHpPvkswNEqYpZ3PKMSfupiAG,30517817,0
2CMoyCqHPEjto7Ck6UjF7gawjFF3Jcvbn7UPCW8epuK6,285238244,0
2GAerNcM1keVKNXYXUFuM2xvkd7DVNDbxSYTXRWutHe8,304343614,0
2Heb9j6xVZ9TxterBUvmum1KFRFboPNfGpY3cyyLjJuP,113240095,0
2QV34PBFCeBfNFNVWQGFc181aLHxA7Gyf5MGZWvQW1Yo,5295921057,0
2SA6EogkFpuF1C4AJkssNb3BsS64rBJH1gAPPrM81ijv,50741933,0
2Ta3Jg2PHuBM5Ps4auh8yturE7C8KuTVyXs24nbvq9bm,10144868,0
2WEPoHdXdMzQhQui4KiXfqbfBpkiKUbdWrdMg4m4A5Zg,85602891,0
2WyGMJZDGkqmkkCxf6mSDwi9aKNF59qPZz7t7bU3s5LJ,10160857,0
2XDJ8eBMqWdM62AEpLJSEE1cU8s7xmgbaogCL1BFkrkr,220286575,0
2XfsrxBRu88YnkoK4NFMwqW3vEZprn2A5xgmZGUe8CAF,11156342,0
2XrQMwaKUp4hdMbkpaqkm22tMRTyfYtKhsuWoxM43fKy,303017718,0
2YpM8Xuap6CKBm7KGdCLQBz7FKTndNLsXPGhpkkL27eP,22660473,0
2apNqtbEx3RcvBYaD3oXUkeukj4MwhjQ6uY4gmqo8T8p,12990757,0
2krN2MfH3BtRtnBse9KAMxCXGC7W5c1NTJ61pjDmpCrn,2664245,0
2nCne7PtP29YvAsGNRDiWNmPtwi6sSsAc1ExvEU64ixm,32052716,0
2nrVhfhypP7gK9Qt37HWMYXvBMJSZLETzY5F5syzkPAe,277026214,0
2qkvA67Xa4cfBVLx7UTHABQkfSJNHs1QXBSFxh9QbpvP,203039537,0
2rcNdSRuccBsDCtAqPUokr1B8EUhcVNTtR3gssc7Hmt2,61710055,0
2rdEdo1S2ZSjLQuW7iN7TR9VhYaTVn2waB3hEtDUdd5m,56375425,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,26969637,0
2xKqSB5fG8symCwMbKq7ibPr8Keh96uLV1ScJwR61Dm7,1001864127,0
2xfnxW44B7tHmW1NkeAeQmLFWvpByTH54ZHxB8crJ5yw,294822072,0
335XDPydLVirer8LYCKcMLLdbiJyQ43KxbvAuWDqhah1,101667513,0
34Wmv58UF8HUmjdcWdCZVU9o7h8N5h2fTozqRwh9mucM,2028121738,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,85676260,0
3DK9hBLfCEHgjLmUAEkSrPzNKs5kR3xZsM9Wvb7KXsRp,302519664,0
3GJWiqYfx9QJLv6R3T8AAwFmEMywWk1FQWYLhLVHmZVr,1016110270,0
3H3CJFbpfurqdCK28SKrTsxxnx1DiDLMGHjGyjTZjxyi,1016142439,0
3NmEV5VEmmmcfRK18FRzmx7GgdW6nC2XuC1msJurJRWb,83566705718,0
3QM5HitTh6VPAvk5o8FChhdJ4JmN3jke7GkUMysyodG8,8772576,0
3RFtDbbmhcWGiiyhbMLL4FnijA2Hm5jSqQjcjZH8v22k,1627885369,0
3RQh3uCyuKjDYjuG3YdHfufHocFzpzDJQywyek3wMijH,1016130213,0
3UgVZMSsRdh6MKKpmL7hvEateWjJ7UqqFPRQ35qchueJ,3550951886,0
3VWe9iuJTsZpowriWgzTrAtLH2THhrr9SHq987kuYJtQ,47432817,0
3cGTwizfX727KqYsXSmAiBthtW1b8aiHFwqTpgVRj3yo,220188032,0
3cXgaDRBqsYbv9kLvWrBA7fgrKU7K9HeWCSambA6Z11u,441998122,0
3eHTkbuWF41gWxdmqdrqrKSrPRGpitpSdHBbtWdv9owc,28470212453,0
3miVFPCkG97VdMuvgr2b3fPuVb8Yk3yj5vqs1GsejK9f,968467757,0
3pJUdW12GopBiCbexohsQAiJrsdo7QoDZxrEQZ93u8hJ,3944809119,0
3qW7GTAJNFtfGhG2APLPYq7kxSuWaatZ6X8AN5Je9pBx,1691015484,0
3sFDKYCFkWHwfVWzkWj7RL3poZtgWDqJmgPny2DVcV87,76454,0
3uHd43RX31Q6akDXv3Htjg5V749At3Hr7jkzxS7brvxj,1016158670,0
3ugJJmd8P5c3jynpvwULmJytSaUtdJ3Jo46z8Qj5g4Ev,741895684,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,366603967,0
3xmwyGh8SnMwKoiKoQ8aLCyh7GSbmmgtVSTaB3cJH6WY,26378179473,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,2002920103,0
46mejJSBn4BoUXmxePtihsizxM9D7AE8ZhVxGkm5pkY8,1016139306,0
47YFgBWhrEeZydPNVngcfGv5X1NWj85DcTA6JoV636pu,8902810357,0
48LNjsJ18717qHB31VZ7xC4HRZkHbEivAPBDKvvMxwCd,81144564,0
4BZr6hdeAy6JXCjtT21FD7f1D9WWMsgr98FZmXWGhdMF,50088324,0
4BkgCo59T7NkQfmoWvgVKH1knGNh9Rqr1Cm4WTYuupBp,10000221,0
4C3s7d213zXVtsPqptFcurFhB3efTAYYmYUdVBv7v2CF,54652596,0
4GXLvMHu6Uy5mvhHKYfxyKx4oye5PDfHd99xTWvc25us,176148571,0
4Gazx94QcJmGPXGF2Lxcu9aXjvEPch4AJEDT9j79P56P,8810680085,0
