pubkey,amount,locked_amount
2mGWBHTZRURigBVxurZgwYXYEF71pNdrsUFKkL4R8xdX,33709164159,0
3wyuPtzuz42XT1ym4ZwAVuHBRFtgaQY9QLJmjd7ABbyx,800040656,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,147588286,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,71345062026,0
4dVmFczTw2ekRtGNecCKGwvn3Krm4LQFz1kE7tfBN7LU,1213249,0
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,7304993903,0
5dPofa5NvGRy93rNGesu9bdKhwFeL4ZYdrGVe9PNPzAn,308728834,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,101748,0
6PfEBeu1WLC3fSuGNi7GeQrFz5ZMVxDbYMYreEiFSyi3,34068076,0
7127kKNECCkLinyPpaoFFCuqWxXTAw17ZJY5ETBkuv2H,6143108,0
7A9sz1M8gi6SYygVYSFA31imGPWRf8gdhx7LMxHG2b3y,15619760,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,11747297,0
7hpX9bZnn4XJDzKiBKmVJwqxB3UpwDsc3zCkgFYyVqXK,11702878870,0
7oDUPuBtaxF3gP8aJBJeZRQXRxG32avWcdK88Wkt25fF,11490789,0
85aQEFVKgeeunkFaSYyzWjXkT4wZvLn5tsURu3U2f5Ne,3227656016,0
8T7R9r3N7Qjdy3qz2ioXtZ5d9For54ZAiGo6bCZGmxr4,1126101675,0
8aDDMvBhRQXDeKwEiX1gDzAAZbjktykVrhudbLxfqZXP,1070358331,0
8pxiZ7zbQPFqP9dkXoUpC2WWkXQz85eadrRp86CPojqr,113767076,0
8x4JL2E123W7i8Na11oUoUFESA2hJGRgEDauqMHoDcSj,3786,0
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,401768472,0
A3PBopmLrsVs3j3U11Z7bXFWYuHAyvDr5juWcaMSAu6u,100167122,0
AfVHGFuAxV8gMq2EHWzW2Ja7toT5YR1o2xsqh4UQmMKS,3023,0
AqMkm3nfQsu3JmwwYezTesiTCCodkEwCdzQmJPbqmr5H,1459034,0
BrR4nxvXdkZYyUBKL7UeeiMwtSWZiR1Puk7qYVqXfaaV,537598128,0
CE1v2j73E8JmoyF8EeM1hdYuf6PFThfApU6A9E3rmMCz,180661,0
CRVHqTeT3nfEHjhG5QkDCtEgNn3o8DuP1zd69Btw5Pkh,230997338,0
CUXQcSwVzCcjKziUgo3H2o8gC8Mv72B55vnanNVFAbXp,123754287,0
D7e65dCQXAJn2t9iPxRucf9C5MyUhnRreovx4bRvGrYh,515770046,0
Et6cYhqYU8AMujgwZRmmcMgtTsnP3uGEkzN99PgaBqhP,12046932,0
Fp2C2dFTa7UFprUEZYsaKQKckLWNUd2HFcLusBDty19p,560729,0
GkBEaS3kYsJUUfpitWHjTqZZSHvVzS6RkBjHwHeRmjk4,282857983,0
GqAnCDGzf6XkdSJzs99HwTsKd77Xi2xj2k14CsuibcEn,8235614199,0
Gu21Fp1NASa2rXxBG5FN8EkgKc4QuKrpDqWxwP37JvJA,304891782,0
HBSLfGJbU6aHfHyvgh2Laf3JdEsJYti7jApn3eaXhq2u,1183528544,0
HCt6e8joXHbc3q42xGjJtfDMve2DvL3EBAsfTUZuwZ7M,7007,0
HV9yJKYoFLbvLfNj7cbL8yDv6eenhQ5RaVF8FfWT4JYq,35661832,0
Q2yu2mkhJPsNNwHT4EeT3zBfWM7ooE4tANLCC5pLBW9,25125396088,0
