pubkey,amount,locked_amount
2VWRnvCiCXFbWfiNB9SkeqLs394cUsYBSzMFkwsh5XtL,6867221067,0
2wW3k3GkfDf1sBx3PGzwpvs54KF1VQ9Fki96t8rABFww,3665853895,0
3demjJtXVgRyHdssJarjGEhHrJX7NbMLLUXjayAL5C6Q,398855065,0
3uDYhtQ3hSMvqzrYFKJTEEpkAuaLV27KmnMQsMf91DLG,4492406201,0
3vvGKy59UHZ1DYErvEJxa4vA4yRR5UQe8njqoxKZyU7m,68953838,0
4JRHikPCy811WDFFs5cUnQ3SsRbwxeY1kwgWoxCciDWT,100607573,0
5b5qPsMNa2KkTTPkGBadR5FmccvwuTgdRxGi93J8pTqz,145373645,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,166430341,0
5wGHA5Frxi7vv5EmwNMvUnKZDEshqutXHGUwPm3k4oYs,12042530782,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,23426748,0
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,8375041970,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,13556679253,0
C6jLUV5pytfSHcBqFLVCrBoPxuP7bcZHbr44xqngjfYd,4042265611,0
C7SZPpDQTbeBF2oYStvhNzeH4KeHbHau3Zf5zgW2tiGP,246696352,0
C85eUnzQEkzcQ8KpvMaFW7UgPxi7tdvhbNij4ikhS6yF,3105444435,0
D2YUnknNAWGTKcRy8FUyrxYAeU4ZsNqWBeYmB1nKgfue,5169888063,0
DSUNiSSbDSrEnxVB7saNC6BhUZgGoTXBEykLWfmVnVZ4,22397972308,0
DdEN3wMFvLYmQaDoiT8EjEcddjkXpVma1GMfQkDPtqff,79426742742,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,845096541,0
EUjVCvdvkL936EFkvEaGApjQYtM7nNwZTtPfuS9YfhRS,71167125,0
EuTsbHoFLvnDSNoA3oF7fNg61bfro4uCEaHcPNCz5q4v,78055977,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,96261104455,0
F6KX5C1F3sf5cYbpgq3vihHteVD4fguiQfFbKa3JG4RH,80933587,0
FKCJsKv7y7hwSEGmGFw7bct4EGgSjSykJBWeMUDouvg6,1619357035,0
Fysp3u35hPqpzM7MuHmPALJdmvZ8zDmqGokV16qvFtVf,1807863361,0
G9sFBWusgP9vsTENzoQnHHqqHRqiV4gMxchRyQ3kVEzt,10687870179,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,20632844478,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,1011081519,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,2428001543,0
K2eaEfKpDmcc2L8RNBhLcQqf2sEm2iNqqwoFc4pTTFf,21705209999,0
jwxzV5tRgz1MpnMTTooBxYAez8Ddi5u64VafnpB6kr4,7091391177,0
