pubkey,amount,locked_amount
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,100008775934,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,9813575222,0
3vvGKy59UHZ1DYErvEJxa4vA4yRR5UQe8njqoxKZyU7m,10811660457720,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,87507631984,0
69V9r59ht7wHjVKX9eZN3dzxUNS2bm3SkW1KoptsW6L4,2870955399644,0
8ppt5frg1oGp38ZL4aABUBDhDN2hVXCiY4EsWYFQDgoD,2001403804,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,2025215518456,0
ABMRvpV6Yxj1b7DD4ESbo9R9oaWHvSrLTvfVx4Umsizw,26207727135,0
DkHJBx9gvx92xrUxZb14ZbSbuJ6j25Jug3bBqTaM9JUJ,451672349643,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,124205401781,0
EUjVCvdvkL936EFkvEaGApjQYtM7nNwZTtPfuS9YfhRS,19009408286,0
GMthWLaXGAf7QZjCcxvRbSsci1E2aMvYsFRMbakVnTa,1537132514141,0
GkkMeqVHgfAyTrBtjHjvPm6s5CJnhyHbVaaJEJcEBaXo,1070686109138,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,311030191630,0
