pubkey,amount,locked_amount
26rpm1GaCskfwPQEeAjvtdgTkTdoCJyUBC5UdikP11fS,994100743090,0
2gaCFRJMqq8ZSvkArknNLeTeoif2xLmcKt9BcLjTXh6B,3967108145935,0
5LRV9yNWfBZXsLH3ZFvRWJeP9fKHZnFTkQWfTsxMNa8U,33647636189,0
6YktMmvQN1bJzkYzYnSzXXMXZTsd82G8Tr1q3YeEiHe6,23547565429,0
6dqe4fHN8DVHV4RjSKmcCKU5HQpE8o9tgZG5CN56nGCs,109576623509,0
9UpFVQQbNuurq5BGteqe2nu2f6u4zyEK1oj2J4PYVgL1,371534922686,0
9mpWKAHB3CS4XhFDZn4AeY7KwPCQCdbTgAh8DjEXrGJE,117385059446,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,204631294979,0
DB3nfP4UzQe194MHBdYPPaxcjb5TWN8btiw4Ume4Wexc,29438514676,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,162845369011,0
H3BJbaQcQ5AzuFd7PgXmCp7W3ZJsQ58QANp93F6Y8Rfd,390429975274,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,1138661317672,0
