pubkey,amount,locked_amount
2WodYPhpSrDVt8njf36BHPptYpyBbkrtfufJwhEMHYoJ,1592417338,0
2XcvV81GjvnHoBwKTKDd4moi5V5niH6DPF7fW5o5zZH7,1057077,0
2mjoxkb3C1pFwz1aGDKEne7CgSzmkA5KFWWuxunsWDE1,1030990,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,7402,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,2001540,0
3DdsNJR4kBsJ3TjwgyYHvfGT51dDGWF5s21HDawQkREx,635852,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,15218548,0
4z2E3rto6nAzh8Y6ixZW5ytA1p4jKcgqZkd22DqVemSP,44727148,0
68kSjSHoKy5sJ3yBKQStKk5vFtLYWaZN6qKEBjuj94Tv,266012,0
6AEhqtzHXA598uJ2pU6XKeT4uT55JQqmSc2dgv1qyvNo,8098964,0
6PfEBeu1WLC3fSuGNi7GeQrFz5ZMVxDbYMYreEiFSyi3,16164701,0
6YEPCecmLMN1JFMGMmSTZEK9H16C6yqV5STHoDKy5BVV,151640,0
6hiu5hAm6mWjcFNZb9FAMh91yCj65FtRtcLjhU2C1A6v,10139156,0
7efFnM1ZLrN6BiJPZWN1HRrADvmHk1MhBENx6nai5isQ,11715234,0
7wma4AJkWf32i2pmB3WXEoPjievwP2cRZsD12eJTd6mr,49998,0
82sNoVE3Kkro7jxYCFFB8bGtnvBswikA3AfpeeqGJVsg,27218,0
8GD4QVQPWtrazjnUAKhR86oPdHYCpWei1KNCqNivVwyT,3440183,0
8iZeqJgNjm9Wk1aL2FVHRkNLzEL7adWCyVbJmaLLJipZ,1170890,0
9bZMA6TFMZwosoGJqMPX71WUbELmqxefT8eFmi3tRoLb,1157353736,0
9oHXfTUhH5VfH2ciyEUsAc39he27xQtRRxkPeKXoFArd,318212,0
AJDaSQKFBPbWCZWsxa2owFE2R978QCFLvgw9AmZhrsZD,10294,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,152353014,0
Ahg6AxCcAmR8qC3oJUyHMmZ3vGPdWmZnX92CJhRYMTd7,10421,0
ArRqntRT1QiurpDvCyp2T3fzwtbf61WiZKzJfXM3aeh,100728037,0
AxfoqjvaJM3kjB1mDYRVytv5Q3ERGztv65vGQRBVs1Wx,4060122,0
B5C2zjDnhQ7eUQkotVSjU1tMn3GGAY5jSTz1UfK7kdiM,1703475,0
BFjn6fAgXhPuz7tYD7dngY1EX1bUTwvKzFWd9u9dVYz8,10529,0
BKX6SDfoTMBPDgtHJXpbqaBZuGoV16QD8gAZtnhDDedm,933862,0
BfQdzVM8sDQiL5PD4tszEsZ3taFdCBeLrWccfSyKFF5Y,194188341,0
BodwpuVMg3Uac5c7ZGLYdwmAD4zoTzz94qxVcAFGhaXf,117142,0
By2aADE8wjn46rZHZmXx2pQbMmg6CDPBC3pKvs77oSjR,432153966,0
CDezdwWGK6sKLDTGHrynpMkphT4sSVJPywXTjdpXiYNR,14526,0
CM2MDK5PxJSnF1765FU1my8Nnh5vs75SuFR7nBWygNtx,1171566,0
CgF7keMQVVU7RGb5EWn827CcUe3G3Pa7TrcaqGdqjE6C,36217964,0
CnHsE8Yr2yQUqzzSThHv3U4wEsxaRV8GY9w7eWZS5DAY,885372,0
Ctykq4Etf4TcbC3wYzHjEqbBg7wCkZk26Y2ACnqCAuLa,185432286,0
CxWyUjYb6hpfRnHQxbFm9yxZ1gJmvYxVhNderNUaMDhU,11894270,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,4328106,0
DYzay3XLwycauRpWkqzLmZ56ao3PdSSV3wSDNVCwuB5Z,22537576,0
DgEzZHJmXgJTczbG3RyE9vfhhridwdRrHYzbEjX4sqYa,3196040,0
DhZqeYyRp3Y8y9kVuyp8DPTFkEmHeA2rqwS9Bq98MxDn,58573,0
DnQNkEVKq6TrhbCfoGVUDZMsQqg1u7sHucmJPvKNTBL4,14428,0
DpUcHGVTJrbpEkqFLDUe4ZNMGXCrjHf6ygYYQ5Uop4RD,1109191,0
EPKpfCmdkqT4tK2oLffSuQHQd7eY2JXLc9t7qeNqoeFK,142836,0
EiNeew8mLH7x5CR4HFNhMRRuynyDbNfm7zzahpR6G8K2,43952,0
FL59rXTKns1KFWahaYTY9utKCnbzXV37BTSpkcLCPSY2,295979,0
FT4rNdVP8mFukVNxZRtHcZkjfdQfHnif5u7v8AZBrntB,234167,0
FTnUe6TmX6DXdGvwageikrru8kJRFBogg14PpKBNtnWj,75803,0
FbH8Lvp22GyqUNhmkFwy4nk958b2w2UUBagJZMc9ydvu,2342065,0
FetTyW8xAYfd33x4GMHoE7hTuEdWLj1fNnhJuyVMUGGa,37062,0
GFvA6mYaFxHSm6wHmgehL6r6bRhAgL3k2r9Gozzo4rkW,12892363,0
GfQcocrTCeA9W7PuirmEqcwTUoE14HPUA5dqb5qDT3bK,503054,0
GknngJ9PQCzXt9AP8g3pyWHLyZB13VWm1KsHFibbiZ15,40971,0
HCVSq7MmmpxmMMWtp9Cz2ZLQ8656pxvsodRGRZ2xtFxV,25625,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,1025183334,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,299568,0
JAXsTPCyg69YmaVMxHo7AQba1mwyCavpjv3Ec5TBFL36,2107553,0
XZiAcp2YnpaF7wpEuKffSNgZErjXAdVAPR7rZDFLHZH,217337,0
dgsGPsRvXu9zEqK3hu5Ed5GMLpuacR6kDCpcqcK4oqa,268661,0
sop6SQCk7Vw4PKMoRG58N1mdMwx7qVo1Bcyfo5bjowj,10056089,0
