pubkey,amount,locked_amount
13H39smF92YdezqnoHw1WuGQ54z6Yzx2hoR8NNVtLCRr,67407026,0
21HP6oAQ5DvcNXmnXH85XYEA5D7Va2UfyN7SyEp1Bnth,21038907,0
27mtvrM3yTTAjjNkaXQrWKZfXS1dAvT5hbk7YeqAiv9a,12195600,0
2AcVe9iswjGgXjX1pWjGuzpN5V2cTvceYKAUb39ZPzFG,22449616,0
2B4TWQtFmj6hVV5QQbg6kqnjhhR3vduePhLDeR5DpNjS,2057491,0
2BEn8YydXsu5mwo6ZXBABf52uovTg6k5rTKXUGZfuz8t,2037784,0
2EBpLijW2N66wtqyd17TpxqETggwTx1FXWVJYBnH8fnm,1171512,0
2EMRNCg7pKcPVkipR9jeBFkuhkUdj2Pu1xy1iMJCxZiV,100328732,0
2Fjzk1npLJst9GDdAktfGxfgo4sVA38oyWcvNaZJw3NU,6275560,0
2NfEqoBqdynn4r1X6r6fq1CMunM5seWY2VK4jv5PRQYL,670181704,0
2NnTFtRmE8Eik1wBBBXC39E1zSJMTgyQsmPUDoFyb9XC,88041609,0
2T72WBpqtMHUfX324ZuKmXyYBvTkPDX93zs5HgFhpQVX,112142234,0
2dUTcqub7jkyoiz5pchQKLJkJjQshZsh9Dqe5LU59vpu,27027318,0
2jyPUaZbMZEw6yaLaAjsgHxj8GoiEmYipiim8vNj8V52,26132311,0
2krN2MfH3BtRtnBse9KAMxCXGC7W5c1NTJ61pjDmpCrn,86652,0
2vhxywATe4Q5eduYbsHczd8HuSMubfupfdgKERBJFDUc,290358050,0
2zEr64nnJhqAFmWfpvpxcxc9gd3TYnDcjPPr72HBmyQK,40186412,0
31dhwHQLkxkmL6rbyCXnqHtTUM6taHCVewRHP88iQtqN,102603031,0
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,176197705,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,9926119,0
36X94S9NzhZXE4UJJSGQfv7gEFUtEdAmuVx96MRrsqZp,134850371,0
3BDRE7ZAxUeGfWYi1xNuo3qsLGzRVSZkQJ8rj35TifCo,29868097,0
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,1312040,0
