pubkey,amount,locked_amount
4TKL8sp9diALGQ66q1Sohttw3evHCd3y2D4Udw4Fd3PF,1151605114,0
5KpWyrPEnXNsgCvbzuRUeUEALSY5E7nx13pGPHbHLpf6,15683997700,0
6Z2HJXYN9rJBc1VHcdjiPKuij976s8EjgqdG8H2ftUYP,78288375254,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,49142056158,0
DNuGDVXnfKv4sM1Nh2iFpkdcjNFH7A3mVrmAVDxQWH7U,9319623902,0
EAujB36EQEfL1MBhx2Vj2hk29Qx58BbscezgWjoyCLH6,15489770868,0
EUjVCvdvkL936EFkvEaGApjQYtM7nNwZTtPfuS9YfhRS,884098216,0
FNzaijXu9KPKi95cigGQfj7av37JxdSNrNDUKjWCUWRa,2557855479,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,5338441334,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,7675158987,0
