pubkey,amount,locked_amount
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,10231063,0
5xL5DUapc7FFV2BKjb63JNamMJqVLRLBUSk7h9KPVj2f,5187514479,0
79kyFNdbvAdFvMyGNhqtYaKUCjq9T31ss7Dw1egVeThB,90697616,0
7hpX9bZnn4XJDzKiBKmVJwqxB3UpwDsc3zCkgFYyVqXK,7544778150,0
A1aSgS7khZyt5ue67VKmagUVjpfsCSgxXXLfTJ9WraPH,3935546844,0
ATVZLcd4N5n3vyeu1TDecqUR8fPuQmyM99WhJW9muofp,26329975,0
DVbugxQrvNVP3XGCa3yBfd63Ybghkhu94hFHa3VVDyPJ,5188085,0
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,246268752,0
FEwYeM88r5fTbUbh1cfQWySVF6JjXxwx25cVkVxNdSi1,915281243,0
FUSuwfZV7zyEqtzXKChUqsS25D6K8k296hy4sh3mSCSo,9089663427,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,1042929333,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,4227506,0
