pubkey,amount,locked_amount
23xEBhyBnx7pTCeb52hXEpzYti2Bx8jMKuvM6Mt4P1By,299612222,0
24hg1QG8fqi5kQgHsoo8zX2jktGmpsKwjiQBu34uNtpR,17546281063,0
25jWQaE88nw2vcpia6CNLog1Cr6CpZuHkkRLHvNTMWhx,4650216587,0
28zzZZqrzmzYuxJjAgEvicd7LqWWYjTECYjZHmRFc8bU,435064966,0
29PGLuobtvWftNCXnyYYmT75rVqGVgefEpweFPYwpGws,7534,0
2C3CNkB7WUsJqi2Vd61HewqHLqWLkVMFeRkeZdNzdBpu,518876197,0
2GVPaezWLVdcPrhqbFLGFDoQ7zyafcY8UBuWe1J9YyDq,1017694503,0
2Geg7ThoM5pGdZStVEdyHJQWXpHz3PTr3seKKFuw24Ru,82670561,0
2GusBxBRA5gBCuzGjymzu9Q7bKRR1W8iJ9MzgVF81qYc,186023954,0
2K93TF9VBvThXx98AwbsbH7MXtpPGnFU8DpmaAwVYG2L,657807212,0
2LLWoGq6ak6TbjMTnyyKGA3MevhzNVPpEM9RcRCoJmgQ,53896,0
2MS3BqdZfZyDA2wAWdqqyLxwLq7CYFmGw7JDmWoLWQuU,5625730442,0
2SEgC1hLy7RVWSWgRavbjC2GbuHd2aSji97he63UNSCj,2459614,0
2Svj8EvNaK3uYmwa4DxDujgaiqrQSFLR3hj4XALf4PqM,1033375879,0
2UHRmkbCYJuYSg1hKL7ERssGpBLjASEjfaGYcgF6zUnd,9175932,0
2WyGMJZDGkqmkkCxf6mSDwi9aKNF59qPZz7t7bU3s5LJ,10333105,0
2XKtFWFLoh1KKkvekLviPCAJWs85dtHcaviGkdYM5sUP,516445789,0
2cD6cBN4JWVLAiMKZrB2HBpTJx5feB4ZqAaRUoa6nvay,507470099,0
2cWdpdkB9jJB1qGQhn2yYYZYGm7xEFxRiTzTThsynehp,5234836,0
2cymZmHrvJYdwdnpHw4ZEVtH32gP9SG5odYyWYijy5PX,103338173,0
2eKLKwxQp9ZnYJXgfoPeWi3UX8ydCWnt7EzTA3RLJ7wm,1436021163,0
2eQEBy3XZV3NNsm95WTPBfy1YPStsAdgjMKsBbezB3BQ,250001242,0
2ete2Lw7YoHPkDT4jWJJHe7Gysrhcziq9EbH4jkiLxjy,51661953,0
2jZPzF4PUauu3KSUSMUmRJM9nXVAmLWgiQt4PZnxxu7w,14137396,0
2p7gTLsc36KSDGekuUd62ZNYMUb62LfvQVPXrDorMLNk,100062234,0
2rKAaTQPyQJiLRVLY2GbxnhFER2TJxkVVoovwt1JxQK4,289399251,0
2rdEdo1S2ZSjLQuW7iN7TR9VhYaTVn2waB3hEtDUdd5m,14269318,0
2rsbbs2dwYEXKxvKezNzF4tJzxGJ9HHWgREz7ZfMLwcN,2368794388,0
2t8FVAdcUAtXjhUssbmp4VfF78AU77QqMMM46eCZrL3K,1501206219,0
2u6fLBn2DdkMqTZ8MdZz8pwjt2tUPzYjaBy9jDqKF5Qw,15500626239,0
2uw8H6nPSEdEbF6R24u1d8mR5moJ3C5usnoqYinKtUi7,103314998,0
2vB2LBmgbebsZ2YwjHGXJFQVY4kF6xXuHYNyiWa6uDQy,100595518,0
2wJzuJ8fjKLHC5kAG8Mv61LET12NcpSqSLx1ZuLSM9LZ,963858432,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,25708285,0
2wY6cKhCCRJauhrbxYRcoNPjwiyQbM5KMixwBX6q9dYr,2889297045,0
2xjaFqhU7XoPR7r7JSyKUNckzNNz1JGVfqwDMr7a7LUv,500012705,0
34Wmv58UF8HUmjdcWdCZVU9o7h8N5h2fTozqRwh9mucM,10330125940,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,92038267,0
36u5CYokCUXkvy4KKoahZCt1xnYTEvTh2Xm52B11FEWs,111743,0
3CR4u2idHXGmShmtkbPqiWSG6bqJdf2o9XjoHzjEN8xp,94738192,0
3FVngM6nKmT7ftgkVyDZDEWP8ijvPZyWxkwq754B9bXd,206676352,0
3G7yEwMp6JK4AXCCptRQwzUQtJHth2vA8FDQuzQad4KG,1032140009,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,9630851,0
3UU1fKRBrXysx2oyp9x1C2eHse9xnrAqSVJGd2Hn8vaw,1125725,0
3VgDCuYcoX19rLqHk7yjsERkRstWQiHrmuiCSjF3UWeo,1405871706,0
3ZL51hSb5du3QFJAsZm1A9bsA1YtZBE6n5chtFxrrcpJ,10435956,0
3j4Wyv51UT5YaY6rx4SKyLnhSLv4AKSvHKuyy8nMMoDb,367790511,0
3uZGXTCyrYBnDt6Jxrfh97MEF6BHSMBCwpR9rmg8oQoa,1032713,0
3wRsHba7nMHLr1iJmKAD67Gb5f2MWCf8K6rRF9wQEmdV,330612438,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,66063990,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,3718338209,0
47VbkmqA3BxYgarCxt3RtwkuzFX7a2XLeJTK3uMb7Uv9,81002676,0
4CmiPsJ2Vk73rAU5UW1okEQdb65CXUk4nA8MkpunLdvP,6187620,0
4F7aENpyzKDHprR3tuKqYQUM3G5kCrYrk6eYkJemCtnm,481105,0
4JtXuXa6P8A7KoAGc5ocNHEdA7juyCVdXdembC44Wjqj,92583212,0
4K1XawizE6cNTedfVjRJdFjiamdv7cqA4Xnu6SMZnsAm,4886315,0
4RZUk2CeWRYFQ7dHMrxvi4evg7dnhxkJciYSdE53rNxK,888900592,0
4RpwdKE1EU2PpK4p3ohdXsxXBqqdwcqGKkhoTT5a2hPc,51651080,0
4RwA8mrPmmUEbjnVp6xLHrYGas7iZs8cYJKYwhi3omzt,19242757,0
4V6fKwLWuWPAEKKpzWDTueZe8ZdsqXHGbF3oMdka1bZf,189659549,0
4VB8vskNwaQKbEqfHGDeSWZWFNGvhtvDaYGDBa5TcW7n,277732095,0
4WuU8rWnWg8maHNCBEocKKUa2WzbAKp9MxNgitnzDkR2,67537589,0
4aMRtqowq5dM9h5qTuZj2A3KbzeaahpzPMmrXa7pRJC8,100636116,0
4ctGN3xnwzNP4Yn39jgECZyRWVb9VCggpAqWRQhKVNDH,1000775916,0
4eocegiEoZsAnaXGRwHTvXrRavbgLmubJDTX98JgJQ6a,340001334,0
4iMFUMmoQbBcdeX6hPQXR2YSakdNYW2uif5NcDQ9b6fp,732202435,0
4pu5M5DniaLBbZVJEoDk7y213RuUqRVr6keS9yVq2Htw,309949185,0
4tFGn5jfJdszQkRs7N6hwyuJ1q8RUHu7zepMX8xNKqBw,466373084,0
4xk46sMUXCnHnfyv7ycsYbSHHVe89N8DP3Mo1iniXnKE,1033376928,0
54jR45v5DzSRJpVZqYBJeMGUvzHviq5D5RyrCnQSrsMH,258345533,0
54yt4es2xMyHGDAzng7xF9FyT5GSbnud2rRKMYaGoSm3,807888053,0
5AUgZgDSHHGaPogtcHb9xRdQyPLCAxzdRqXMin9GA1Yh,103337458,0
5GPshJje6N9mWV3euQXx3bTtMebVk5Dxt4SjZs6z4vn6,20663157,0
5HvANfuUHx3C4qQ3eyvRrpPLhSWMsoXHKvtShCcGzVnG,192689267,0
5JCCShKAFJabJGQfystLxNVVS9hZDmZuXL4fogPfhD55,1508487903,0
5LCcoYCQfQmnJ1mnLLb5p69EHLuspwT2S5XGx3JxXzqi,6200288780,0
5LcYZokoiWPpteCJHRswAYi2hPBanCUimX4erd3ttxwJ,933351869,0
5MWCnLmKN7diwnoEF8tUZYAhTSAhjM8NtZUsVbTerpYi,10329203,0
5RaPDNNr6yA4MJyitJBpRaJQyW6roecdPSN9693FwHjh,92707123,0
5ScdBaWJry7jF7LGmtakfjv5tmeDaxUjHMtwt8d3eqWA,206928467,0
5Yx8jXMBe5Dz2y94JkpmL57DadYhuMy1ivCu6FfmFXQ9,18586768,0
5Zq3xm8bmukqmAuuJUSXWjzrdUKANHZS5gKn4u7ahS7S,46580949,0
5bjJMTjUKdwyJv9rsgGzpDph4dxdccdQ4sDysf2HGrKj,202790077,0
5c3e9c6PzB8iomAJpWffXdj8CG9KaDnVQvLFoe7GTiiF,625705190,0
5hRD8tN3nGpLHJyr9FDVxGzW6v7u2EUVpHfUnWGCZVkN,201324660,0
66nDMvDYG63ZDgf7ZwRhFQfzDh7HAzERBsgz5DZTV9hY,206552795,0
6HBmUwgq3w4cm1LaYbY9eRT9rJzcDsP4CF8nfUL9C47R,604062991,0
6TswjAgDyHayx3zBaKY6HZb3y8qN8PazbQ2CqiFdD1Ct,6313510,0
6TvGowMT4WhZmdExJ68QhmqwjvFn5HyButSiaMjYAUwo,961579839,0
6YEPCecmLMN1JFMGMmSTZEK9H16C6yqV5STHoDKy5BVV,64059147,0
6Z8NF3mHfc4dsjRWBfZUP8WbU4XyBL74KxQy9QdwsuDK,205131092,0
6aYpiGvZEf4MNajjaF5xdmQ4WBqX5c3QhLxdSdeoXBXJ,483114300,0
6d1DfA2TRyJiAzpZQMVW2C2wAupLSSUP1h8pVFwuQThb,1033382035,0
6fY8f3q655qzHK8oHxP2qkhFh4C1NMVz1CyXvCTAC22a,2908740462,0
6fv4xda5CvzoKtZjzwH7KE8R2wXbC6c7UQbpmuhMsS8e,2218891238,0
6mQtWiEydFZZFrrKKaKvvMPrdiUzXQE8NxCvqgziiw3D,200092414,0
6poJf6gJF8EK8Hwjwgb3eLCT5Kp69t1TmrDbFbZ866Mk,1000196829,0
6qjkZuYsEaEXuoZ3Pc7TfAqNgURngQkL97rasyeJJLZv,1000742757,0
6vFrXHiknjCT9y7DmZfGmc3ChH1o5yq34hXgxPuU7n1w,16006671,0
6wNSyKZ3oyBo2g1oLQiSY3zfvAABt6xjeiVptXAWnEMz,413059708,0
6ztexc4SxFnoTEHXXk7i8xgWPJqzmgmPZ957rUYjE6yq,100062234,0
72HfMcAeUTKCh2nwmWb1FcjQZNi6fhwx5WbHrZmmphm4,225909760863,0
73wsYJ3D1iaL9oFaZZ6TzfagyQkTzzHnSV87zXVJTBnz,500012705,0
75QnAoEoF4o3hD6u4q5m5beo7PijgyQoQbV9TZuuzVCZ,10002175460,0
7643EWnLFd8EAMKJ7dc453ucEqfqXumcdZYqCMueFqB6,989124915,0
76AKLHBLcXxeJ4HXMaupoeXaoG35ww8ep4tntHf1RXfa,6771501,0
788gmg8ANWj5szKyS9VRYqXUWpDtkdnG7ZCUjXFnp4eS,94734122,0
7At8dcY5fuNk9N93RDDrbxUPyV3ymsoWZdAejQnBDZka,211108040,0
7BCLfvAQrCCHE21XPiNR8wEHVZECBjFEjKUwhQ4BdXwb,40416829,0
7FtrQHBg5m2ajits2GgaUzDiLmLdDpVif52dyiwhi8x1,10557546,0
