pubkey,amount,locked_amount
239aJnjX8jeHvz9yXW32DomY2tiTG4zmLH4crUy9C74k,38538661,0
25bYhroG3CAR8tkMah9xw9Z441HATqogBqR4Hgxt2phb,52833314,0
2AbUon3qTttWnCnEcoVcQoMnVrLNjYDQWCS1dLpHn2nB,145237333,0
2UHRmkbCYJuYSg1hKL7ERssGpBLjASEjfaGYcgF6zUnd,3158488,0
2VGqW6yEcNMCHB1E1v3eknUybDetoASkG2fqLbGkUVmh,38784628,0
2ZfBqr1GLEbPkdb43WXwrbwZnM499LSz8mjsVHUPFxjP,526410858,0
2sqVCmuiR95ufpdQuKfcouL1eZRmULNQAxoFgFtZihsL,21005840,0
2wjDVhReSxP78iimhy4ezLabLY7nbtQUFPpPWLyK62RF,5264138,0
31mtnkUWGGi665Fu3ruphxFpFndwi5sZ5AqBLCBCbUzi,1723187,0
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,3281901,0
372AgHSBZGqQPWee5Lim2M8UnzbZ9UNgy1Ld6UoAkoVL,10524589,0
37mK8DJxWo5mRnqhcyVeQFrST9EwZCdL8n3ru9soeeVP,49078956,0
37srVG5UZHn41YyDcFWRSCsd4P4cuEZRGquHbnbnFWY4,52500053,0
3NmEV5VEmmmcfRK18FRzmx7GgdW6nC2XuC1msJurJRWb,3910033369,0
3SoE9VUktSgDdTSpVmDBiLqWsxfoPz8jsKKK2z6f9NDM,8074213,0
3StsaCEzMVo2SRqnhXkGhxeAwYTDP5GNiji1ZH1hTBfA,74993277,0
3XkMoYiaPrzrSmydfb6tJ2HyEwSCb1eEEPvxaU1XoDM4,36502670,0
3ZEwKPh1D8defv9rXyrqr19CpyxkqiMbv15FYBrgVK5U,71136481,0
3d5hAmzDqiFx6PbEgnDdhG1NXsALXvwmUipW5kNAfwEF,1052822,0
3edao8Z75Pz4R2qsZvZQr1VJipobYWpFZnrLj3m8QJgx,33058394,0
3gMZTSstxDrUccx9U8rcspCpX87c3VNrR8rvGoomAwYP,463139918,0
3hPcQzvA6LW3FKgy7cKDpx9sY4rFEPizeACUj4mmexRk,2316228,0
3qM2YunNnteCbdD4MDhkVDKiDBgaR93LvARduhm2druk,2632035,0
3sHZBsiS11F68cmuJHowdT3g29ZS84tMeEUmrxfUmXJQ,22681006,0
3tp11mFD9HuKoNHrwCE47Z9x1Z2AWT9qmQTbKLD77NTz,100769544,0
42a7ZhrTGFmU1U95H4QSuuj8VoKR7zbXgKTmvZPEWwi8,1430937,0
42vZ8RN1nf8UiSFpMPMabFnY9fwkMLupkqzGHSBfYsMj,238995985,0
45oVEtBnZ6UPsLXjAiVevDSKeEEd59nSQ7wo1zSzGJ53,10816710,0
4BkgCo59T7NkQfmoWvgVKH1knGNh9Rqr1Cm4WTYuupBp,9790032,0
4EYLrWqEvYbhyoQL4cKvPLKknfrNn1MqowQUvWsCacto,28426197,0
4K1XawizE6cNTedfVjRJdFjiamdv7cqA4Xnu6SMZnsAm,349999,0
4MVbYXFJYNXKXjBFQd4K7rW2ULZ3GmF4p6FBmWx7PPbu,816560,0
4NDWynexBzhct6BUcPrzS9PMCmUU7TwKD8PozJmg8DtR,2822983,0
4Sg3HUiu5pyx897Gjce5oEDcZ14qqZjjt4obCVoUm6Y8,172,0
4SsR8cjuaN5KHraBD4JkhY8YFvNawcoLSKE6q6Fq7TsK,526410544,0
4WDgRnuYRGNpBzv5dxgV1DAr4no9YG9qc2BsKdQTVLQz,20847964,0
4aMRtqowq5dM9h5qTuZj2A3KbzeaahpzPMmrXa7pRJC8,26255851,0
4e97HMm4dmurxgA7jLptvn8hDzrjNpCzy1s9WbduztRV,10517714,0
4shmuLRiJx3kVQacX6JRTAVopPuvvN6kpwFHaffZA9Vb,42908849,0
4tFGn5jfJdszQkRs7N6hwyuJ1q8RUHu7zepMX8xNKqBw,210509663,0
4vygEhyhpe3n3jTeTZMpqRiw3fx5rKiphgR4SeVNR7ZY,10925615,0
51BicjaNHSWaa4yeBvURzfVViQZuCbnVM1AtHVX9QS52,10527175,0
56QE6mCyW9d1WUeCqwM3neYcyYac8TkrboRnSaB9K3eS,63147548,0
5ANPAVxLaYgVN7LB7bXD7qGijvDZacXU7TtEegqS5UUR,10528150,0
5CUFyHuGKZnPruP44FxpFZ95H8fdRieMdSJgS3PcsnTN,10504426,0
5EZQST5WCxbRp4eEo61m51rdo9hSPvD1uSx92MxsdY7q,994493889,0
5EiHrEn12kf1qZNcS7PJ6vn3B1gbj8zhuXUxVLTpjxTf,13482759,0
5MFV6czeisWANYxoazJ1yApgvepVGLM9Epp1g6wETiBB,4740064,0
5UUsqaWtfW5BYVcsNpp7dKygbtJjRgrs6wR4fshCQFpu,529079625,0
5UqmPtX8o6PUNTdxUC2CQDsc4AnMcPT6zjE2YJUfMncf,443112001,0
5Y4Pm5qn6McQcjJAfTNy3C5S8tHrPJ8FC5E7uFLC4rCQ,210554046,0
5Zq3xm8bmukqmAuuJUSXWjzrdUKANHZS5gKn4u7ahS7S,65760,0
5b1ErpVdxCvyscTa1T6oZdcp5mkDeC8ytLSgeX4tDaWv,45000016,0
5gDmKhDWymxt1tacUZhkaYG1ieVdC51jriKRMUkoifMj,8366589,0
5hRD8tN3nGpLHJyr9FDVxGzW6v7u2EUVpHfUnWGCZVkN,1052362,0
5o4zqqFzzD8YHD3p3A8jznikbrNmwa3FrnGnhxNhj7kG,105283477,0
5pTn4VbCH5Jj4ZvYfXnxv9M1ftGd4ngxCExFjoMRbEqw,576464009,0
5vdsos2eSbp4mHeUCWZqn4oahdZvL8d6S29WwvPcvuPt,37538942,0
5xqnc5FHLL3nYWgutnjPcFEpjErCpn2VPGjmGrFrFB4h,210009531,0
62ZUJ1oXj5sLBh3fCkXVPUAEKYbBdJm3mcd4WoH2nTSZ,1089211717,0
63Vuwp9HwEW7aqkLvBRooMSBdcw9aiyxzPsUbB3ePUuP,543090,0
6Drt6VVQhfU9WcAPUvytypeFdFZ5W2RBWhamEZSVnALL,121789824,0
6EQhMZNaDM8oFGLotqrMGztfTHqppyuScF4znnghS7Kk,315846982,0
6Jxxt9C32YfCmBLzQE1mvr7WfjuCy1VJaFwu8GWupLiF,602284490,0
6KCf8aMd74THus5Wd61MwPZdurZASFmTEAg7DAwwmv5i,939973401,0
6UhMV5JYqBUXafdAXEsPAYBmANSecfVmSVavp9C6Vevd,2026906,0
6WCSzLNcmyH6f3i3VJKU5jTMNkRVJBdEY7trfLJ9Knrb,10527245,0
6WRaJW8JaZ1HUBopXyzchshaCCSBxuWt843kZKcXyq3Q,26320596,0
6Z8NF3mHfc4dsjRWBfZUP8WbU4XyBL74KxQy9QdwsuDK,23055007,0
6d1DfA2TRyJiAzpZQMVW2C2wAupLSSUP1h8pVFwuQThb,105283087,0
6dkynFv9aEsx1F9To2ScoH6p8MotMyJx5Sgw4jERoBtn,3158442,0
6fY8f3q655qzHK8oHxP2qkhFh4C1NMVz1CyXvCTAC22a,7968423,0
6hd1nCPi7nk4n6FR3niDkqFjfcL5TUNmUZFpXUwNt8L,1052767339,0
6zC8TjMA7kUFdZqP2j1Q49NJTre5F2NEyD5UKWGyYgqr,556996060,0
758KbMp95Fcsu3RFAvFqeUrfrsyaTTz9EiH5vN5b8XFW,5263636,0
76AGivqbKJWzsqSuaRRveUuzxLQMFXzMTioxPjtJsLxG,5263638,0
7EtGovzHsbD8cKGqq4R5rvKBbncR4Kc7CDkTjof2QBMf,92150288,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,207648445,0
7Jc75jgtGVpZNopec41xRQU23GSXKbAbEtkP9u3MJdBp,5146895,0
7P9FWK5QAU6qhzFkXeLJKoB9YerHyLREWgLcRXsrKyBT,10520479,0
7USxYwFHrSSjhgKwaVD5YLowbSFsQeYz8YqbvHrU5PFo,315846326,0
7XppAdfuFdnGxoVZwoMb84pSkVT2Wnix3tKc3K9reDT2,5263206527,0
7hkHSJiuyVsficpkCTeNE2xyhq6RjRtvJegdRYSat6CP,100919699,0
7hqGrU49bC645BvnSqtg25isJ8Z5UtN8qQcBhn6CYH6x,2131425027,0
7uKN7Ujr6mSiHaG2VEDQ3A9x4fcLVussgskeddKwE9JK,36767537,0
7vhXZToqoWm39m78itYEjJ1NWAzmKgRuYukAxs1aRXy1,12510,0
7w2iW4bNbsBEDe38osXkFZw9JbptE2W1YYa9Jfwjk4tY,5249622,0
7wma4AJkWf32i2pmB3WXEoPjievwP2cRZsD12eJTd6mr,1151899,0
7zbMQgKz29wTLKhJTcm2ZCYiHeho5UA8r7JPA52YZg8z,51588180,0
85ieP57azKSSLkhztdivfdncvHPL3ijDKFLvo4pWUYWQ,52500587,0
89cGpxHDtgUd4bRYBtZDqYEKvAEVt7BicozVcbthkSRw,100671941,0
89xhXEJZnFEQhrwZjtMa7EyJyGCWR4gdqRu5NYWAHEiH,18391492,0
8BZpE2NGFHERuyCD9rDfVwWR82Puv8eFFCCFRufSf5bT,263081155,0
8KUVgQUMwkfjeteQGgEKbKs8ChtJHG4Gqf5M7KASJgSC,49348349,0
8Pg1r5PNt4TPW3g5ShQVp5hdRz4RxZsmJhud7yph4hzC,42003225,0
8SRwgwmEMgQFWmAHaxMZU78xNujZzA5JNZ7J8BhEAC4p,16843255,0
