pubkey,amount,locked_amount
125SN1SAYLzMtjoFbouVRS8TuKDhwfG6RTkLS9UWKd1r,160530159,0
12juAxa2yKPYM89CRJFAHEu6xwDazFUTByxjmfFhGcLS,103430355098,0
2NwaHXSWdzUNLjhz4mW4jukjTNpQHKqqKerc688U6gnT,3709003873,0
2SnSkUnfpHadAB7vAvBZEoJ3zKvVqTXcjZabDt5oYk3F,72721345907,0
2eVrWMM8Gt5y7ZEJpvckjqBNQGm8jwPWQPG9cdvcdGPY,129307634526,0
2icFeNxDAbLqTCzVZRPUGkUPdhbqjWVk19XqE1Hm39r3,7224547284,0
2jZPzF4PUauu3KSUSMUmRJM9nXVAmLWgiQt4PZnxxu7w,411444471,0
2mUYwAmFufpiECJFCTfkW8mAfHu8RrhzGGTXWw8VvXqK,1033652136,0
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,84570746376,0
384CRQ6Jc1NCxUsdxzQZPjziJX8pgd4i2a9e8Ty8FVPT,668196423,0
3edao8Z75Pz4R2qsZvZQr1VJipobYWpFZnrLj3m8QJgx,4875803908,0
3hBqLWgFNGm8g4Wg7envifVNiTD1W7n61v21KAbmuKuP,103438909622,0
3jMMihfYpRBKKm7zqpBbnWTEMCL51afF4EMkbnCM5UPF,286120834894,0
4SsR8cjuaN5KHraBD4JkhY8YFvNawcoLSKE6q6Fq7TsK,6023979204,0
4f6fSUdFqAFg3Cc3ix3FJW5XPW2dyC5HiDfr8h1ChhkN,51719525085,0
4kPnz39Uuw977aSBquS2zBVQ82Wi4LTbpamfwyxbxyXw,500057197550,0
4tFGn5jfJdszQkRs7N6hwyuJ1q8RUHu7zepMX8xNKqBw,25291654315,0
4yZnkohAekrb2fgZUkiKZtLcBpRoZjwVrPpqFNTYuJUr,7848828399,0
5EiHrEn12kf1qZNcS7PJ6vn3B1gbj8zhuXUxVLTpjxTf,8901302989,0
5Kb2f6rkvUJYfwM5QmNMpg1eXsALTGd2NircJwfJDtZW,3100281489,0
5XLgehsRvFP2eoba7qqsoajSYoViAAPcqEE8oE63iQGp,103438909622,0
5g8sXCoSyckguLgTWLbXRANMkMTQaY3ixRn53Xo4QJB4,1569367312,0
5hTJvcH2h49QEp1cgjkwNMuwLxaXMNYKtgJn8aCKA1K4,50052454887,0
5xqnc5FHLL3nYWgutnjPcFEpjErCpn2VPGjmGrFrFB4h,51698085747,0
5yZSau4gFB5T6F7MeZoESG6MQZ8yieP251UkkNbCN1TJ,495576333220,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,51681776623,0
62ZUJ1oXj5sLBh3fCkXVPUAEKYbBdJm3mcd4WoH2nTSZ,1034405201,0
6ZU9k4b2vD3i8Soh55hrydqfp3uMk5qUWe2pMUPDFW57,12685539073,0
6bRfuN8iCEFVrxo2deMRJibmv5bXDjgo2R3QczENE6AP,5171917425,0
6cmZPEPPLKa1FXCgTtD7zvHAbUNw8Jm6ijmaxHwXMiSf,26519111115,0
76AGivqbKJWzsqSuaRRveUuzxLQMFXzMTioxPjtJsLxG,206858055,0
7Ax2LzHNS2UJvZWgxgiPptKCCrj1znmJSoprGgr9Y47G,10343041166,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,10027861494,0
7f5kNPryhFK5tCBtmQi6XtLQzskypJz2pXe1vyLB4jj6,22826728312,0
7ufvPM6AADgUtJE1NjEz5cykqVRLRdJ6kDea5hXUuLn8,126208221710,0
7wYK2PJb8rtP5PS4BJFVLNTQ3VxSTxw4pyFyY64AZWbn,251609838786,0
7zXdqhi4B6coG5mcGfpxdMXkobvYMG9QD9LUzPB38F9c,400284010075,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,1219858762,0
8JprKARijfbT2ubc6dtdhwTuMFLAHDN4xpsB4fdg6r9s,393796124,0
8VaGV7syhRwADYsDNGYNFfyamu7BtszyLse9Qt8RqAPy,11869,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,10335079349,0
8iZeqJgNjm9Wk1aL2FVHRkNLzEL7adWCyVbJmaLLJipZ,452299367,0
8jcReeobzBMUU8438EnTcBF5RPtFUQf1ArMpNmfKeggo,552567353,0
8oprn9vFamFUrXi5UpJQAYsQHj3P7HmUXd7ZmwP4ZEgm,25010428233,0
8rpRBCk9yBWZh1sPJHSWV5Rp5JirPUYXQjcRZkoAnGaj,16737264326,0
8tAdZBNKSDuU8pDc5NonRuezCCrbxXzpH8MskGXL9Wqw,13324000,0
9KLT2LHuhpxvGDHZzbNp89MLiMQRDzzqvkj6nfBP1rce,275941678288,0
9W4JCyuPCVD69GjVNMgBGZU8v6fzz9hkY3MapHMcLH7X,8275108303,0
9ZGmyzDdUUb56oDf5Eav9YR25K6MCk7cSTh59m3yfbcV,4137888797,0
9fHVYRN7NvWxSeM3wQnZBqQXs8o7FkkJrJEJF49bdo11,117920202298,0
A1jzoXJYiP1Wm7ax2G2Kx7fBh4S8bsg9rsv4vGQLom9U,103440930777,0
A7eoCUsG53ofUyZGEswmKbxS54URiPyHd3ogfgJzDa1t,3102858592,0
A9JG1YGVwEgqK3HBQFGwP9WNQmDCB14S3FbBAJPZDwDJ,1591694835,0
AJDaSQKFBPbWCZWsxa2owFE2R978QCFLvgw9AmZhrsZD,4440718,0
ALY4SrCxB2inSXtrLRvZyot9ffEkrqDLg2NgNBuSbAgC,1749969931,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,52600336158,0
AUnF6ELXb4cocurAVThcZT5KTEuQYmSjM3NZcTrkhmdY,16550655312,0
Ahg6AxCcAmR8qC3oJUyHMmZ3vGPdWmZnX92CJhRYMTd7,68986982,0
AiGg6asorwjda36aGa7LhYMvMFDsuaDg82adWXYEVAxE,3809783944,0
AkjvfXQSoSMYA9dAUB9UX79ED5WMv3We8qj38QB4nxcc,310322792334,0
ApAi49tFhpAxxYUAR21VH87vYGA16XqWGJSa5ExeGko1,14695,0
Ar1cfNi7jFbb1b8qWYUJooJ8iWkrcGRdRGXSGNhDbsqC,999999998,0
AsVPbye6XkTSmoWk6sCHQLw1zD2cVytKNfcurWNWxGeB,2237383884,0
B9vkth4Mf481prdYLfFzDBkrpusHHaz7GgHXZLuMLV6A,7347486903,0
BBsR2fCZiuHgfGF1Nu1fxS8TFokpUKyihq2u37ShRSmH,16991230479,0
BQVtceYjAMmDoY3xcAjXeBf4cAFzhNWLzkebd9FgMBdt,999999998,0
BzMAg1kMLYSXZ1YDFWPTcNSdSGjNFq2Qbaait8W9q3q6,2522293251,0
C3R8T3gdQXA11kHMu52axjupwAJq5uLiZs4uZpTbb9zN,602647066,0
C85eUnzQEkzcQ8KpvMaFW7UgPxi7tdvhbNij4ikhS6yF,142483138523,0
CBMo6CNbUT3qQvdgAGfJ1mzbafSLu6KQ4xYudgqu1fZx,39873542440,0
