pubkey,amount,locked_amount
2twhr435xVJ9863f8fyG2mbtgjPYu2bMQxd9bxa1aAcx,126516774,0
32MBYy9Mv1DiGseyr5g89TbHgFNw9H42N5z48HGVhcMR,16379539,0
3J4PFChKCURTtnTR1pYcSyFZfqqXxh859mfdsPBF1qS9,41894805,0
3gcY4evGE5CzgZKjbhVVuBHKZ8xaGSK8Ad3Gy1seMRve,44033680,0
4u59Fo5RcXBBtHraK42iuXXXTpjN9RhK9Rfhc1YyMqxV,51488057,0
4vygEhyhpe3n3jTeTZMpqRiw3fx5rKiphgR4SeVNR7ZY,8440678,0
55qtPnHUZPFM6yqKT9D6ScWvxFV1M4Kes53UiHvEv1Q6,253884126,0
56Sx6eMCStBWVgUXfKQtfcVg6e1ZDYAbWv3LVoEAnaJ,26575903,0
5P6wkMckGvfLpddi6nbPDjvUMs1U3CjjpbPatTCq18f8,19720075,0
5RaPDNNr6yA4MJyitJBpRaJQyW6roecdPSN9693FwHjh,5648322,0
5Xu19XQtsbe8Q7UJaLWYHBQuFiXapZEqvebMQAMQkZ6F,33141059,0
5xqnc5FHLL3nYWgutnjPcFEpjErCpn2VPGjmGrFrFB4h,210162495,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,1049998,0
6AEhqtzHXA598uJ2pU6XKeT4uT55JQqmSc2dgv1qyvNo,10000064,0
7P45T3FJNwNKjfa2LnD3yFerP1Tov4ycJdUCeJr4RskV,954873,0
7w2iW4bNbsBEDe38osXkFZw9JbptE2W1YYa9Jfwjk4tY,20161421,0
8rpRBCk9yBWZh1sPJHSWV5Rp5JirPUYXQjcRZkoAnGaj,69530455,0
9mjRVLwCSmr1KE2CYTWJP4W78Cbm5XM47YX1f7rWGjq6,2159879,0
AE91KmYtReAcpBEanzELJoM8uUQ6ew4xH4Nik64xfN9m,19880041,0
AUXNPGoNbvXKcgpkSvrQEhwoX3V5jm5ER2rJEMUWwwDN,77063686,0
Ahg6AxCcAmR8qC3oJUyHMmZ3vGPdWmZnX92CJhRYMTd7,1043761,0
AqyFGFv5bUVegnESUZjo4PCzYgxPZ9vgFhB9G41cCfsC,395423,0
BskVy7SkiNt3aQW13q6TFCmSNUzUcZpAujw8bTqNGUKs,1054306498,0
DRLTkt1PDfkSntPNa77vHGgY9opWTcZuFgAoJTLAHsNC,4217150,0
EAssdGusswdBfzdP3fmAjy5TsUfNogoij31b7ikKrkSq,105392945,0
EiNeew8mLH7x5CR4HFNhMRRuynyDbNfm7zzahpR6G8K2,2943661,0
F1xFQzzwyZbyrUbmQMTJ2HxZUQt1uLxjHwTFQ93JWPDY,12829998,0
FHsho3J8PsRN47y139HK2mvvcu1dxwumjUkifPwJ2bzr,22089204,0
FT9jM2b2bXFxyomqt1takvWMJGmmjyw7NT2e9EMRpfdm,5755417,0
FXhcbmZA2AZP9aNpXPzCZfLmxWaQdv2QoeAjhSP8Rnec,31569964,0
FdiWXBXShzLDZ14YSNYpbWKWuu9rvLrJCHTkrrmaSLSg,6217189,0
HPXF52uSy7oUisJiRtWuSgtrtZsz6yp7YzpBguoUMmM6,12021958,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,692626751,0
HXLAhowWSSJ8jMihQ6o4zaSxHZSDa42xLLymbkNstvHz,14629585,0
HiQSJni86AhhQ1QydmpAsWKvaxFXpfzZLnBqEH1A35oS,105084260,0
JA6jni8tUsczMavjwiRaJdEa2qiWAZZCDv9pGhRK5Qj2,2857103,0
