pubkey,amount,locked_amount
3gthc3EgHxfLf9LVeNro5eRYULUJV35kVaCY3U7vFPQV,3969211784,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,1437883245,0
5qHTNJ1XnifRTcC2YUChH2M3SotNdn4NCFFv2Yq2fP3m,1025569229,0
88Qw6NouaV9sVq6V3UarY9gzeqNUK8jeHjvBbkjGRtEV,5679718001,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,323044785,0
DeDpveoYqsq6KtRVK2aoPH662V5HWddQxL79DgreJvfA,102855817,0
F9PDZzRyeCXRFTRbPiqY2ZaypX2eoyKrftyB8ugpFokU,288141530487,0
FGY53eedyuUJUeNdW18V1b2rpDmnNa6eVsmjbCv7efAm,3442025995,0
GFAaV8r6aB8aYgD9MJnqgXPpJU1r19tH3hNKkmLjio1V,10127534993,0
Ws9ornf85JkfmiH6hGMZoHP7eG3ZzcFFJVzRYbMa7wn,10714251168,0
aQXciw6bKkqVnQ8vArbtiZhnsEcrprGjRjhtAcMWUBD,30139242737,0
arbJEWqPDYfgTFf3CdACQpZrk56tB6z7hPFc6K9KLUi,102856318,0
