pubkey,amount,locked_amount
32LHrEJCiPPqpzgkocWSRxWiRTzZEpmsasYgX3J2rbvw,751023230,0
5GTNszEwQ859Xcu3TrKHgMj72w2aaWprSytGn9YQWsXX,228144700760,0
61woCt84X8DiCJWJoDh69udjC2RXcWZ6PMvbSx1cSEGW,104246681185,0
62THyzeXv1SsWH8ChKr4d1amd6KzFNyzZcywjfJsEnEf,436402960329,0
AsVPbye6XkTSmoWk6sCHQLw1zD2cVytKNfcurWNWxGeB,531027091,0
D339PUapa7kxBLArE1YNsJ3APKt3HGANXpbZBTvJ5jHL,92328,0
DgyYWPUhCNbtwJSnaPh4Vmq7DdTcB5Qeffj9VjRv4UPJ,718033684671,0
DzajrBXdgR7gbDsPLqED6c8217bTQggqfFjD4gBBY1EJ,1380905671362,0
ESYV6TLrkR27EzWYJXzkDzCoiXStXaXhNp8BLcwE1jWN,29999999999,0
FGQVy5spHBtX8J1phSpHAQaCvwHRckqS4chsETX8gNqQ,629168923618,0
FK8uuebmda7M3oHYQi6SvaACto69g7WN9Y1pcBxVGmBV,59401269563,0
FTnUe6TmX6DXdGvwageikrru8kJRFBogg14PpKBNtnWj,177270,0
FdhydxvQZfnev3ib8PjZhC5nXW18iWwPbDnwiTDQ71Jv,35492913162,0
HKChfUdYTZ8Eazykd7Tc6yh8NiUfLJUwgjhUkEqdVP4k,48954138955,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,2696860090455,0
