pubkey,amount,locked_amount
12B19DBXiE29QxmhUM7FM4BgChwSEwx1UrEh7KcjDMdG,100999767,0
12USTvzdhp6m3Af2i3KSdamfD5t3ySpnYgC7ZsBBRF2K,106616153,0
12dvBCcDAzmtepLufvE6Zm2STxvZAHCJrXvTa5LoLzKW,50543664,0
12fECHYPMe3zD7XxKA4Ar6VyULMWbEL6iFaFVBfiMCvT,3001680192,0
12gpHWfYjri8jy7AuueLZB5Lvhn7dRJcqCP4QwLysQM2,64640478096,0
13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,1456658160,0
13Ew2T4DMHijfbGkLV3VfLzSrwpzWg7KEiVkSFAtFSRN,4183041785,0
13XrnP3E9LVvE7DQh8kBgfmFis7fJre6uTFZbWMZ2rqg,1026910899,0
13iMPyBd711TckUf7gZha3AA8mjssSeWxx42RUFBAfKL,1545017,0
14Q7fDHHgDCDiXx8DowKmdZYgpA2kxwv71rwMgonJuKn,79771674,0
14XfGsj2Yb5to43Gj87Csm9j8yrUqKf57McdPRSWD86N,512996492,0
14gW7RCMSdLWqZQHmzCXR1nKu17XfkWsmhm6aKgsKggj,13077415,0
18SyanC6pMZrVUR7k4RLHyv54BDV9dnCSFDgrwdiLMs,6262635190,0
19e6L1YhCDTtbp5mZFpMm1qY95aSNbtEi3S2BE5r83n,783208455,0
1H5Ld3mRhzTeFzLtPdzoyMvw27qXtPtZUkKytkgQr1j,7066680,0
1J42ZRiY7CdZ57QwuhPfRXb99fyNhnYoBtYqGuB8PRe,1009836,0
1NDaVqzx8oCV1L5zXzBJEaeLaeVWkCiA8Q5wupYW3hS,502433823,0
1RSEJhoNZQjeAcNgLKZ2z863L7a6Vwzd9kUaedp5BTM,12065014,0
1VkYvKE3kUQscAcYEjnnH9W8vacTbXrPVxjzdqC2YAT,864100033,0
1fMHgU5XA7xM821ay8rLbJtppQPy9xrjsvtfYYu2qa3,92028513,0
1ucYHAGrBbi1PaecC4Ptq5ocZLWGLBmbGWysoDGNB1N,1353948175,0
219bJp6HcKF2EBC6x4iXByBYqN965H3Ron8v24pYM6Gi,100998777,0
21JX73HdnoW6eBkbV3LdEu8SxH15sBbHckM5RkWmmrgJ,163379455,0
21rQkoKRmp2Xd7vUK9qYCXr9kZXpH34c3JPCqZjCjzLW,28620503,0
227VNhL1QG5M9QLq9THEztimQxHmzqVyNdwGyrQEDYHH,242439638,0
22Hf3HVpvnrKrrmQscDQPuStykxcBi8qqdEcg2X3zhkw,168741,0
22xnnytfFScGCWnLuTXmEWHJkBcc3gMw1M3MbHrNGD9n,167097886,0
236jJUZfrRsTipxSygKWYtfoyULxMhse4koCFawqPVXJ,1329683209,0
23Fsr76mXyCf3L2qTUQnXnLN9B3t2WPurNezGLugvZ3K,298275516,0
23M8CE668ycdkSTfPgrVhNC44RYxgG4GRdXEPUBW5FmE,429887599,0
23hzsaAWgVt6ohrWPrUq6vp3P3uTw6Q4Y9PK5gZaMLk2,15108109,0
23sn942p43uMgpbtX8LryJBGXjiQ81i45EjHehdhD2Y2,251467852,0
245VijJoh5c6h1N7QGE2HzxG1hR5gr8BKxbpLUrxTkqa,823556102,0
24CfTy2J1JRQQGd17pooAzcpRWB5pkrEMyWXcwvxia75,10190839864,0
24irVqTCXdcumbZ2cLDYm5oEpwPydM6CoE5iT4WQuK5S,643696753,0
24y6Hi2nUCjAP7Lzxm1kqMjA2UfUMMosKkETxJeqMcWT,28414315133,0
25Gy53HbLaSHbQs6d6irPqxpwterWGdy3cn3Ydd8UpbX,4526567629,0
25a8CYDWyknT2Uyvi7dLFn4HFZVSD1KWvcHsbjeYaECp,201228276,0
25jWQaE88nw2vcpia6CNLog1Cr6CpZuHkkRLHvNTMWhx,1016578171,0
25wApTEUwtoYm3ninGdqC5pWAfPNe8hpVmRQrzXTQjkJ,692749320,0
26SGNiwc6nDvb2MxFWPqyURaxNRNdtyw7nbAXMjC1SRJ,40393117,0
26YWuCMLfs9xcE5mvYL8ZbJ8v5tpSPd8nvTY53QpLCzZ,20499678,0
26b6Q2XErPd3d84KFexzAUyZfPEFJzJsQZxrAoKQx7pc,1000380239,0
26erEyiCwVCMyG1hA7Wn5WvPaedxqJixrybua6iVB7BC,50006137899,0
26rpm1GaCskfwPQEeAjvtdgTkTdoCJyUBC5UdikP11fS,1797941171,0
272AvtrjHscqMNpz8mArpZ6awA9mCbQGxWeqGhNeaEjA,163,0
27WrUeZVQvg5aKK5Xw8X395cnUBPupdmPf1NLmhZye11,708,0
27oP6x31V764pLQXqoQRJFDub2u3XrhSRG1XYe2zkFfX,201967704,0
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,115101094,0
27u1Cnvfw5fYbYrbLisZ1KR6wkBFV52fKVSVoKYLK1ni,62044264,0
27uFwaUQmx9pnDrWveULLZjuPwetDbbGDkD8jWZo9mNt,249444377,0
282UzmjNPZBEvtwwf1YTghLzALUwNbrYnKWNXLJQ65S4,50179290,0
28HchcyggHvqFqszxcnHtFraEFR41CgYpv3nXKmAUjWS,12853048,0
28inm61Zv1t7Sn5NAbrM2dbaWo5UwfYmYCV9k2Cgo5Uq,9794398821,0
28k7eFtZ8fUh7aTCN54EYTT1G2egBCukaTEzfL4qj29W,2867812,0
28oSSRacjogqeZBJNSjuN27mPvj5TGwKHaaLRfYLKKdQ,9495,0
29JVska5UEG3axs63EmtHpPvkswNEqYpZ3PKMSfupiAG,1652324208,0
29PgQbCo4WauXeto1NvaXUe2Kh3HPUNXgpNRssV9sPXt,53017200,0
29SinSkCGyFRFWTD3nBTmAMeogFGDT2d5e8p3W1imzKj,272657917,0
29d1Gad1cAiqhmKzUhSzbNeQoXSAdw59M1gzvuCyJYsH,7038870,0
29vphhSYhtoKsan3cZnUbWGABfEWDNn9xzXVqG2uszGe,19137629,0
2A5YxL1QhN3dvf3geLxN2fqB2TtGhvHSY6AHYgVHYBwV,20127982,0
2A6qaBMgaxvVUtiaYSKVoxdh7HHHtk6aBN9UJs4UVRV7,578273272,0
2AAmpmyKkRp5td3gSdhqSMxiuaVPHK2MBQCBw4Va7wx8,241571305,0
2APFLAs3dpkTfxYF9mgDcGL1GLtTWwPQvsm1sAoEc4nP,1418986,0
2AvVTeJ2iSt2GK4XR5ofAPqQFNGYD9WVoSfbZ52FMbWm,16961618,0
2BEeoZwFGqXwdfWNRSwcXcZpRLD15sU3Ejtxx3sqtqSM,268718478,0
2BEn8YydXsu5mwo6ZXBABf52uovTg6k5rTKXUGZfuz8t,1439542316,0
2BL6EiXiiewWH2pwEU3Q7QPqeQyUuUrw97UJd6S88hVM,188598954,0
2BPrZabVLpUipHM5XSVzRTGRvSXR1z6h9dnLXTMF12r6,4209144905,0
2BejS5hPmmG3wmNjXhNgcWvNHYnFq5rVNXMMLCoenq6L,272696689,0
2Cweekh3nTFgsFetJU3CdfPfqcq2JyNNQ21jAqxhyDdv,50701988,0
2DPrUJrXVjpwgNzBaMDmCRAjQuGguxt8kaXQ8kVDjU3T,115598032,0
