pubkey,amount,locked_amount
3Hq43uAkPu527M128JaRXm9v2GR5AYtxfy8fpN7XXNHc,7219631934,0
5fYavm77SzHALCKK3aS3G5E78upPPXEFvGg444hbbV2n,6712462466,0
5gP2dyysCsdtb9ba5hxTWfGDC8Q8iqEHmXDJCcRNRNeP,998125158,0
6BY9H6UynTsbH5ok7uzUdm69sQGdWeGzKXzrjXsjG7i6,3105880155,0
6KPgHtxtufqkQRrKrv46UWYh94KLHJwSQ2tYETMH3T49,1097943157,0
7wYK2PJb8rtP5PS4BJFVLNTQ3VxSTxw4pyFyY64AZWbn,100771107186,0
8HaVEnu5A2Q8agUoDhggPFs3iBZDMiGri2isB2GpmvNX,15690,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,57552,0
8JQnXgdkJSknoQyM8NKCpXwJP2P6XexMg1LVf9XBqffj,87787663,0
8kVVNq4zroXc4ry1AWxpgCiCc6gSHwoteWaX6iZriQJM,15373637,0
9PfxNp4J8dVtaHSKrs247pLBRVZtoRzrHZt8Ky5QwrMW,8043826896,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,27855111636,0
AwPyamHhYrz1RrBmEBuzLwscJMYzEmKVR5Lm8dZEw4E8,391467974,0
BQVsRB9iss6563BieMtq7Tt2cccf9s5iZM7cirq1CXbf,316265376,0
CcCoTKXg6jv6o8zK4Ao8cYF5d6LUZaXwPX4Kh43KVeB5,8760834281,0
D8nNyyE2BUUAdjjkKFqCWUeAA39uHfiEg6tyFnHDWDJm,1403530847,0
DK7GX9xhc3UEVdiNRRDAYvq1n2YSqbMsjESaqACMPgKR,711324622,0
DadrDEN7P9oEHjbCXHna9LErU3cQMWDGJdyDj6ZryZJ,183867043,0
ELZYoPQj2gEXPGoNNZyTjQpQgixo8zW2RHayXHnRe6hi,50744894331,0
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,413571413,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,1129730785,0
FKCJsKv7y7hwSEGmGFw7bct4EGgSjSykJBWeMUDouvg6,9530140,0
FrjXYwbYiEoeXFdK3c8WJXuuVFHGJ9dUUfC9oMhuamg3,2194605074,0
HhHRFBq4gWFbtVBw5sstPkxRE5q49uBtiS74MVuYLMuy,474051830,0
HqXrmRjKt6pfd61R3K6JHrSr89cFut5kjubBvSQoRPCM,16869131,0
dgsGPsRvXu9zEqK3hu5Ed5GMLpuacR6kDCpcqcK4oqa,8928853,0
yDnqeLCYPpqkXNBserDKr7yMhSfenAfVNA9rL4m4Tx7,53320987,0
