pubkey,amount,locked_amount
27paKTFJ8D9V7wa51RZZXwESn4Xvc1nLdwdAZC5tifZK,256602357,0
2NCv5vq8KDH32w8uCpHvWKbBcSaQaoqVHfSznhNJmWSi,924614,0
37Zh3jyTwKQkmWBqpKd3AVv2gT1857LWp2qspKBeDUhe,599863697,0
38Bf3XEzoj5v4ziBy1sWn2P8EaY3LEgZ8RXZP4HYW7Gp,388958334,0
38y98Cu28Mq59wzRmw9EHboXkeJk7tbhuPWBcCvW1vfF,101444012,0
3UDqev3ufSnSwoH6Ep2RoZVs5WZ5fi2xS1uwVYu46fmV,69317584,0
3tQWxPqzneRViww8Zu16TEGVjP5JiZKoF2EMwFUpGJXh,71147310,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,385682337,0
4DcbgnU1CZUg9sPiCTdgToCo9geW1v9xFRaDuWz2aTYh,58410367,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,6083514073,0
4SMKPjjwaxn32fpWmbk4o1VdSk4D4MY1CWCieuqsjbgM,188833061,0
4dVmFczTw2ekRtGNecCKGwvn3Krm4LQFz1kE7tfBN7LU,60784346,0
4wvkCHoNFZPKQtKbJKwhgA6EN5La7knEJvkJPTXyStY8,819463516,0
5e4CUjXXpmrLgnEiKM4igY3HabLuf9myNCcd1dcCZdwg,43494216,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,1033118269,0
6ZR5SRsJMcfmWsCR7Zn9KAzFAtJsL77BGPuGBWAd8rvp,31846633,0
6cqkCfKZgugqurMS9HP9ZUziJnSJDAPn1Hb9n7cro3Bw,89563950,0
7HN1x8sAWbQmrM4zTvVHruyAdw2BtSFBznhCP7J5RoFe,166716623,0
7f2TS8TvgSAwDcetUYaEzwzwDVLZ3WfEF6UdNuvgueXz,18909737,0
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,2330304,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,52342062,0
99CcrGEtnjfNsDMZX1bAqk2RLtVe7x45YxrMFjRq6cXz,1935341,0
9baehXJBgJxe2cKe2aR79sAkzfGCcUqQALmBSbThFwqU,559409158,0
9g5K7TunhbwkAVhfTrWKBqeZak7Jm3wHvGUKMZytyeBC,171773177,0
AmuT2mmKDXGZohtcTj7z3LXyDSJTS2RAzogFq4vNFRmv,1252727378,0
B51LKtaY1pWYvrcgZmv3wqUEuwNENqXjfHN7ZBJsKro9,36707374,0
BHhUwLe51kgTtMDnRqYGHr5FwzWG39GvtGdaf3meAa4s,6581870,0
CMfVEqoDTyir7RVMcqtEeAgbQLVBjTEttgzsMWmzqZ3S,106416293,0
DPsEGSQrnHteWztueTfDC8ZdWWYNytKa5uytkRGjuUoZ,1008359731,0
DQEF1tRhgpDC2kLmRMwbMHSdHDELzLA9R4WsME1nB5ZT,4893701533,0
EWgsrscmbKCPK3sewX9aEb2W4mPZvamnanvRftFL2qMy,13704005,0
EYKg2jrG9rJ3MGxmVQUjb2JcwzRX1tAyWF87gBuu9EoA,115229517,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,6767535462,0
FG5kaJBqKzfiEFgm6UCRxdBGM39xaZE9c4ULxNEGAXSX,1176942727,0
FSMWjTafsTPZ3c1QWTuHhe7oZiuUPf4XcLrwwnwBgpue,10424741667,0
FYmoBSEWVCHg98hxQUxCWJFnctaCEVaZEWzjdnFpDuGz,973211427,0
FbBk3jqf3jKYNWceDo2pSxf8FA2VqzptQgLuaEw5Yzcw,177806587,0
G2kPqMkmTBUuDNjDGzunYEaWfh6tuF7MXHCv9iT2PYdF,7477364710,0
GZdqBRvt7Pgem6cLpVbgfHksvk3UEDkuXX4pjHLAiHct,50031216,0
HCt6e8joXHbc3q42xGjJtfDMve2DvL3EBAsfTUZuwZ7M,3457492183,0
HtK26RMtQUPDs1oB36AVa6DBLRzCbttnZ9LhoXpEWSaU,27287712,0
bgrfDSgMajwTvVXVw4xhAfUeMufuupREK6maYqHyzq2,69097505575,0
xGyptrUjv1o9zTmwGDGfdD2Ds7cGPzHicCVij7nZSFk,46096971,0
