pubkey,amount,locked_amount
1Rc4YB7eR6UKNfRdmPMtntCFHxcrS3zo6wMJiHP9Mpi,1063650761,0
228Uk45fvzAQJgosZWGVGHykSSGfdPgPgJ8B3RWMP1c9,300799800,0
22vLYpxKfcGMMBWhFnXJEncnY1KJrkf1w9ZDS37cB485,204428347,0
26EMTUBdWGWg12a4tVc719NSQkoSNUmSZdJBpBCSbR6b,137816478,0
29JVska5UEG3axs63EmtHpPvkswNEqYpZ3PKMSfupiAG,30699826,0
2CMoyCqHPEjto7Ck6UjF7gawjFF3Jcvbn7UPCW8epuK6,285238244,0
2GAerNcM1keVKNXYXUFuM2xvkd7DVNDbxSYTXRWutHe8,306158733,0
2Heb9j6xVZ9TxterBUvmum1KFRFboPNfGpY3cyyLjJuP,113915464,0
2QV34PBFCeBfNFNVWQGFc181aLHxA7Gyf5MGZWvQW1Yo,5295921057,0
2SA6EogkFpuF1C4AJkssNb3BsS64rBJH1gAPPrM81ijv,51044560,0
2Ta3Jg2PHuBM5Ps4auh8yturE7C8KuTVyXs24nbvq9bm,10205372,0
2WEPoHdXdMzQhQui4KiXfqbfBpkiKUbdWrdMg4m4A5Zg,86113430,0
2WyGMJZDGkqmkkCxf6mSDwi9aKNF59qPZz7t7bU3s5LJ,10221456,0
2XDJ8eBMqWdM62AEpLJSEE1cU8s7xmgbaogCL1BFkrkr,220286575,0
2XfsrxBRu88YnkoK4NFMwqW3vEZprn2A5xgmZGUe8CAF,11222878,0
2XrQMwaKUp4hdMbkpaqkm22tMRTyfYtKhsuWoxM43fKy,304824929,0
2YpM8Xuap6CKBm7KGdCLQBz7FKTndNLsXPGhpkkL27eP,22795621,0
2apNqtbEx3RcvBYaD3oXUkeukj4MwhjQ6uY4gmqo8T8p,12990757,0
2krN2MfH3BtRtnBse9KAMxCXGC7W5c1NTJ61pjDmpCrn,2664245,0
2nCne7PtP29YvAsGNRDiWNmPtwi6sSsAc1ExvEU64ixm,32243879,0
2nrVhfhypP7gK9Qt37HWMYXvBMJSZLETzY5F5syzkPAe,277026214,0
2qkvA67Xa4cfBVLx7UTHABQkfSJNHs1QXBSFxh9QbpvP,204250473,0
2rcNdSRuccBsDCtAqPUokr1B8EUhcVNTtR3gssc7Hmt2,62078096,0
2rdEdo1S2ZSjLQuW7iN7TR9VhYaTVn2waB3hEtDUdd5m,56711650,0
2wVhSGqx9y5bVecbVdUqN1qGburwKL4aTbgXLJgzbUgP,26969637,0
2xKqSB5fG8symCwMbKq7ibPr8Keh96uLV1ScJwR61Dm7,1001864127,0
2xfnxW44B7tHmW1NkeAeQmLFWvpByTH54ZHxB8crJ5yw,296580404,0
335XDPydLVirer8LYCKcMLLdbiJyQ43KxbvAuWDqhah1,102273862,0
34Wmv58UF8HUmjdcWdCZVU9o7h8N5h2fTozqRwh9mucM,2028121738,0
35vvVc51riknB2w3HiSfcxdhHvGyWe9xVzWvpKu6n5D7,85676260,0
3DK9hBLfCEHgjLmUAEkSrPzNKs5kR3xZsM9Wvb7KXsRp,302519664,0
3GJWiqYfx9QJLv6R3T8AAwFmEMywWk1FQWYLhLVHmZVr,1022170397,0
3H3CJFbpfurqdCK28SKrTsxxnx1DiDLMGHjGyjTZjxyi,1022202758,0
3NmEV5VEmmmcfRK18FRzmx7GgdW6nC2XuC1msJurJRWb,84065101492,0
3QM5HitTh6VPAvk5o8FChhdJ4JmN3jke7GkUMysyodG8,8824896,0
3RFtDbbmhcWGiiyhbMLL4FnijA2Hm5jSqQjcjZH8v22k,1637594150,0
3RQh3uCyuKjDYjuG3YdHfufHocFzpzDJQywyek3wMijH,1022190459,0
3UgVZMSsRdh6MKKpmL7hvEateWjJ7UqqFPRQ35qchueJ,3572129922,0
3VWe9iuJTsZpowriWgzTrAtLH2THhrr9SHq987kuYJtQ,47715708,0
3cGTwizfX727KqYsXSmAiBthtW1b8aiHFwqTpgVRj3yo,221501243,0
3cXgaDRBqsYbv9kLvWrBA7fgrKU7K9HeWCSambA6Z11u,444634218,0
3eHTkbuWF41gWxdmqdrqrKSrPRGpitpSdHBbtWdv9owc,28640010081,0
3miVFPCkG97VdMuvgr2b3fPuVb8Yk3yj5vqs1GsejK9f,974243742,0
3pJUdW12GopBiCbexohsQAiJrsdo7QoDZxrEQZ93u8hJ,3968336138,0
3qW7GTAJNFtfGhG2APLPYq7kxSuWaatZ6X8AN5Je9pBx,1701100776,0
3sFDKYCFkWHwfVWzkWj7RL3poZtgWDqJmgPny2DVcV87,76909,0
3uHd43RX31Q6akDXv3Htjg5V749At3Hr7jkzxS7brvxj,1022219086,0
3ugJJmd8P5c3jynpvwULmJytSaUtdJ3Jo46z8Qj5g4Ev,746320383,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,368790409,0
3xmwyGh8SnMwKoiKoQ8aLCyh7GSbmmgtVSTaB3cJH6WY,26535500122,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,2014865608,0
46mejJSBn4BoUXmxePtihsizxM9D7AE8ZhVxGkm5pkY8,1022199606,0
47YFgBWhrEeZydPNVngcfGv5X1NWj85DcTA6JoV636pu,8955907118,0
48LNjsJ18717qHB31VZ7xC4HRZkHbEivAPBDKvvMxwCd,81628513,0
4BZr6hdeAy6JXCjtT21FD7f1D9WWMsgr98FZmXWGhdMF,50088324,0
4BkgCo59T7NkQfmoWvgVKH1knGNh9Rqr1Cm4WTYuupBp,10000221,0
4C3s7d213zXVtsPqptFcurFhB3efTAYYmYUdVBv7v2CF,54978546,0
4GXLvMHu6Uy5mvhHKYfxyKx4oye5PDfHd99xTWvc25us,177199129,0
4Gazx94QcJmGPXGF2Lxcu9aXjvEPch4AJEDT9j79P56P,8863227377,0
4K1WpajCAQxvSbC2ToaF9A7wHbNeoynsQ9WNPnP6cMW2,30666078,0
4MciB2RguZxeS2y1dvuzKHyUCCuMCFhfWCxzQcunoTur,477015845,0
4P8v1nQ74ermyrh87VfriKjop7HbVDkADvzW28WeMkuY,314943578,0
4SMKPjjwaxn32fpWmbk4o1VdSk4D4MY1CWCieuqsjbgM,1365762873,0
4TtjeXB3p4VXBq3rRJ2W9HncYGCr1R5e8VLiMczaGswt,137522017,0
4WuU8rWnWg8maHNCBEocKKUa2WzbAKp9MxNgitnzDkR2,62325687,0
4XzvmBr6EeXKSMESfqzUoy95z3KNhYvs6Prr11niJ1FD,884182257,0
4aFwDwaVU5QQDWGLJrza5htqTBxhuQzwx6ZP77jbYyXR,51044551,0
4cbZTdXojcxiX2cy28ggHiAiqWxY2Eh8SHXBAS7onsDn,42893243,0
4cmWJ7AX5AFSGJvcFBwTwGYZxN7GMAA5CcBT75w4f1Xt,259402893,0
4fgQmht66M5rrTBKsBoRnXTRwNwrjd3F8JYFNfLtoGJG,20415473,0
4izrnELDXK2EoNt4cdRBwo85sxPgsf1do9kbkky4fTJM,221236162,0
4tFGn5jfJdszQkRs7N6hwyuJ1q8RUHu7zepMX8xNKqBw,1020589845,0
4tFK69WFKtKEwk1wje32aGrR5vFXosZfg1mBL9xcA5GM,50088324,0
4u1XkRxFPj6UC6CoVcbN9CPGmVyoezLqrh8t2std3QTM,1392325118,0
4vyQD9B2yhRtS1Jioaeg3bjVbQ4yt9SmN9fU4voiu9xz,53415002,0
4xuzqCDTqHDdGNRyc5TQxgz6Xf3Y9VVPr42KgrbErm4d,11244003,0
4yBmiiSXEPPPVLwWTVXaWHSMmKmcJZYy1owNDBxcT9oZ,195392258,0
55kiUsPThmUrLLzM2AqYypR9QUtopeECrNtKPcDKGtWP,300379054,0
55uWerLseeMsL7Gmq9b4EcaSdK8gJS1JgNgnCwHpvFSf,86934407,0
5BqgAcvEM9oap1M241WELBgwpHswM58K6Scwm8g8ZyC3,1764203788,0
5D5ibnQ5gaXJjLgB93pABP411L1P5mSijoJp4W7RmW1i,76736271,0
5FTNyLtrXPG3hyhJXZ8a2YPn6Xhrxg19MYnKfWWtJiLf,598147069,0
5FrLajMefNrQDp6BTfLH6Qf72f2dVzMkbZgBnZASdFzS,8359961,0
5LyqK5ZjZuxKaQDoGLpmDjRDAiRfWLhFiM1WXNvgMBAG,100009435,0
5PzxrrYqj1vdbRFtyXayq6QyRtSEfDKAm8QQ8cktC7w1,152908920,0
5XZKutXdQzRvokKrsjZEKqq8ZmKDGft7gWAXJrXsXiFx,42114664,0
5YDqeYDNS78LespkcQzmNPrvtTeXhtzWYop2E8DctoAS,90172374,0
5eCeskCwSRbK6G7WjLCRDwXUNjydf688JaUqgdtHgnS,20512726,0
5k7xQdbQxTiroYqhWysofgnBbQCK6bLLKihpUJTbzeM5,102072126,0
5kidf7Ez3BRv8P5eJDWgEiNt1cyxRWMyuuSjLrGmHUMS,510177657,0
5mRr4MLjqg38cZyeYzYiVLCfjLUc3fdqsGLFKVPPoCN,28321045,0
5nHp5KjkbyEpHr3TGBSUZQgZZdCa1CNc6FhqfJMNQGHU,2042563402,0
5qy41nhuksR6UonZE6wy2kzengd7tYfd2RqsjebqTU8S,51044557,0
5vAfKFicsDW7VxNAuKHihyHSwA1x9fgMAP3PUPDnobZn,708515435,0
5wAEXS8zqAfVbbQacExdRARrb7UTMSFqCVWUH8CS1Sav,51044551,0
5ywMTpCw7RKEuLLQ9oxCiuMeSoiZgHEe3Cni2QmgaMdD,338364677,0
63HzbSEe8WDCX8QmXU1UgYdRZXpAvn4uajQB4irHWEx7,221066519,0
63TmWMcjXdW3ppXrGNhSJxx5RX9wZXzL5eYkzLajhnF6,104713395,0
641Kp5HLEX9NSde62dYgt8J7chHsrotMazsjejw7J2ht,511095873,0
648omX1L2ePwk3i5vaHGwY4ZFNrD8urMzHiv8A7S6UPr,1022145332,0
64yBuwWXHRuYBWttXbZmwLBRHopizmNx5qF9x8SvPkcZ,721604331,0
69FjgDNbpBogicEyHRB1DZUwCQhZ5UQP3aU8Gw5pu16o,88562735,0
6DWDfMh4Qp7kxPqaxjkihzJhB25T4cBJT9nPQEtqPqAn,866408970,0
6DnEj1qvaQPqGV32YdNui7g8k9zGHcWExir8pmekCWdF,1022168404,0
6EQhMZNaDM8oFGLotqrMGztfTHqppyuScF4znnghS7Kk,20680071,0
6FieSgH5R1N5sxEYo1rBryJuTp93qwuBcCrHyPE3vo94,3143337140,0
6N9CN4ZrM9mAVo9VdZPjfqh41u5o8E4MWAYhzDjeRmRa,341170763,0
6NNfV57HE8aR8V2BdEK9cz3A7GRwn9ccXJAqWFBwr9sM,51044560,0
6NQsdEcfx4YVByBpkBUKiKEYPveXs9UoBwtMod1yQ9Bs,46557,0
6P2TxTZm2qErmfSZy1eJu7PzbYQhPzWpDTiTbUaRcMJ7,10208908,0
6UPCWrsKE8rH5F6Uza5taknWNhiRH6CnCUBoQR1SnUth,500027566,0
6VFNL1pyefV6ynDmKi46pVNW9b8PjDdTo6KXCJ3ruzU7,7986651231,0
6WAcNLMzCs33N47t3AgkWXdppcWupYBN6RAxC77t8ZD8,52666575,0
6a4YBD3GgurvGppUnnAHJzWszTXrPNk19hkQDanA9cJi,1020737105,0
6bjkBsxTgkjn9bDfbgLhSEo7GAJDNGXjen7z67RV4kZE,501067415,0
6cBiMRTmbuYoHZ1fe5RWXKh2dfKntAArWV3XBekpgS5u,53667100,0
6dmrDAHcyVdLqWttfW5PuwYvM9yuGo4TQnR9L7MFGUhf,102065226,0
6hajvGx8PpjNhrPSZhkGczyxhKPZA7xSxYeAmibLc8Za,2044428872,0
6mQtWiEydFZZFrrKKaKvvMPrdiUzXQE8NxCvqgziiw3D,300310761,0
6nQg4HcofmBYqWDH3YH96ZSWxmdz1HaZYSXAkhACoE31,75118086,0
6q2FsNbtsBcvcoxQ5s2ahDaf4sPQgUs9skzMKfCYEiPT,217159511,0
6qM5A2umBUjGivXjmwmq5GpFKd7tXhM7Jz7Mi15wB6Eu,620137059,0
6reMW94fQzizpkpj844HWGFtK5fYA7hA4pTCzJveVDrh,510828768,0
6sdtRV4XGrvGj9yGYHEzHfpenE7reVbZYt4ThqzVSKo8,5110878867,0
6sppXLUwPW5d4cNV4hbLftcU8VF8KzXAKtN74f5ZDfyQ,458124250,0
6vFrXHiknjCT9y7DmZfGmc3ChH1o5yq34hXgxPuU7n1w,15226704,0
6xAY3rwZjUNxCoNzM5Z4uWsAjfiLt6kAebWChsdfdTrH,577778583,0
72kUGHJ25xkiWpEG5ecLvYqop8qN5ZHutjbvD5TqdNFe,1052282496,0
74Gc9jRHpyfpxtumBs5BXv1cATbmWcYcFm7uutcW76vk,2799968,0
75RwqCt2pRQNioCXUVeTrvegVFdvH77WkwtCayNcLk25,306644055,0
7BHJki3Dm89kgU5mBvhHRG3Cs5CMBejRBaizZYzJiw2u,999999997,0
7ELtBTvPDNNkQfaTfWpninrN8TrSHzTHfKnqPERKykbF,379727103,0
7EoWYvFVJyTMWEgjN11jugCJZbABzPJbmk9AbgqaPhmC,105004967,0
7F7c1bSkzCT26ThaVcePSjW97UgjwpR84AHrW4mge5P8,10209266605,0
7GzkHqhTJ9JV5YWFsffhBUbzpYqMuE6jFcUavikXhsai,1232631,0
7HW5etMS4xin1Cz3DXZxBAyjuJbMJASXHaWmduqm1nF2,5039675256,0
7LB2Q4ZXaVkcSbDbKAPwSN5UDpZ3svBatpCCsJj9MqRz,50088324,0
7NryYdBCWTw7VDj9QMQ5Y2yMtZRydDtxruiPprrs2UCL,1327937333,0
7PmiLxZiCG659EpSdinuYpzY5BRjdPfjmHfhf5pEqQB4,7017586666,0
7U9fpM3sZRFF41QBqvCzMRdBKpYA6jdUH7WW4B78xivM,326622393,0
7WNfFoDfscKaubrroBkqfXTBzTi5mzBFB41z7nDMt38t,886332459,0
7XmqcnZnVvGZJqXQTMHa2H3RwCWRGYiuDkY9Pz2LwG8M,10222545,0
7Y35rko2uvgYNLsEykdio9tTQ5uas5kGh7rNzTqKCFH3,1022237920,0
7YkF4iEYXoLzT6tNJT6LTCmzzVUMKgYAT5cBedWJxKAN,204559235,0
7a5jNJSjtXch6afVYRCuiAgWDarn2AuZram7y8VEUrBd,1020892277,0
7bDKmVx74K5fRdVgmxES8qzxR6tKVdcw9dUKZ2asZz6y,1096435351,0
7e6dStpLTRbqGVY1ywvNRDeaJrhJbVZ8ynFBjkvyM4rc,25056989429,0
7g1cRRTuk4bTiZbT7igTMsLTf5QF43sFHrzL7syhCPg2,884913325,0
7jSC1BwdxAX658gzSs1msaoocg9q3vvEg7WgvJ5WcAQU,647024251,0
7oAsBYpdnSdhTnUW7wCqZYKwbVry4wFGvacuD9cdaHGF,463609880,0
7p3JTdshx1croZLh66KYdfXcizpWXend8P3dw6tyxJGN,4054160445,0
7qGt6ome7n2FPt9wyhqBQ3HMVzm2bF7G7JMKGgD8YrL4,304140632,0
7qZVZcyuhz5FStAZwLeuQTvXpD9p2KnJwZMg7v3GYRwc,132464976,0
7rxDMDgptSCtbJGoDNj2cujip2CwNKiYeWs78ARKzu7z,7052,0
7t86dsXx7h8RRPyiBXqY7GwXcGaRNNAm9bDdcioYirAd,51044551,0
7uMoVzXxDin1ofdywhUK3wHPucF7AkLWYsfLa5bsLev1,1071382611,0
7vYvtDfYcsvgZfN7tsfdHRaUBqbjDpEZfNyPBwB6vC2w,235136713,0
7whwFKyPxdHBkvT6ChttFgV1jnpnVedF4AzTscfGXLkP,1250930379,0
7z8yzrXSzyMkmbcbAo3uy1tLcZDsTdwwF327Ty4PY7PM,887327121,0
89AHmtKRwAJe7nsWXAA3ftKDPgVQ254Pbire4WYVoJPH,886008595,0
8CQ3bt9pUinLRSQgrjqANQZ1tbgQk5ok2ZVhDm4pTytj,250310810,0
8F1b6oLG6af1DE2S94efCiUNpnq4XWsLPUVMMp5XPeKY,16206129,0
8FdC6wkxS1jQ2xNudoQ51sf3TPvdqKxHvKMyhVweuEcW,3000102349,0
8JhtgxzZsSJTVMFY1MNpByLTPGpWGtjagee4DS3U64wd,102214470,0
8LL4jay9gqdFiDKFs3gcxRVQhZjQjtiehimEBVsjzwHK,1030495892,0
8NtWNm4qSRkdLEg1TnYc9bo7Nudpvkj6ZuuMinBKei7i,1022202758,0
8NufxpKSGZC33hPLpuqr6R1TwXZmJ4kQxuvfHNaEYawX,402625722,0
8Nw5KznFaPNQHcsBH76xAHHPbC1AF2qTavYS6h6vVm8S,51024727,0
8S1nGiYf95xfB9pYjbzptnQpVfnouvzefhDNE9NaD6ej,437567508,0
8USYGimViBESwqwhvnVP82DXW41WB7MWdVQxCCxzaAVz,1020991610,0
8VWf9VxSav6RmLPGFM6JSmEEQakZdmyHTWBSFSqCuM45,525763334,0
8W3FxbHPixRfetKyneRmQ54QfQwAfPiZKawLGfw3A6Yo,251792570,0
8WBkazGTJyFUYNzpXfsEdRbteBc3U5NXmHZVszidqLuB,56153059,0
8ZTHcHS489gFfiTtHtzvLL9574MNYRwMLZmaH3VqsRct,204430742,0
8ePbA4vMiqzMuq4pAKwTnp2XxYy6SVj3a8CC9zWZEypL,500027602,0
8eU5sNxpAazGkjPvARgDx98viTUhMSnJ6feEAZy4TFLr,1064510825,0
8emSxqXrougQihHSYoECnjW22mjUe2iJLP7W2ETZpEka,87501406,0
8h31vrzhn5VxUoa1W6H89UmzMA86LJsDxhGxDxjC5Nsb,336265209,0
8kBodi23dG1EXR3QgrFRF7kdA3Vinh9GjAQ4FBEJBo8C,88317338,0
8kmKUq6xdEWaZrkzwCukxAqFLTuiMWWyEUUSFesfEgSD,357751285,0
8xjZ25JvsBvPT5T11iLJXmMVcLZisX6aQ3GoGogLdqa,221196844,0
8yWnRLoD1p9tFAjCpMdkf7AmbhpvGo4g7EyYLtqYKFCa,504576723,0
93XsDxjheJmjvwQuyMR9szTu6fGuv35jiAvt5E3pD3XZ,2682,0
99H6bhE6ncBbKV4o2Vj6GivV3aJq5GKokwLWYMyyzmgV,1020564,0
9EV83rwG3tQ32WoyftcMLjLCKuCCcgbU9Ah1c4fQrwFL,102021,0
9G3JN17HEe77cnHHxih1UKB2b2yjcnqzmmNouhbXMLep,50088324,0
9HnpLbyijBPZzRsURxoNtGwpWHATd8Mz6hpzBn9iMy9b,221228878,0
9Jsk3fBSRZue7Q5EbyL9GLZZeV9XjTbCpRUK2YMbg9nL,885646841,0
9JvhPXberHRpsxLEM3Dp3pNMgGVpPUae2xr3qUYwxHuw,175265653,0
9QUXzVE2Xqt6tQs3pJJ5VnCBfz87pAJvMRz87WvsCYW7,51044551,0
9QagW8YNzgCNWgHxsKxZME83KkVjPYywzBWUAV1Mhx1d,1022173,0
9R8iKoGXkqHoMZaHXegamzPZv4EzwNmru6AVPqaAV14v,1002266398,0
9VNtvRfQMyXXgvbzxdDEUK2taT3uE1iAJLvTbPtPkhsi,1022170120,0
9VRyiU37jDJrGP5CFgtFF6UGLgKkZZnoj855ifMQL7ZW,400666911,0
9WVtLZy7enptJVq3mvV2RUzRvuAK6FzvNfQB6WoXbwrs,459307667,0
9WsuQJ46oWg97ArwuKxctFxSLtLCTPAysG2cjJDJx7P7,13993880,0
9X5NniJLWteLK9FaswqJ1we4gDa5fXSLtRpQ5y6BJ77R,886008351,0
9asGoAJ8xPkTR4UwW6PMxQAaXzj7NR9iiDQgrbGMznp1,102083993,0
