pubkey,amount,locked_amount
2AV35oWyAuSN5wmuy26VD5JirjVpXkfkv5ZMCQ2LtpuV,589782702,0
36vxiwEVpHRsPUiKW4twBdPy5g6KDuLyVF7UHGMWrmit,1330695,0
37hX8GQR76UbyqytFtW5JXZshfdScGPBHu8Vt92fAgxu,75806148,0
3KRgr9VpT7rvUFQoNBwR9CumHFvvq3ioqiuEqwEbbhKw,221741,0
3UgVZMSsRdh6MKKpmL7hvEateWjJ7UqqFPRQ35qchueJ,356966257,0
3jDbRjAXoRaaJZCTrr4kBHD3M6TKpufhSfh97SQGELFt,8819193383,0
3wQ9StmK5LyvHVYCP2qQsNydJNi9RtwTQRxLP823ch7w,2082867,0
4EJBgVw5QGsmVA97gtjset4TjnRKeYV7XnQerwXj5YxA,112708133,0
4JM5vsoGPkMMZCZusMC6rTNZpm4pFweBPQf36vT8yZ8x,39734243052,0
4dYJpk7YXbH6dAFGiD8dfdieirxpGhWBsFysryeKgDnf,318779517,0
4fENRafCoyw42dXn6ujZ72FRHXtZZkxxPCgvZJwY4Ytr,11652975,0
4trKw9NXgMJC47WzoSs6Z9dQ1VVqoWGLrosdk1pJNuuD,37754487,0
4x265MucK9vJaGE7g1RWBmNsZSZU5HuSSkDQaXwPNCa6,9920890,0
5byVXKVusRX2bGNgeRqpygABCTptJi2HBZt8w1XpkeQi,436888292,0
5gkGmgccAcDtPyFZ2BrQQdzJiCjoRELCvkZebPPbTF3S,101788,0
7Gf3RAzMCp11fKjZEdLGQ3AVNanin7WsXJ8TP6A3Yckz,11222359,0
7KKFjTtPqKZcpcXjZLD1zuq82UmTkrwefwTd1g6Umgvo,15163004546,0
7wCkfWz8TJEmwApvfRAaR92YTkovS5bznSXFbE6yHRio,112513978,0
8c8ZztW6Gi2Qx3V4pLgArPei8qUtZRJhKwijyKB3rTSt,42716741,0
8p7GwBdbZVSYeYaMWPx2WMFp5biqEhzcH79xsoBJ96MS,102204651,0
9By9rUZtUKCMZMwnrN6961tzzf5VEpJMfCgERjjFpgSb,517895,0
9E5uwGf8vYqrkTyaA7r6NxXjNZena4RHB7MPq6MQuBgi,5003290,0
9R92tzFqX4hSS3WMrQrKnTAr2cgaB6qx197gUcnQxFfn,79657937,0
A1jzoXJYiP1Wm7ax2G2Kx7fBh4S8bsg9rsv4vGQLom9U,1108577483,0
Amu9XEf26yz3jk5sxciSdDCYnA3hPDf7BDftTcZRhQu5,44727722,0
CY9LY5kapf1rTM4rh26MgBi3yGaWFHf3zqNBpXHt7ySc,142777573,0
CrD8ZBFfycow2VhxgjUmkMGkBcdDaAgNw2xS7vEX6nGC,958236051,0
CuAg9id4YyVpPQMR81U6eGteK37p1PcKNrXVEWG6WwGG,82885167,0
D1EUjQuAVhqi4UoKY7f3VeJgeLhqY8CwDnGKn2cZVXz7,2621,0
D6xNCQ69rZwq4CusKqCGxJY94AYhb4fpkYvoh2muMwSY,34275504,0
Doc6PwnGdikSx3bMSMeeXLY8eeosQL14RVHL2e3sA7q6,89871523,0
EK3kMx2RzV8rG3z7KLEjK9FgDTrqyKxUjn8DRxGJindo,73671483,0
Egog5zjWrGk2BT875eAueEe2pHD61FKV5TVmgfvMfuFY,11186454,0
GBgpkt7uR4JaETnPjkVjJXtnxTq5cQ3be8UDRG4kKGus,362765379,0
GhcvZa19UEDENWCmXHXbb541qQrHyKowoSBVFdBC3wPh,1118320243,0
HhtcGSE2cfHQnKZQYraLSfgjpbbmBm3srt36w2JNhTk,449040069,0
HopeqcqEqvAuuVYZsWZySG8zckjS24aLvdEyF3uMHgXU,11090154293,0
Hpp5DqoZiQFQsBo7gVd8HqNZDjaE8ch7C7KXAMJkee8c,2312811100,0
Q2yu2mkhJPsNNwHT4EeT3zBfWM7ooE4tANLCC5pLBW9,5601234432,0
VaUyVNUq5koebRzm5bBhNHAfN1qzxU32dYbKrAzfe9d,54843481,0
