pubkey,amount,locked_amount
2ZAiRwJhUBNaAHkQ4tEf4BUQ92ogWCU3wFHwAqh6tqei,32200,0
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,167216,0
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,2984981,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,7273,0
3tKs1XiDu4gvnwKmKEzFz6FcWoY8oLSVxux1c4Wu4jUj,15875,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,320759,0
45LSGSKKRNVFug7cd5YkcqdnmgYMszqA8SVGwxWLByRE,378546,0
49KiAXkJ8xCxr9G22PE2DxGwB9jEXCSjp8d8hdj38A9K,63401,0
49wR3qvYxLvhB52Y52dMFXWHXW5SobvuujkfESyQ3MtX,5806,0
4bTvMsydQogi2kwASy8JEXJVA49gP23F6fMPUQYgAbXa,2356034,0
4ePoTPQt4eAVicdErCZDjVbZsE7Mxi4ZYeUydGNqm1JT,2414694,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,92908230,0
5EZQST5WCxbRp4eEo61m51rdo9hSPvD1uSx92MxsdY7q,241037,0
5VVSx5VPxksfcz3z8C1r3wH8ybsUSTqofarFcrzUQmuJ,4933551,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,2186,0
6BY9H6UynTsbH5ok7uzUdm69sQGdWeGzKXzrjXsjG7i6,1206628,0
6QBGeHK92GoDQFhGoec2EAipqTAz4pRaSgJBsJH6Hvpv,11287,0
6pE74EB3D3zAb9V1QWqFf89wTReop9XDi4FtC5g7Xzo,129832,0
7AGYz44pv63ACkvjNproeMruxBr6EJWuB1DurvwefVhY,17530,0
7BgLoDnwqSAWJ4y8UUYaU5aiqNeNUS8wx8oH6F7uMbPD,448306,0
7dPRTpaqjEPoJdhwSQCzCXkSfQHHbEcy2aUSa54kWEe8,640009,0
8FXX2p1w4rw8YgZYAT6q8kDR3LW3LupQEgahWEyr6qtk,45087,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,16333,0
9bZMA6TFMZwosoGJqMPX71WUbELmqxefT8eFmi3tRoLb,71500502,0
A1hWv2neBnoDp7uut1bYy7CLE9yGSNjvyKtdkvrFUs2C,3009900,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,3737260,0
Bp5Xh8ELbXFrtdLGXeEqpbo78gSEY5zF45fqkz5sQdWC,925421,0
Cg8g74eMB6fwxupXZr6Mc1HBT1VzFG9JnDCvyu597fBF,295646,0
CxEqUPBT9y8cSZh8FowJqnMCDEFH9p571mexdh43ESDu,38770,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,1232100,0
Ena7zDZkNLj74a8eMJLY4zVqBa57rm3CE4mSb9FKPzp5,2483830,0
EsEewLAaPrswrMRso2GTMiqy5rd41Ra6Xb2dZNVzpakC,102592,0
Fdbu57t2vCgN53xEKAwa7CgP2sdKh1WQpdwfBmeT5H76,46065880,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,4570326,0
HaMyeMv8KMJx8T6YNu7XtaWfxQMiCxjPKXpLsPxv1aET,111006,0
HboxwePXHF2V6vFMLRJjrKw5auU1s9eM55KRwBtoG2zU,1457,0
VwCFUY1V2Jyh9RV5daq3Tk5srFRYnPQWLUb91Vsb4DZ,775756,0
dgsGPsRvXu9zEqK3hu5Ed5GMLpuacR6kDCpcqcK4oqa,9180,0
sop6SQCk7Vw4PKMoRG58N1mdMwx7qVo1Bcyfo5bjowj,7300115,0
zVz7sHuZEFGLtaBwVicT2C5noprN6SdHm8t7L9xNvDR,3616946,0
