pubkey,amount,locked_amount
3ovDaHpvxoVQ9EycH2HGo8bsbAy49CnU5VAHR1wmVypN,290805647,0
5wGHA5Frxi7vv5EmwNMvUnKZDEshqutXHGUwPm3k4oYs,547705259,0
64VNHiUhzYncDoAiWP3YufyqGwfsqxyChW6o5cJa1E36,23072383,0
6APKYMHdHTFPSdJeq95jWAuAc1zfGAisZdL13hjGdtyx,249213918,0
6fNg2Eg8dbx2igEXxYwzymQNbrxoUz3shKHGHU4AAuTa,1127409,0
7V7be1wKTyW81kbXwU5Xz1BAvUbpKaJG6F63F2vtufar,26749284,0
85Y9yx8NdAkjs8HxfqNWzU2gN6MvoWK1yi4Eb5i9m7Q1,1779413,0
8pFJ6NTqVBeEMnt1yh3nz9X6GegieHciAzMDNLTyzV8J,158832924,0
9CH6D4dRzChHzqBdXoSt1du4bw4frqUSPFXkPvS3FyLX,56194761,0
AREq78TGvjpPwUB3HCRGMiQBsPhv6ifKsrmC14ig1qmv,951647559,0
Annx9L2M7kTLFhNXDAXuKSXKGsP35hormV2iBFWJ4KMg,4002449,0
AxqQqW1gQnXQsDFgkmMUvdVv42QP87MknxJZKnjhG5zu,45214980,0
DV6ALv6rXMtSSLY3bBQ2rSmyxu6gLn5HwLvP38wYBkPD,3531244,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,524541519,0
GVkmdxZYoiWbZwg1uo64yGUBzJuc6Fkkir6EByd1Wdba,13261805,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,516503709,0
