pubkey,amount,locked_amount
244RLNzwZXTKjD1Udp3ubmdh7r27wJyEp9iQdPZ76yLN,200698316,0
245VijJoh5c6h1N7QGE2HzxG1hR5gr8BKxbpLUrxTkqa,329837706,0
25VXcuX9x46FSZ15WJsfqSu6t6zUQb1cq8gDgxAaGBqG,112686667,0
2Ve3AoZaUqRbqcMLme7C1NZxS98d21u7s5ptA6xmedGz,231739816,0
2urPgrX1EheTHmE53rChpc4UeZvxKLM7B8rPy1njDBjq,6045674505,0
2vtQcfjD6jyg4sDbQbz9EAv4sRdAYq3odVrXWrgvNV3o,10159987,0
3FXcDQfrzQ7ELRajwnzAUabU2rRDBrJDoUUebFRjxC2K,5529163355,0
3MJmQEmqtwvL3o3ZedLjo1Q3spHmSbEqNAp1AL3A1MwM,1578953,0
3wqY9zhS11hZKbQpCKe6mgC1fnRuN8CafhtBGARQXUPe,2814230459,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,11611764,0
4RwNuVLtLzLDJfFKrSQVFU3gv3dYBC41jrd2dQi2uUnV,51747723591,0
4VzbYpBHZtEMe4vAnKLzg45zyy9fsCrvw6FYEL1txbvh,2708886866,0
52UuDLjCx8gQ9RSsVYjoWgE1bmaL64xMbN8pBxf1V4gU,7103052626,0
5H7bjhtBA56o7E5vV5yfV1BgvGtGtnYEoScUYaxZisoD,1312745,0
5kHMrGgN42T7K5DwTsX6UfARz78e15tZPhbzCp35jQFf,102050844,0
5rFuP5abbm8jvyQkDMVwcbBLoduyrb92qrKt6bHTBF98,491658470,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,25644566,0
5tEEBgDvwqURzwH87EDhJag1bXChDbehoPAECRrsLjnn,112628805,0
6EGSZAXCeLxZDre2RsZL6Ayuxcjf7L9v8Bu4NXfQPqSM,840089404,0
6EttG43mSM5z7JEdhehjWXfxjbGX9hqjiokEUpi1PU3h,4095117306,0
6H1LbySfStju6Qg7bARQtkmCYfpAA8waZyVvMQtu88qh,66142993,0
6cqkCfKZgugqurMS9HP9ZUziJnSJDAPn1Hb9n7cro3Bw,14487850,0
6m3g4mQWa7uj7bCbkSkaSH95fuPBKsavPnvARmDDgqkR,550863700,0
6yFA6skV6HUpShco9y8ASwHpQSYrj3u1Eqr4N9YRrR4N,2311484,0
6z7MFBJSmkjbPNrzMYFkKHWZb1VXCDKagQ2CKNZoaani,253033687,0
752rV7eMuCBH6h71mNTySBYb7A185CXXK1DjnjP4WPn2,4075495072,0
