pubkey,amount,locked_amount
3gthc3EgHxfLf9LVeNro5eRYULUJV35kVaCY3U7vFPQV,505263211,0
6AH8hNNAjqKkjMsyFajbFY97NUAjCsmFCfncPFsv3THy,457931086,0
AaVR8T7xhZXdELXYztsF5D5pZ83Va1JnZLHvJABRE5GL,244580808,0
BPrzQVTYco8fAtHgknAkqutXyEMS4TB4cmc25h37MRu,32001246,0
C3c5zqNHA2p12Csa5pZ3VKoQpZoGZG8Xt3hCutenZh8d,182210061,0
EvnrAQ66F5DrCoNVC1bqyD4wAetXV3RFtcAJUwxrCf3p,468709203,0
F5Se4B3ufu4XgsX5bFVYftZgdAUNK4wsqNv7XyQks8Yj,8163401,0
FE9DrprrQ1QuLCNwdCUCzj4jc7sUkxzHWDKL79uDx6kh,11421645,0
GFAaV8r6aB8aYgD9MJnqgXPpJU1r19tH3hNKkmLjio1V,206034817,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,127449495,0
