pubkey,amount,locked_amount
3BLWGrSbHqAZtNzQz7j4sdWYsgixE6yyxBB7iGFtMGVb,275676,0
4rQr8uc9T2xWH4DsSzDknsbwY5c6A3ksmHBpoz4Cq34Z,6100803,0
4trKw9NXgMJC47WzoSs6Z9dQ1VVqoWGLrosdk1pJNuuD,33262,0
68kSjSHoKy5sJ3yBKQStKk5vFtLYWaZN6qKEBjuj94Tv,2559,0
7AGYz44pv63ACkvjNproeMruxBr6EJWuB1DurvwefVhY,29005,0
8kVVNq4zroXc4ry1AWxpgCiCc6gSHwoteWaX6iZriQJM,5006851,0
A1wvnUdJoTuEQxyuEr8NtvarhucpZryyXvW6UNxjGkFX,217474,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,568942,0
EAujB36EQEfL1MBhx2Vj2hk29Qx58BbscezgWjoyCLH6,8536311,0
EwTUSxaPY3WEnJgbjgFM2hKaPwEPpcDxiNRJgNAQWBmd,989844,0
FdhydxvQZfnev3ib8PjZhC5nXW18iWwPbDnwiTDQ71Jv,993223,0
FkEPjRgEpToYdTjZ2swW11XtFqdZSkuKKsmY9qdrdBk3,724159,0
GVf3QuLndspcguCv7XTYsKcsPdo2dT55RAqMkK5mAWvN,100343,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,317034,0
