pubkey,amount,locked_amount
6nXyXQqF2azhse2TNm9KYLnTW4ibVM2MonowQ6QUts1Y,6067025,0
6tG9p1U8yHt2X7e3gg6RhUmLB7tSYQK5mcYWcPKSgGgs,702690866,0
7BgLoDnwqSAWJ4y8UUYaU5aiqNeNUS8wx8oH6F7uMbPD,3205193873,0
7wYK2PJb8rtP5PS4BJFVLNTQ3VxSTxw4pyFyY64AZWbn,5114723921,0
8RiBFxcCKha5Ezfid5sYVsETGFwdgF3JXVZbo9gZjZh1,29588300,0
8YrhoSUGZevMK45Sc68Affj6ygMvNeVZ4RV7sGsG3YfF,36371862,0
9DkpKvHgLqAHEzW2V5SDLX2HFdrswSQaP8M9aJpG9E8g,1400348,0
9Rk1oRaga7JtsNYBbAsjnX9CX8i9Ur3so3xFxa4Z5sfw,275102971,0
ASKGii89V14KgMzyKqFWmRn6C9a5vN7AZwZevk4J7cdG,46668,0
AnpKGGPnz31HcAnebnjhttkbPd8j5MoKnqeEgv1trvRb,2654204250,0
BkYAsHX6j9DcnCuwCiGHHhVqBtfFYFDRBfwHijzAP4Li,354366432,0
Bp5Xh8ELbXFrtdLGXeEqpbo78gSEY5zF45fqkz5sQdWC,5623086944,0
EgvsE6nJcJzs1jRPuCjXZdk9KkLysGj5us9dzgLUwdPg,146691401,0
FKCJsKv7y7hwSEGmGFw7bct4EGgSjSykJBWeMUDouvg6,8716987,0
FVhCdUmDjsvnVhvyGJyQqJ9jk8v16xLMLjSDvpaWrAJu,93695129,0
Fj45QipJGKhR8KpaTHcsJ2PbQU7kkjQb15Foc2XgvVhk,1364545987,0
GsySNWnKgAsx5KEXHvJ7adp4fJd6Q9aFdpUQZL4FuNU1,91593748,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,442428157,0
