pubkey,amount,locked_amount
3sPCCveSkSYRmaAdpWEuXBGMCp6LC99sCMYQUZZh6WK6,100558535,0
3x4rkspvkXBNBxUYJMuDNXFUoyZhvjij8xmLbGUuCBTp,22161410,0
443BxjTrkozvzsikoovMy6x3Ts9CPny15CzxWXHh3NzP,448394113,0
4sPRBWcBYxbyKvGCCBR4fVFkN7w6YoGWEfF8gFUN9CWc,1969397974,0
5t2nHnDDbC59JVgEHKYjLeAhdRPxHtZ8Ro96QLXRDcAJ,119348117,0
6EGSZAXCeLxZDre2RsZL6Ayuxcjf7L9v8Bu4NXfQPqSM,710861739,0
6iNxrYSXoYTD9tB9dsaTryqvu6Ng6Jn2wzUe7KwutAAN,3158152741,0
8HrJJBbVtzQ33HQQRARKmsjqw26zseWWnT917VxiLBYk,55241143,0
8T7R9r3N7Qjdy3qz2ioXtZ5d9For54ZAiGo6bCZGmxr4,105648524,0
97HaQ9tFWezjLREr6SFodoJFkE7AApaoSi4KKzjZM4V9,1084239922,0
9g5Kk8FE8Yj19La4tGgGMM53wsVMyw8CH7APX29idDC,1010926513,0
9jarmwnN1kRvmqGVbcBF8NL5xKGzRmw4SQwtzT3fRB12,832811059,0
AiVwMtpLU3Wz6bSXdt7KbfzwBCPy5XDttP1vg3JQqiRA,3321253,0
BHad7VToKudK1mq7H8xYDCApaeprNwyR7q8teX4PRRf3,111615016,0
BrR4nxvXdkZYyUBKL7UeeiMwtSWZiR1Puk7qYVqXfaaV,447423602,0
CN5F3BWnPSP29HK4SdhpRrkrB2ye7XYYHe36ytVeP6iU,4562478,0
Cjk5MfghRMyUoN6H9C5tniwCfdrpP2KhuxSo96hCUKxf,148611759,0
DaaYqvka7xYd58CKbvENYXrdXeRDd13KciRAVuoXoFEQ,516405708,0
EBFtGUpH78HvHCDo6Roa4QLqT7Hg4j1PTJbW9stcdUtm,901778,0
EEtY8nTLbybD2ijh5JcS2JsfsDubTXzSmF5byv5LEQSi,365204837,0
ETv2idiPjun5RReJNSLBd2RUMcYSBMqjFQxhVpLeDqkm,70709428,0
G3S8bD7mjEiLAC83ciovAKre6enbKzigkDBpDRB4ShXx,5421944323,0
G6m4VpZtyHVVWN2PY67PiGyR7Hs71gpPFo6MiigyhEs5,100680492,0
GqAnCDGzf6XkdSJzs99HwTsKd77Xi2xj2k14CsuibcEn,2138007896,0
HUk6j21dJuafs4Qr2RroJ5HGoLCfg68rHRBRKUMhStNE,110970582,0
HVoDbY5fWufyposQrdpwsV6w8TkSEi2hS6AjAPz4HRDF,4878622500,0
Hh6Fiagk4jsGLH4pfeB7vDJUnNZMzcWXUhi7astWvnx7,104326465,0
